Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.1e-05,19.285309,[14 19] ; [66 13],[23.57142857  9.42857143] ; [56.42857143 22.57142857],1
u4,1,0.461336,0.54265,[ 1 33] ; [ 5 74],[ 1.80530973 32.19469027] ; [ 4.19469027 74.80530973],0
d2,1,0.465577,0.532453,[14 20] ; [37 39],[15.76363636 18.23636364] ; [35.23636364 40.76363636],0
r3,1,0.466264,0.530817,[32  2] ; [71  8],[30.99115044  3.00884956] ; [72.00884956  6.99115044],0
a5,1,0.514628,0.424645,[22 12] ; [56 23],[23.46902655 10.53097345] ; [54.53097345 24.46902655],0
a2,1,0.540246,0.375085,[ 6 28] ; [18 61],[ 7.22123894 26.77876106] ; [16.77876106 62.22123894],0
a1,1,0.591725,0.287658,[ 2 32] ; [ 7 72],[ 2.7079646 31.2920354] ; [ 6.2920354 72.7079646],0
b3,1,0.606247,0.265676,[ 6 13] ; [21 34],[ 6.93243243 12.06756757] ; [20.06756757 34.93243243],0
b2,1,0.606247,0.265676,[ 6 13] ; [21 34],[ 6.93243243 12.06756757] ; [20.06756757 34.93243243],0
p6,1,0.607406,0.263969,[ 8 26] ; [22 56],[ 9.10714286 24.89285714] ; [20.89285714 57.10714286],0
p8,1,0.629078,0.233313,[11 23] ; [22 57],[ 9.92920354 24.07079646] ; [23.07079646 55.92920354],0
u2,1,0.677318,0.17316,[6 6] ; [16 12],[6.6 5.4] ; [15.4 12.6],0
p10,1,0.694227,0.154547,[29  5] ; [65 14],[28.28318584  5.71681416] ; [65.71681416 13.28318584],0
v1,1,0.701566,0.146848,[17 17] ; [35 41],[16.07272727 17.92727273] ; [35.92727273 40.07272727],0
a4,1,0.707771,0.140513,[17 17] ; [36 42],[16.08928571 17.91071429] ; [36.91071429 41.08928571],0
p4,1,0.72719,0.121708,[13 20] ; [28 50],[12.18918919 20.81081081] ; [28.81081081 49.18918919],0
p1,1,0.795457,0.067201,[ 4 30] ; [ 8 71],[ 3.61061947 30.38938053] ; [ 8.38938053 70.61061947],0
v4,1,0.830299,0.045932,[31  3] ; [71  8],[30.69026549  3.30973451] ; [71.30973451  7.69026549],0
s1,1,0.902816,0.014909,[ 2 32] ; [ 5 72],[ 2.14414414 31.85585586] ; [ 4.85585586 72.14414414],0
s5,1,0.943541,0.005015,[10 22] ; [22 50],[ 9.84615385 22.15384615] ; [22.15384615 49.84615385],0
u3,1,0.944356,0.004872,[7 5] ; [16 12],[6.9 5.1] ; [16.1 11.9],0
a3,1,0.94473,0.004806,[22 12] ; [51 27],[22.16071429 11.83928571] ; [50.83928571 27.16071429],0
r4,1,0.947375,0.004357,[29  5] ; [67 12],[28.88495575  5.11504425] ; [67.11504425 11.88495575],0
