Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.6e-05,16.236987,[53 43] ; [122  32],[67.2 28.8] ; [107.8  46.2],1
a1,1,0.252219,1.310973,[ 3 93] ; [ 10 146],[ 4.95238095 91.04761905] ; [  8.04761905 147.95238095],0
n1,1,0.270822,1.212581,[ 9 12] ; [17 12],[10.92 10.08] ; [15.08 13.92],0
p1,1,0.271739,1.207949,[ 9 86] ; [ 22 133],[11.78 83.22] ; [ 19.22 135.78],0
u1,1,0.275715,1.188089,[20 76] ; [ 42 114],[23.61904762 72.38095238] ; [ 38.38095238 117.61904762],0
a8,1,0.388421,0.743879,[10 74] ; [ 23 120],[12.21145374 71.78854626] ; [ 20.78854626 122.21145374],0
s4,1,0.433815,0.612589,[25 69] ; [ 34 119],[22.4534413 71.5465587] ; [ 36.5465587 116.4534413],0
d2,1,0.461847,0.541415,[51 44] ; [90 64],[53.79518072 41.20481928] ; [87.20481928 66.79518072],0
b4,1,0.466133,0.531129,[54 42] ; [95 61],[56.76190476 39.23809524] ; [92.23809524 63.76190476],0
a4,1,0.488371,0.480114,[48 48] ; [85 71],[50.66666667 45.33333333] ; [82.33333333 73.66666667],0
s1,1,0.505125,0.444152,[ 4 92] ; [  4 148],[ 3.09677419 92.90322581] ; [  4.90322581 147.09677419],0
a6,1,0.510936,0.43215,[65 31] ; [98 56],[62.592 33.408] ; [100.408  53.592],0
a7,1,0.545253,0.36589,[68 27] ; [106  50],[65.85657371 29.14342629] ; [108.14342629  47.85657371],0
p2,1,0.558793,0.341799,[81 15] ; [134  20],[82.56 13.44] ; [132.44  21.56],0
s7,1,0.638085,0.221255,[59 32] ; [101  48],[60.66666667 30.33333333] ; [99.33333333 49.66666667],0
n3,1,0.66803,0.183916,[17  4] ; [22  7],[16.38  4.62] ; [22.62  6.38],0
u2,1,0.682979,0.166792,[13 15] ; [12 11],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
n6,1,0.703335,0.145026,[87  8] ; [137  15],[86.15384615  8.84615385] ; [137.84615385  14.15384615],0
s6,1,0.804228,0.061444,[82 11] ; [135  20],[81.375 11.625] ; [135.625  19.375],0
r2,1,0.925847,0.008662,[93  2] ; [152   3],[93.1  1.9] ; [151.9   3.1],0
b1,1,0.929323,0.007867,[37 59] ; [61 95],[37.33333333 58.66666667] ; [60.66666667 95.33333333],0
