Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,25.874126,[16 21] ; [36  1],[26. 11.] ; [26. 11.],1
v1,1,0.449131,0.572844,[11 26] ; [13 21],[12.50704225 24.49295775] ; [11.49295775 22.50704225],0
v4,1,0.495823,0.463866,[22 13] ; [24 10],[23.33333333 11.66666667] ; [22.66666667 11.33333333],0
n3,1,0.515406,0.423077,[8 5] ; [10 10],[7.09090909 5.90909091] ; [10.90909091  9.09090909],0
n2,1,0.59015,0.29011,[9 4] ; [12  8],[8.27272727 4.72727273] ; [12.72727273  7.27272727],0
p9,1,0.608737,0.262018,[25 13] ; [21 14],[23.94520548 14.05479452] ; [22.05479452 12.94520548],0
n5,1,0.636831,0.22291,[20 16] ; [18 18],[19. 17.] ; [19. 17.],0
p10,1,0.696576,0.152059,[22 13] ; [21 15],[21.1971831 13.8028169] ; [21.8028169 14.1971831],0
u3,1,0.700472,0.147981,[ 7 12] ; [4 5],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
p11,1,0.719756,0.128727,[20 18] ; [21 16],[20.77333333 17.22666667] ; [20.22666667 16.77333333],0
s6,1,0.738191,0.111723,[16 22] ; [13 21],[15.30555556 22.69444444] ; [13.69444444 20.30555556],0
b2,1,0.78146,0.07696,[ 5 13] ; [ 7 15],[ 5.4 12.6] ; [ 6.6 15.4],0
b3,1,0.78146,0.07696,[ 5 13] ; [ 7 15],[ 5.4 12.6] ; [ 6.6 15.4],0
u2,1,0.785351,0.074176,[9 9] ; [4 5],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
n6,1,0.792069,0.069498,[20 17] ; [20 15],[20.55555556 16.44444444] ; [19.44444444 15.55555556],0
p6,1,0.831759,0.045133,[ 9 28] ; [ 8 28],[ 8.61643836 28.38356164] ; [ 8.38356164 27.61643836],0
r3,1,0.872094,0.025921,[23 13] ; [23 12],[23.32394366 12.67605634] ; [22.67605634 12.32394366],0
b1,1,0.896345,0.016973,[17 21] ; [16 21],[16.72 21.28] ; [16.28 20.72],0
n4,1,0.901748,0.015241,[20 18] ; [20 17],[20.26666667 17.73333333] ; [19.73333333 17.26666667],0
s4,1,0.910548,0.012622,[ 7 31] ; [ 7 29],[ 7.18918919 30.81081081] ; [ 6.81081081 29.18918919],0
a1,1,0.96817,0.001592,[ 4 34] ; [ 4 33],[ 4.05333333 33.94666667] ; [ 3.94666667 33.05333333],0
p12,1,1.0,0.0,[ 1 36] ; [ 1 36],[ 1. 36.] ; [ 1. 36.],0
