Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.888277,[125   9] ; [24 13],[116.76023392  17.23976608] ; [32.23976608  4.76023392],1
a4,1,0.355248,0.854622,[58 75] ; [13 24],[55.54705882 77.45294118] ; [15.45294118 21.54705882],0
p9,1,0.383755,0.758637,[102  27] ; [26 10],[100.07272727  28.92727273] ; [27.92727273  8.07272727],0
b4,1,0.440441,0.595134,[85 49] ; [26 11],[86.98245614 47.01754386] ; [24.01754386 12.98245614],0
d3,1,0.484038,0.489752,[89 44] ; [27 10],[90.75294118 42.24705882] ; [25.24705882 11.75294118],0
u2,1,0.488136,0.480631,[24 18] ; [5 6],[22.98113208 19.01886792] ; [6.01886792 4.98113208],0
a1,1,0.508059,0.438062,[  7 127] ; [ 3 34],[  7.83625731 126.16374269] ; [ 2.16374269 34.83625731],0
n2,1,0.615795,0.251821,[18  7] ; [7 4],[17.36111111  7.63888889] ; [7.63888889 3.36111111],0
p6,1,0.620236,0.245536,[39 91] ; [ 9 26],[37.81818182 92.18181818] ; [10.18181818 24.81818182],0
b1,1,0.62977,0.232372,[45 89] ; [14 23],[46.23391813 87.76608187] ; [12.76608187 24.23391813],0
s4,1,0.631677,0.229793,[ 14 117] ; [ 5 32],[ 14.81547619 116.18452381] ; [ 4.18452381 32.81547619],0
v1,1,0.675386,0.175366,[77 55] ; [23 14],[78.10650888 53.89349112] ; [21.89349112 15.10650888],0
s6,1,0.710577,0.137701,[74 57] ; [18 16],[73.04242424 57.95757576] ; [18.95757576 15.04242424],0
n1,1,0.721948,0.126634,[ 5 18] ; [3 8],[ 5.41176471 17.58823529] ; [2.58823529 8.41176471],0
s1,1,0.747103,0.103982,[  5 126] ; [ 1 36],[  4.67857143 126.32142857] ; [ 1.32142857 35.67857143],0
d5,1,0.765789,0.088737,[101  33] ; [27 10],[100.30409357  33.69590643] ; [27.69590643  9.30409357],0
n3,1,0.785704,0.073926,[20  6] ; [8 3],[19.67567568  6.32432432] ; [8.32432432 2.67567568],0
p8,1,0.78675,0.073188,[67 64] ; [17 18],[66.28915663 64.71084337] ; [17.71084337 17.28915663],0
d2,1,0.792918,0.068918,[61 71] ; [18 19],[61.70414201 70.29585799] ; [17.29585799 19.70414201],0
n6,1,0.803806,0.061715,[111  23] ; [30  7],[110.49122807  23.50877193] ; [30.50877193  6.49122807],0
a3,1,0.804116,0.061516,[92 40] ; [25 12],[91.38461538 40.61538462] ; [25.61538462 11.38461538],0
p5,1,0.816001,0.054146,[ 16 115] ; [ 4 33],[ 15.5952381 115.4047619] ; [ 4.4047619 32.5952381],0
n4,1,0.821023,0.05118,[103  30] ; [28  9],[102.48823529  30.51176471] ; [28.51176471  8.48823529],0
b5,1,0.850008,0.035762,[81 53] ; [23 14],[81.49707602 52.50292398] ; [22.50292398 14.49707602],0
p1,1,0.960324,0.002475,[ 14 119] ; [ 4 33],[ 14.08235294 118.91764706] ; [ 3.91764706 33.08235294],0
d4,1,0.963908,0.002048,[103  29] ; [29  8],[103.10059172  28.89940828] ; [28.89940828  8.10059172],0
