Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,145.159489,[687 117] ; [10 43],[653.8949825 150.1050175] ; [43.1050175  9.8949825],1
n3,1,0.134555,2.239148,[126  41] ; [16 10],[122.87046632  44.12953368] ; [19.12953368  6.87046632],0
s2,1,0.136502,2.216958,[416 383] ; [22 31],[410.75352113 388.24647887] ; [27.24647887 25.75352113],0
p5,1,0.196482,1.668331,[ 91 707] ; [ 3 50],[ 88.14571093 709.85428907] ; [ 5.85428907 47.14571093],0
d3,1,0.212083,1.557149,[561 243] ; [32 20],[556.97663551 247.02336449] ; [36.02336449 15.97663551],0
p1,1,0.216397,1.528104,[ 69 732] ; [ 2 51],[ 66.59367681 734.40632319] ; [ 4.40632319 48.59367681],0
u2,1,0.246213,1.344664,[134  96] ; [10 12],[131.42857143  98.57142857] ; [12.57142857  9.42857143],0
s7,1,0.265681,1.238909,[379 391] ; [21 30],[375.15225335 394.84774665] ; [24.84774665 26.15225335],0
s3,1,0.280138,1.166421,[451 345] ; [26 27],[447.22261484 348.77738516] ; [29.77738516 23.22261484],0
a1,1,0.300219,1.07322,[ 36 772] ; [ 4 49],[ 37.53774681 770.46225319] ; [ 2.46225319 50.53774681],0
n1,1,0.320031,0.988819,[ 61 104] ; [ 7 19],[ 58.7434555 106.2565445] ; [ 9.2565445 16.7434555],0
p2,1,0.393655,0.727621,[669 133] ; [41 11],[666.76814988 135.23185012] ; [43.23185012  8.76814988],0
s4,1,0.431996,0.617452,[132 664] ; [11 42],[134.07302709 661.92697291] ; [ 8.92697291 44.07302709],0
b4,1,0.467541,0.527782,[468 340] ; [28 25],[465.46806039 342.53193961] ; [30.53193961 22.46806039],0
v2,1,0.496207,0.463039,[440 333] ; [26 24],[437.68894289 335.31105711] ; [28.31105711 21.68894289],0
d4,1,0.55255,0.35277,[663 141] ; [42 11],[661.40023337 142.59976663] ; [43.59976663  9.40023337],0
b5,1,0.728824,0.120194,[492 316] ; [31 22],[490.80603949 317.19396051] ; [32.19396051 20.80603949],0
n2,1,0.832523,0.044718,[126  42] ; [20  6],[126.43298969  41.56701031] ; [19.56701031  6.43298969],0
s1,1,0.844031,0.038706,[ 26 768] ; [ 2 51],[ 26.24793388 767.75206612] ; [ 1.75206612 51.24793388],0
