Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.007595,7.126617,[13  6] ; [ 3 11],[9.21212121 9.78787879] ; [6.78787879 7.21212121],0
n6,1,0.652605,0.202632,[ 8 11] ; [7 7],[ 8.63636364 10.36363636] ; [6.36363636 7.63636364],0
d5,1,0.652605,0.202632,[ 8 11] ; [7 7],[ 8.63636364 10.36363636] ; [6.36363636 7.63636364],0
d3,1,0.71038,0.137898,[11  8] ; [9 5],[11.51515152  7.48484848] ; [8.48484848 5.51515152],0
s4,1,0.738269,0.111654,[ 2 17] ; [ 1 13],[ 1.72727273 17.27272727] ; [ 1.27272727 12.72727273],0
a2,1,0.738269,0.111654,[ 2 17] ; [ 1 13],[ 1.72727273 17.27272727] ; [ 1.27272727 12.72727273],0
r4,1,0.746108,0.104831,[ 5 14] ; [ 3 11],[ 4.60606061 14.39393939] ; [ 3.39393939 10.60606061],0
a8,1,0.787064,0.072968,[ 2 17] ; [ 1 12],[ 1.78125 17.21875] ; [ 1.21875 11.78125],0
a6,1,0.797004,0.066165,[10  9] ; [8 6],[10.36363636  8.63636364] ; [7.63636364 6.36363636],0
r1,1,0.803316,0.06203,[ 6 13] ; [5 9],[ 6.33333333 12.66666667] ; [4.66666667 9.33333333],0
s1,1,0.823021,0.050024,[ 1 18] ; [ 1 13],[ 1.15151515 17.84848485] ; [ 0.84848485 13.15151515],0
v2,1,0.891787,0.018508,[ 4 15] ; [ 3 10],[ 4.15625 14.84375] ; [ 2.84375 10.15625],0
n5,1,0.965548,0.001866,[ 8 11] ; [6 8],[ 8.06060606 10.93939394] ; [5.93939394 8.06060606],0
a7,1,0.965548,0.001866,[11  8] ; [8 6],[10.93939394  8.06060606] ; [8.06060606 5.93939394],0
p11,1,0.965548,0.001866,[11  8] ; [8 6],[10.93939394  8.06060606] ; [8.06060606 5.93939394],0
