Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000246,13.44,[ 1 29] ; [6 6],[ 5. 25.] ; [ 2. 10.],1
b2,1,0.203226,1.619039,[ 9 10] ; [2 7],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
b3,1,0.203226,1.619039,[ 9 10] ; [2 7],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
p8,1,0.23437,1.414141,[ 5 25] ; [4 8],[ 6.42857143 23.57142857] ; [2.57142857 9.42857143],0
u2,1,0.243216,1.361855,[ 5 11] ; [2 1],[ 5.89473684 10.10526316] ; [1.10526316 1.89473684],0
d5,1,0.280859,1.162929,[12 18] ; [7 5],[13.57142857 16.42857143] ; [5.42857143 6.57142857],0
p7,1,0.281325,1.160678,[ 8 21] ; [5 6],[ 9.425 19.575] ; [3.575 7.425],0
s7,1,0.290136,1.11899,[ 3 23] ; [3 9],[ 4.10526316 21.89473684] ; [ 1.89473684 10.10526316],0
d1,1,0.359397,0.84,[ 6 24] ; [4 8],[ 7.14285714 22.85714286] ; [2.85714286 9.14285714],0
s3,1,0.425556,0.634921,[ 6 22] ; [4 8],[ 7. 21.] ; [3. 9.],0
b5,1,0.426451,0.632471,[11 19] ; [6 6],[12.14285714 17.85714286] ; [4.85714286 7.14285714],0
p5,1,0.448271,0.575019,[ 1 29] ; [ 1 10],[ 1.46341463 28.53658537] ; [ 0.53658537 10.46341463],0
p12,1,0.491839,0.4725,[ 1 29] ; [ 1 11],[ 1.42857143 28.57142857] ; [ 0.57142857 11.42857143],0
p1,1,0.546711,0.363243,[ 3 27] ; [ 2 10],[ 3.57142857 26.42857143] ; [ 1.42857143 10.57142857],0
a6,1,0.61063,0.259259,[10 20] ; [5 7],[10.71428571 19.28571429] ; [4.28571429 7.71428571],0
b4,1,0.625193,0.238636,[15 15] ; [7 5],[15.71428571 14.28571429] ; [6.28571429 5.71428571],0
n3,1,0.707787,0.140498,[ 7 10] ; [3 3],[7.39130435 9.60869565] ; [2.60869565 3.39130435],0
r2,1,0.72158,0.126984,[17 11] ; [8 4],[17.5 10.5] ; [7.5 4.5],0
n2,1,0.813025,0.055944,[ 8 10] ; [3 3],[8.25 9.75] ; [2.75 3.25],0
d4,1,0.845078,0.038182,[14 16] ; [6 6],[14.28571429 15.71428571] ; [5.71428571 6.28571429],0
s1,1,0.849727,0.035897,[ 2 28] ; [ 1 11],[ 2.14285714 27.85714286] ; [ 0.85714286 11.14285714],0
a1,1,0.867978,0.027632,[ 3 27] ; [ 1 11],[ 2.85714286 27.14285714] ; [ 1.14285714 10.85714286],0
v2,1,0.944277,0.004885,[ 5 24] ; [2 9],[ 5.075 23.925] ; [1.925 9.075],0
n1,1,1.0,0.0,[ 6 12] ; [2 4],[ 6. 12.] ; [2. 4.],0
