Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.7e-05,18.515144,[ 71 159] ; [109 105],[ 93.24324324 136.75675676] ; [ 86.75675676 127.24324324],1
p4,1,0.031354,4.633463,[ 99 138] ; [115 107],[110.49673203 126.50326797] ; [103.50326797 118.49673203],0
a4,1,0.032268,4.584195,[ 95 146] ; [109 112],[106.41558442 134.58441558] ; [ 97.58441558 123.41558442],0
v4,1,0.039139,4.254811,[221  18] ; [214   7],[226.01086957  12.98913043] ; [208.98913043  12.01086957],0
r3,1,0.045781,3.989625,[220  19] ; [215   8],[225.03246753  13.96753247] ; [209.96753247  13.03246753],0
n6,1,0.048965,3.876539,[182  58] ; [184  37],[190.54229935  49.45770065] ; [175.45770065  45.54229935],0
n2,1,0.056805,3.6283,[45 26] ; [39 10],[49.7 21.3] ; [34.3 14.7],0
r4,1,0.056877,3.626196,[218  23] ; [212  11],[223.34051724  17.65948276] ; [206.65948276  16.34051724],0
p7,1,0.064599,3.415181,[110 126] ; [120  97],[119.82339956 116.17660044] ; [110.17660044 106.82339956],0
s6,1,0.06753,3.342054,[138  99] ; [147  74],[147.47816594  89.52183406] ; [137.52183406  83.47816594],0
a2,1,0.075558,3.15794,[ 49 192] ; [ 61 162],[ 57.13362069 183.86637931] ; [ 52.86637931 170.13362069],0
p8,1,0.078394,3.097889,[ 91 147] ; [102 118],[100.29257642 137.70742358] ; [ 92.70742358 127.29257642],0
u4,1,0.081752,3.029719,[  1 240] ; [  5 218],[  3.11637931 237.88362069] ; [  2.88362069 220.11637931],0
a8,1,0.092145,2.836487,[ 25 194] ; [ 34 164],[ 30.98561151 188.01438849] ; [ 28.01438849 169.98561151],0
a7,1,0.102453,2.666932,[183  57] ; [155  68],[175.20518359  64.79481641] ; [162.79481641  60.20518359],0
n4,1,0.110981,2.540198,[168  72] ; [170  52],[175.58441558  64.41558442] ; [162.41558442  59.58441558],0
b1,1,0.11759,2.449124,[ 98 143] ; [ 75 148],[ 89.85560345 151.14439655] ; [ 83.14439655 139.85560345],0
n3,1,0.118215,2.440809,[44 24] ; [39 11],[47.83050847 20.16949153] ; [35.16949153 14.83050847],0
u1,1,0.13589,2.223894,[ 35 206] ; [ 44 179],[ 41.03232759 199.96767241] ; [ 37.96767241 185.03232759],0
s7,1,0.136001,2.222638,[ 90 137] ; [ 99 113],[ 97.72892938 129.27107062] ; [ 91.27107062 120.72892938],0
p12,1,0.15303,2.041785,[ 10 230] ; [ 16 205],[ 13.53579176 226.46420824] ; [ 12.46420824 208.53579176],0
p5,1,0.159855,1.975601,[ 12 229] ; [ 18 201],[ 15.7173913 225.2826087] ; [ 14.2826087 204.7173913],0
s5,1,0.161255,1.962419,[ 62 174] ; [ 70 147],[ 68.76821192 167.23178808] ; [ 63.23178808 153.76821192],0
p1,1,0.163351,1.942925,[ 10 229] ; [ 16 207],[ 13.45021645 225.54978355] ; [ 12.54978355 210.45021645],0
b4,1,0.176978,1.822817,[151  90] ; [126  97],[143.87284483  97.12715517] ; [133.12715517  89.87284483],0
s1,1,0.323429,0.975029,[ 12 226] ; [  7 212],[  9.89496718 228.10503282] ; [  9.10503282 209.89496718],0
d2,1,0.323747,0.973748,[108 131] ; [111 112],[113.29220779 125.70779221] ; [105.70779221 117.29220779],0
u3,1,0.366295,0.816196,[45 36] ; [33 19],[47.5037594 33.4962406] ; [30.4962406 21.5037594],0
d1,1,0.3745,0.78868,[135 106] ; [134  89],[139.71767241 101.28232759] ; [129.28232759  93.71767241],0
a6,1,0.423029,0.641885,[164  76] ; [160  63],[167.94816415  72.05183585] ; [156.05183585  66.94816415],0
u2,1,0.478135,0.503114,[42 38] ; [30 21],[43.96946565 36.03053435] ; [28.03053435 22.96946565],0
s3,1,0.55872,0.341925,[124 114] ; [119  98],[127.10769231 110.89230769] ; [115.89230769 101.10769231],0
n1,1,0.572168,0.319069,[25 45] ; [20 29],[26.47058824 43.52941176] ; [18.52941176 30.47058824],0
a1,1,0.677759,0.17266,[  7 234] ; [  8 215],[  7.79094828 233.20905172] ; [  7.20905172 215.79094828],0
d5,1,0.742763,0.107713,[193  47] ; [182  41],[194.38444924  45.61555076] ; [180.61555076  42.38444924],0
d4,1,0.763844,0.090262,[196  42] ; [186  37],[197.21475054  40.78524946] ; [184.78524946  38.21475054],0
s4,1,0.78247,0.076232,[ 36 204] ; [ 31 189],[ 34.95652174 205.04347826] ; [ 32.04347826 187.95652174],0
d3,1,0.942917,0.005127,[165  75] ; [154  69],[165.35637149  74.64362851] ; [153.64362851  69.35637149],0
