Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.013823,6.060606,[20 28] ; [ 5 27],[15. 33.] ; [10. 22.],0
p4,1,0.342813,0.899885,[27 21] ; [16 19],[24.86746988 23.13253012] ; [18.13253012 16.86746988],0
s6,1,0.369923,0.803922,[22 26] ; [19 15],[24. 24.] ; [17. 17.],0
a6,1,0.378039,0.77707,[28 20] ; [17 18],[26.02409639 21.97590361] ; [18.97590361 16.02409639],0
a1,1,0.381464,0.76598,[ 1 47] ; [ 2 33],[ 1.73493976 46.26506024] ; [ 1.26506024 33.73493976],0
b1,1,0.384278,0.756971,[27 21] ; [23 12],[28.91566265 19.08433735] ; [21.08433735 13.91566265],0
b5,1,0.384278,0.756971,[27 21] ; [23 12],[28.91566265 19.08433735] ; [21.08433735 13.91566265],0
p2,1,0.385586,0.752815,[37 11] ; [24 11],[35.27710843 12.72289157] ; [25.72289157  9.27710843],0
a2,1,0.446478,0.579577,[ 5 43] ; [ 2 33],[ 4.04819277 43.95180723] ; [ 2.95180723 32.04819277],0
s5,1,0.452459,0.564484,[10 37] ; [ 5 29],[ 8.7037037 38.2962963] ; [ 6.2962963 27.7037037],0
p1,1,0.476022,0.507962,[ 3 45] ; [ 1 34],[ 2.31325301 45.68674699] ; [ 1.68674699 33.31325301],0
n6,1,0.483275,0.491465,[33 14] ; [22 13],[31.52439024 15.47560976] ; [23.47560976 11.52439024],0
n3,1,0.555126,0.348214,[9 5] ; [9 3],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
p8,1,0.576059,0.31265,[27 21] ; [17 17],[25.75609756 22.24390244] ; [18.24390244 15.75609756],0
s4,1,0.579136,0.307634,[ 6 41] ; [ 6 29],[ 6.87804878 40.12195122] ; [ 5.12195122 29.87804878],0
b2,1,0.581909,0.303158,[ 7 23] ; [ 3 15],[ 6.25 23.75] ; [ 3.75 14.25],0
b3,1,0.581909,0.303158,[ 7 23] ; [ 3 15],[ 6.25 23.75] ; [ 3.75 14.25],0
u3,1,0.657848,0.196149,[13 11] ; [ 9 10],[12.27906977 11.72093023] ; [9.72093023 9.27906977],0
a3,1,0.699585,0.148904,[24 24] ; [16 19],[23.13253012 24.86746988] ; [16.86746988 18.13253012],0
s1,1,0.706623,0.141673,[ 3 44] ; [ 3 32],[ 3.43902439 43.56097561] ; [ 2.56097561 32.43902439],0
p6,1,0.709087,0.139191,[18 29] ; [12 23],[17.19512195 29.80487805] ; [12.80487805 22.19512195],0
n5,1,0.713287,0.135016,[28 20] ; [19 16],[27.18072289 20.81927711] ; [19.81927711 15.18072289],0
n2,1,0.748233,0.103022,[9 4] ; [9 3],[9.36 3.64] ; [8.64 3.36],0
a4,1,0.809607,0.058049,[11 36] ; [ 9 26],[11.46341463 35.53658537] ; [ 8.53658537 26.46341463],0
v1,1,0.817248,0.053401,[18 30] ; [14 21],[18.5060241 29.4939759] ; [13.4939759 21.5060241],0
v3,1,0.881093,0.022375,[13 35] ; [10 25],[13.30120482 34.69879518] ; [ 9.69879518 25.30120482],0
s3,1,0.991423,0.000116,[26 22] ; [19 16],[26.02409639 21.97590361] ; [18.97590361 16.02409639],0
n1,1,1.0,0.0,[5 7] ; [5 7],[5. 7.] ; [5. 7.],0
