Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,6e-06,20.45042,[ 3 37] ; [18 14],[11.66666667 28.33333333] ; [ 9.33333333 22.66666667],1
d2,1,0.641132,0.217265,[14 27] ; [13 20],[14.95945946 26.04054054] ; [12.04054054 20.95945946],0
b5,1,0.658047,0.195904,[22 19] ; [16 17],[21.05405405 19.94594595] ; [16.94594595 16.05405405],0
p7,1,0.664526,0.188072,[21 19] ; [19 14],[21.91780822 18.08219178] ; [18.08219178 14.91780822],0
n3,1,0.71038,0.137898,[11  8] ; [9 5],[11.51515152  7.48484848] ; [8.48484848 5.51515152],0
p11,1,0.770836,0.084845,[26 15] ; [22 11],[26.59459459 14.40540541] ; [21.40540541 11.59459459],0
v4,1,0.787582,0.072604,[33  7] ; [28  5],[33.42465753  6.57534247] ; [27.57534247  5.42465753],0
a8,1,0.813169,0.055857,[ 3 36] ; [ 2 30],[ 2.74647887 36.25352113] ; [ 2.25352113 29.74647887],0
r1,1,0.854352,0.033697,[22 19] ; [17 16],[21.60810811 19.39189189] ; [17.39189189 15.60810811],0
p5,1,0.858603,0.031738,[ 1 40] ; [ 1 31],[ 1.12328767 39.87671233] ; [ 0.87671233 31.12328767],0
b4,1,0.893784,0.017827,[23 18] ; [18 15],[22.71621622 18.28378378] ; [18.28378378 14.71621622],0
a6,1,0.974178,0.001048,[16 25] ; [13 20],[16.06756757 24.93243243] ; [12.93243243 20.06756757],0
