Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.711191,[104   3] ; [44 16],[94.82634731 12.17365269] ; [53.17365269  6.82634731],1
p1,1,0.44546,0.582177,[13 94] ; [ 5 55],[11.53293413 95.46706587] ; [ 6.46706587 53.53293413],0
a5,1,0.547124,0.362494,[63 44] ; [33 28],[61.14285714 45.85714286] ; [34.85714286 26.14285714],0
s7,1,0.563062,0.334431,[41 61] ; [21 38],[39.27950311 62.72049689] ; [22.72049689 36.27950311],0
v1,1,0.577373,0.310501,[49 56] ; [24 33],[47.31481481 57.68518519] ; [25.68518519 31.31481481],0
v2,1,0.583159,0.301156,[44 59] ; [23 37],[42.33742331 60.66257669] ; [24.66257669 35.33742331],0
d2,1,0.602062,0.271897,[39 67] ; [20 41],[37.4491018 68.5508982] ; [21.5508982 39.4491018],0
u3,1,0.61985,0.246078,[20 24] ; [ 9 14],[19.04477612 24.95522388] ; [ 9.95522388 13.04477612],0
n3,1,0.692472,0.156423,[24  9] ; [14  4],[24.58823529  8.41176471] ; [13.41176471  4.58823529],0
a3,1,0.724313,0.124398,[63 44] ; [37 23],[64.07185629 42.92814371] ; [35.92814371 24.07185629],0
a2,1,0.781104,0.077218,[12 95] ; [ 6 55],[11.46428571 95.53571429] ; [ 6.53571429 54.46428571],0
s4,1,0.800328,0.06397,[21 86] ; [11 50],[20.38095238 86.61904762] ; [11.61904762 49.38095238],0
n1,1,0.806336,0.060101,[14 19] ; [ 7 11],[13.58823529 19.41176471] ; [ 7.41176471 10.58823529],0
n2,1,0.933204,0.007025,[26  7] ; [14  4],[25.88235294  7.11764706] ; [14.11764706  3.88235294],0
u1,1,0.942802,0.005148,[  5 102] ; [ 3 58],[  5.0952381 101.9047619] ; [ 2.9047619 58.0952381],0
