Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.928051,[ 77 106] ; [409 120],[124.91292135  58.08707865] ; [361.08707865 167.91292135],1
s6,1,0.499763,0.45544,[121  55] ; [370 148],[124.51873199  51.48126801] ; [366.48126801 151.51873199],0
n3,1,0.525358,0.403361,[30 12] ; [78 24],[31.5 10.5] ; [76.5 25.5],0
a1,1,0.532335,0.389932,[ 10 173] ; [ 23 507],[  8.46984572 174.53015428] ; [ 24.53015428 505.46984572],0
p9,1,0.537055,0.381025,[156  26] ; [455  65],[158.40740741  23.59259259] ; [452.59259259  67.40740741],0
p11,1,0.599305,0.276046,[152  31] ; [431  99],[149.63394109  33.36605891] ; [433.36605891  96.63394109],0
v4,1,0.605028,0.267478,[178   5] ; [519  11],[178.89340813   4.10659187] ; [518.10659187  11.89340813],0
a8,1,0.636876,0.222852,[ 24 149] ; [ 73 402],[ 25.89660494 147.10339506] ; [ 71.10339506 403.89660494],0
p8,1,0.702447,0.145939,[96 83] ; [288 233],[98.19428571 80.80571429] ; [285.80571429 235.19428571],0
a3,1,0.73809,0.111812,[131  52] ; [384 143],[132.73943662  50.26056338] ; [382.26056338 144.73943662],0
a4,1,0.740475,0.10971,[86 96] ; [242 286],[84.07887324 97.92112676] ; [243.92112676 284.07887324],0
v3,1,0.755715,0.096791,[ 77 102] ; [213 298],[ 75.23188406 103.76811594] ; [214.76811594 296.23188406],0
n2,1,0.81584,0.054242,[32 11] ; [77 24],[32.54861111 10.45138889] ; [76.45138889 24.54861111],0
n4,1,0.832872,0.044529,[151  32] ; [432  96],[150.05485232  32.94514768] ; [432.94514768  95.05485232],0
n1,1,0.840044,0.040738,[16 27] ; [39 61],[16.53846154 26.46153846] ; [38.46153846 61.53846154],0
s3,1,0.843357,0.039046,[102  79] ; [298 223],[103.13390313  77.86609687] ; [296.86609687 224.13390313],0
s1,1,0.871113,0.026324,[  6 175] ; [ 16 505],[  5.67236467 175.32763533] ; [ 16.32763533 504.67236467],0
p6,1,0.873154,0.025489,[ 69 111] ; [204 319],[ 69.90042674 110.09957326] ; [203.09957326 319.90042674],0
p3,1,0.901998,0.015163,[94 89] ; [274 254],[94.71729958 88.28270042] ; [273.28270042 254.71729958],0
u4,1,0.947612,0.004317,[  5 178] ; [ 14 516],[  4.87657784 178.12342216] ; [ 14.12342216 515.87657784],0
