Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001132,10.597931,[ 8 35] ; [10  6],[13.11864407 29.88135593] ; [ 4.88135593 11.11864407],0
p3,1,0.415263,0.663682,[10 34] ; [ 5 10],[11.18644068 32.81355932] ; [ 3.81355932 11.18644068],0
u1,1,0.447877,0.576019,[ 1 43] ; [ 1 15],[ 1.46666667 42.53333333] ; [ 0.53333333 15.46666667],0
d5,1,0.459309,0.547578,[20 24] ; [9 7],[21.26666667 22.73333333] ; [7.73333333 8.26666667],0
n1,1,0.468011,0.526669,[ 4 13] ; [3 5],[ 4.76 12.24] ; [2.24 5.76],0
p2,1,0.496183,0.463092,[26 18] ; [11  5],[27.13333333 16.86666667] ; [9.86666667 6.13333333],0
s4,1,0.559305,0.340909,[ 8 36] ; [ 4 12],[ 8.8 35.2] ; [ 3.2 12.8],0
v4,1,0.582416,0.302345,[24 20] ; [10  6],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
p8,1,0.595334,0.282091,[13 30] ; [ 6 10],[13.84745763 29.15254237] ; [ 5.15254237 10.84745763],0
s8,1,0.623743,0.240642,[ 6 38] ; [ 3 13],[ 6.6 37.4] ; [ 2.4 13.6],0
s5,1,0.623743,0.240642,[ 6 38] ; [ 3 13],[ 6.6 37.4] ; [ 2.4 13.6],0
s3,1,0.663262,0.189585,[11 32] ; [ 5 11],[11.66101695 31.33898305] ; [ 4.33898305 11.66101695],0
p5,1,0.708214,0.140068,[ 4 39] ; [ 1 15],[ 3.6440678 39.3559322] ; [ 1.3559322 14.6440678],0
n5,1,0.720681,0.127841,[27 17] ; [9 7],[26.4 17.6] ; [9.6 6.4],0
u2,1,0.737342,0.112476,[14 13] ; [3 2],[14.34375 12.65625] ; [2.65625 2.34375],0
n4,1,0.78479,0.074574,[23 21] ; [9 7],[23.46666667 20.53333333] ; [8.53333333 7.46666667],0
p12,1,0.788776,0.07177,[ 2 42] ; [ 1 15],[ 2.2 41.8] ; [ 0.8 15.2],0
b2,1,0.824141,0.049383,[ 7 20] ; [2 7],[ 6.75 20.25] ; [2.25 6.75],0
b3,1,0.824141,0.049383,[ 7 20] ; [2 7],[ 6.75 20.25] ; [2.25 6.75],0
n3,1,0.861052,0.030637,[10  7] ; [5 3],[10.2  6.8] ; [4.8 3.2],0
r4,1,0.883946,0.021307,[ 9 35] ; [ 3 13],[ 8.8 35.2] ; [ 3.2 12.8],0
r1,1,0.898614,0.016234,[13 31] ; [ 5 11],[13.2 30.8] ; [ 4.8 11.2],0
a6,1,0.906572,0.013774,[20 24] ; [7 9],[19.8 24.2] ; [7.2 8.8],0
p1,1,0.937809,0.006088,[ 3 41] ; [ 1 15],[ 2.93333333 41.06666667] ; [ 1.06666667 14.93333333],0
d3,1,0.968671,0.001543,[19 25] ; [7 9],[19.06666667 24.93333333] ; [6.93333333 9.06666667],0
a7,1,1.0,0.0,[22 22] ; [8 8],[22. 22.] ; [8. 8.],0
d2,1,1.0,0.0,[11 33] ; [ 4 12],[11. 33.] ; [ 4. 12.],0
