Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000922,10.978575,[14 41] ; [15  8],[20.44871795 34.55128205] ; [ 8.55128205 14.44871795],1
s2,1,0.279705,1.168525,[26 28] ; [ 8 15],[23.84415584 30.15584416] ; [10.15584416 12.84415584],0
s7,1,0.289977,1.119729,[23 28] ; [ 7 15],[20.95890411 30.04109589] ; [ 9.04109589 12.95890411],0
p6,1,0.304022,1.056469,[16 38] ; [ 4 18],[14.21052632 39.78947368] ; [ 5.78947368 16.21052632],0
n3,1,0.312563,1.019814,[14  6] ; [8 7],[12.57142857  7.42857143] ; [9.42857143 5.57142857],0
v2,1,0.314735,1.010703,[27 26] ; [14  8],[28.97333333 24.02666667] ; [12.02666667  9.97333333],0
u2,1,0.359734,0.838821,[12 13] ; [2 5],[10.9375 14.0625] ; [3.0625 3.9375],0
v1,1,0.364477,0.822407,[22 29] ; [ 7 15],[20.26027397 30.73972603] ; [ 8.73972603 13.26027397],0
s5,1,0.374721,0.78795,[12 41] ; [ 3 19],[10.6 42.4] ; [ 4.4 17.6],0
n5,1,0.39035,0.737851,[31 22] ; [11 12],[29.28947368 23.71052632] ; [12.71052632 10.28947368],0
a4,1,0.403834,0.696879,[14 41] ; [ 8 15],[15.51282051 39.48717949] ; [ 6.48717949 16.51282051],0
a2,1,0.416158,0.66114,[ 4 51] ; [ 3 20],[ 4.93589744 50.06410256] ; [ 2.06410256 20.93589744],0
d4,1,0.44088,0.593992,[41 14] ; [19  4],[42.30769231 12.69230769] ; [17.69230769  5.30769231],0
u3,1,0.453508,0.56187,[ 7 18] ; [3 4],[ 7.8125 17.1875] ; [2.1875 4.8125],0
a1,1,0.594108,0.283974,[ 3 52] ; [ 2 21],[ 3.52564103 51.47435897] ; [ 1.47435897 21.52564103],0
a8,1,0.639435,0.219482,[ 3 49] ; [ 2 21],[ 3.46666667 48.53333333] ; [ 1.53333333 21.46666667],0
n1,1,0.677392,0.173077,[ 5 15] ; [ 5 11],[ 5.55555556 14.44444444] ; [ 4.44444444 11.55555556],0
r1,1,0.696515,0.152123,[14 40] ; [ 5 18],[13.32467532 40.67532468] ; [ 5.67532468 17.32467532],0
a6,1,0.803891,0.06166,[28 27] ; [11 12],[27.5 27.5] ; [11.5 11.5],0
d3,1,0.820193,0.051664,[29 25] ; [13 10],[29.45454545 24.54545455] ; [12.54545455 10.45454545],0
b4,1,0.82583,0.048423,[32 23] ; [14  9],[32.43589744 22.56410256] ; [13.56410256  9.43589744],0
d5,1,0.843178,0.039137,[37 18] ; [16  7],[37.37179487 17.62820513] ; [15.62820513  7.37179487],0
b1,1,0.872865,0.025606,[25 30] ; [10 13],[24.67948718 30.32051282] ; [10.32051282 12.67948718],0
b5,1,0.89236,0.018311,[32 23] ; [13 10],[31.73076923 23.26923077] ; [13.26923077  9.73076923],0
a7,1,0.89236,0.018311,[32 23] ; [13 10],[31.73076923 23.26923077] ; [13.26923077  9.73076923],0
r2,1,0.908908,0.013091,[28 22] ; [12 10],[27.77777778 22.22222222] ; [12.22222222  9.77777778],0
s4,1,0.933886,0.006882,[10 45] ; [ 4 19],[ 9.87179487 45.12820513] ; [ 4.12820513 18.87179487],0
n2,1,0.935518,0.006545,[14  6] ; [11  5],[13.88888889  6.11111111] ; [11.11111111  4.88888889],0
b2,1,0.956645,0.002955,[ 9 23] ; [3 8],[ 8.93023256 23.06976744] ; [3.06976744 7.93023256],0
b3,1,0.956645,0.002955,[ 9 23] ; [3 8],[ 8.93023256 23.06976744] ; [3.06976744 7.93023256],0
v3,1,0.993848,5.9e-05,[12 43] ; [ 5 18],[11.98717949 43.01282051] ; [ 5.01282051 17.98717949],0
