Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.8e-05,18.341968,[76 35] ; [350  57],[91.28571429 19.71428571] ; [334.71428571  72.28571429],1
a4,1,0.78468,0.074652,[53 58] ; [187 217],[51.72815534 59.27184466] ; [188.27184466 215.72815534],0
p8,1,0.79437,0.067934,[58 51] ; [219 182],[59.20196078 49.79803922] ; [217.79803922 183.20196078],0
p4,1,0.796774,0.066319,[72 39] ; [268 137],[73.13953488 37.86046512] ; [266.86046512 138.13953488],0
p1,1,0.809389,0.058184,[ 11 100] ; [ 37 367],[ 10.34563107 100.65436893] ; [ 37.65436893 366.34563107],0
p3,1,0.810402,0.057555,[59 52] ; [221 185],[60.11605416 50.88394584] ; [219.88394584 186.11605416],0
a5,1,0.885977,0.020563,[85 26] ; [309  98],[84.42857143 26.57142857] ; [309.57142857  97.42857143],0
a3,1,0.897867,0.016475,[81 30] ; [298 107],[81.52906977 29.47093023] ; [297.47093023 107.52906977],0
u1,1,0.901191,0.015415,[24 87] ; [ 86 322],[23.52601156 87.47398844] ; [ 86.47398844 321.52601156],0
n2,1,0.933785,0.006903,[23  8] ; [58 21],[22.82727273  8.17272727] ; [58.17272727 20.82727273],0
v4,1,0.967544,0.001656,[107   4] ; [392  15],[106.92857143   4.07142857] ; [392.07142857  14.92857143],0
p7,1,0.987292,0.000254,[71 37] ; [260 135],[71.0695825 36.9304175] ; [259.9304175 135.0695825],0
