Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8e-06,19.961684,[ 7 39] ; [12  4],[14.09677419 31.90322581] ; [ 4.90322581 11.09677419],1
p10,1,0.176557,1.826366,[14 31] ; [8 8],[16.2295082 28.7704918] ; [ 5.7704918 10.2295082],0
d4,1,0.179626,1.800712,[29 17] ; [13  3],[31.16129032 14.83870968] ; [10.83870968  5.16129032],0
n3,1,0.208359,1.582792,[ 9 13] ; [3 1],[10.15384615 11.84615385] ; [1.84615385 2.15384615],0
p9,1,0.223397,1.482415,[17 27] ; [9 7],[19.06666667 24.93333333] ; [6.93333333 9.06666667],0
p5,1,0.263548,1.250024,[ 2 43] ; [ 2 14],[ 2.95081967 42.04918033] ; [ 1.04918033 14.95081967],0
s5,1,0.278959,1.172157,[ 6 39] ; [ 4 12],[ 7.37704918 37.62295082] ; [ 2.62295082 13.37704918],0
d5,1,0.314608,1.01123,[25 21] ; [11  5],[26.70967742 19.29032258] ; [9.29032258 6.70967742],0
v1,1,0.317115,1.00081,[11 34] ; [ 6 10],[12.54098361 32.45901639] ; [ 4.45901639 11.54098361],0
d1,1,0.359598,0.839295,[17 29] ; [8 8],[18.5483871 27.4516129] ; [6.4516129 9.5483871],0
v3,1,0.362981,0.827553,[ 5 41] ; [ 3 12],[ 6.03278689 39.96721311] ; [ 1.96721311 13.03278689],0
s7,1,0.403233,0.698664,[ 8 36] ; [ 4 10],[ 9.10344828 34.89655172] ; [ 2.89655172 11.10344828],0
p1,1,0.417985,0.655973,[ 5 41] ; [ 3 13],[ 5.93548387 40.06451613] ; [ 2.06451613 13.93548387],0
a4,1,0.439811,0.596775,[16 29] ; [ 4 12],[14.75409836 30.24590164] ; [ 5.24590164 10.75409836],0
b4,1,0.57407,0.31592,[28 18] ; [11  5],[28.93548387 17.06451613] ; [10.06451613  5.93548387],0
a2,1,0.590334,0.289823,[ 5 41] ; [ 1 15],[ 4.4516129 41.5483871] ; [ 1.5483871 14.4516129],0
b2,1,0.619039,0.247221,[12 19] ; [3 7],[11.34146341 19.65853659] ; [3.65853659 6.34146341],0
b3,1,0.619039,0.247221,[12 19] ; [3 7],[11.34146341 19.65853659] ; [3.65853659 6.34146341],0
a8,1,0.619257,0.246914,[ 5 40] ; [ 1 14],[ 4.5 40.5] ; [ 1.5 13.5],0
r1,1,0.630843,0.230919,[17 29] ; [7 9],[17.80645161 28.19354839] ; [6.19354839 9.80645161],0
v2,1,0.64009,0.218625,[14 31] ; [ 6 10],[14.75409836 30.24590164] ; [ 5.24590164 10.75409836],0
b5,1,0.666539,0.185677,[23 23] ; [7 9],[22.25806452 23.74193548] ; [7.74193548 8.25806452],0
d2,1,0.723691,0.124984,[22 23] ; [7 9],[21.39344262 23.60655738] ; [7.60655738 8.39344262],0
u1,1,0.760046,0.093282,[ 2 44] ; [ 1 15],[ 2.22580645 43.77419355] ; [ 0.77419355 15.22580645],0
a7,1,0.778355,0.079222,[22 24] ; [7 9],[21.51612903 24.48387097] ; [7.48387097 8.51612903],0
n1,1,0.80857,0.058696,[10 13] ; [2 2],[10.22222222 12.77777778] ; [1.77777778 2.22222222],0
n2,1,0.80857,0.058696,[10 13] ; [2 2],[10.22222222 12.77777778] ; [1.77777778 2.22222222],0
r3,1,0.818623,0.052586,[24 21] ; [8 8],[23.60655738 21.39344262] ; [8.39344262 7.60655738],0
s1,1,0.859113,0.031508,[ 5 41] ; [ 2 14],[ 5.19354839 40.80645161] ; [ 1.80645161 14.19354839],0
n5,1,0.864411,0.02916,[27 19] ; [9 7],[26.70967742 19.29032258] ; [9.29032258 6.70967742],0
b1,1,0.895226,0.017343,[25 21] ; [9 7],[25.22580645 20.77419355] ; [8.77419355 7.22580645],0
p11,1,0.908184,0.013301,[18 28] ; [ 6 10],[17.80645161 28.19354839] ; [6.19354839 9.80645161],0
n4,1,0.969079,0.001503,[29 17] ; [10  6],[28.93548387 17.06451613] ; [10.06451613  5.93548387],0
