Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.576478,[72 27] ; [ 5 20],[61.47580645 37.52419355] ; [15.52419355  9.47580645],1
p6,1,0.013062,6.160714,[27 69] ; [ 1 23],[22.4 73.6] ; [ 5.6 18.4],0
n3,1,0.01422,6.010618,[22 13] ; [ 3 10],[18.22916667 16.77083333] ; [6.77083333 6.22916667],0
d1,1,0.017338,5.661835,[50 49] ; [ 6 19],[44.70967742 54.29032258] ; [11.29032258 13.70967742],0
d3,1,0.017741,5.621552,[64 33] ; [10 15],[58.83606557 38.16393443] ; [15.16393443  9.83606557],0
s6,1,0.021087,5.319605,[44 53] ; [ 5 20],[38.95901639 58.04098361] ; [10.04098361 14.95901639],0
b5,1,0.021805,5.261254,[68 31] ; [11 14],[63.07258065 35.92741935] ; [15.92741935  9.07258065],0
s8,1,0.02196,5.248949,[24 73] ; [ 1 24],[19.87704918 77.12295082] ; [ 5.12295082 19.87704918],0
p1,1,0.023419,5.137164,[ 2 97] ; [ 3 22],[ 3.99193548 95.00806452] ; [ 1.00806452 23.99193548],0
p8,1,0.057473,3.608856,[30 67] ; [ 3 22],[26.23770492 70.76229508] ; [ 6.76229508 18.23770492],0
s5,1,0.07577,3.153374,[23 72] ; [ 2 23],[19.79166667 75.20833333] ; [ 5.20833333 19.79166667],0
p4,1,0.082805,3.008969,[37 59] ; [ 5 20],[33.32231405 62.67768595] ; [ 8.67768595 16.32231405],0
a4,1,0.087696,2.916167,[48 51] ; [ 7 17],[44.26829268 54.73170732] ; [10.73170732 13.26829268],0
a7,1,0.125543,2.346764,[67 31] ; [13 12],[63.7398374 34.2601626] ; [16.2601626  8.7398374],0
s7,1,0.126583,2.333917,[26 65] ; [ 3 20],[23.14912281 67.85087719] ; [ 5.85087719 17.14912281],0
a5,1,0.126801,2.331235,[64 35] ; [12 13],[60.67741935 38.32258065] ; [15.32258065  9.67741935],0
a6,1,0.159936,1.974828,[59 40] ; [11 14],[55.88709677 43.11290323] ; [14.11290323 10.88709677],0
b2,1,0.182899,1.773913,[15 36] ; [8 9],[17.25 33.75] ; [ 5.75 11.25],0
b3,1,0.182899,1.773913,[15 36] ; [8 9],[17.25 33.75] ; [ 5.75 11.25],0
a3,1,0.189414,1.722171,[67 31] ; [13 11],[64.26229508 33.73770492] ; [15.73770492  8.26229508],0
v3,1,0.215885,1.531516,[35 59] ; [ 6 19],[32.38655462 61.61344538] ; [ 8.61344538 16.38655462],0
n2,1,0.256039,1.290047,[21 16] ; [5 8],[19.24 17.76] ; [6.76 6.24],0
d2,1,0.282013,1.157363,[45 54] ; [ 8 16],[42.65853659 56.34146341] ; [10.34146341 13.65853659],0
a2,1,0.284344,1.146212,[26 73] ; [ 4 21],[23.9516129 75.0483871] ; [ 6.0483871 18.9516129],0
s2,1,0.288309,1.1275,[21 77] ; [ 3 22],[19.12195122 78.87804878] ; [ 4.87804878 20.12195122],0
p12,1,0.297208,1.08668,[ 1 96] ; [ 1 24],[ 1.59016393 95.40983607] ; [ 0.40983607 24.59016393],0
n4,1,0.389623,0.740118,[58 41] ; [17  8],[59.87903226 39.12096774] ; [15.12096774  9.87903226],0
b1,1,0.502813,0.448994,[52 47] ; [15 10],[53.49193548 45.50806452] ; [13.50806452 11.49193548],0
s1,1,0.576655,0.311673,[ 5 93] ; [ 2 23],[ 5.57723577 92.42276423] ; [ 1.42276423 23.57723577],0
s4,1,0.593137,0.285472,[16 82] ; [ 3 22],[15.13821138 82.86178862] ; [ 3.86178862 21.13821138],0
a8,1,0.681703,0.168215,[ 5 82] ; [ 2 23],[ 5.4375 81.5625] ; [ 1.5625 23.4375],0
n1,1,0.81835,0.052747,[12 23] ; [4 9],[11.66666667 23.33333333] ; [4.33333333 8.66666667],0
b4,1,0.819502,0.052069,[54 45] ; [13 12],[53.49193548 45.50806452] ; [13.50806452 11.49193548],0
v1,1,0.898901,0.016142,[37 62] ; [ 9 16],[36.72580645 62.27419355] ; [ 9.27419355 15.72580645],0
n5,1,0.940872,0.005502,[58 40] ; [15 10],[58.16260163 39.83739837] ; [14.83739837 10.16260163],0
