Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.001249,10.416667,[17  7] ; [ 3 13],[12. 12.] ; [8. 8.],0
s3,1,0.577894,0.309651,[ 9 13] ; [8 8],[ 9.84210526 12.15789474] ; [7.15789474 8.84210526],0
a7,1,0.601456,0.272805,[13 11] ; [10  6],[13.8 10.2] ; [9.2 6.8],0
a4,1,0.606185,0.265768,[13 12] ; [7 9],[12.19512195 12.80487805] ; [7.80487805 8.19512195],0
v3,1,0.630843,0.23092,[ 8 17] ; [ 4 12],[ 7.31707317 17.68292683] ; [ 4.68292683 11.31707317],0
b1,1,0.707047,0.141244,[11 14] ; [8 8],[11.58536585 13.41463415] ; [7.41463415 8.58536585],0
s2,1,0.710644,0.137634,[ 7 16] ; [ 4 12],[ 6.48717949 16.51282051] ; [ 4.51282051 11.48717949],0
p5,1,0.757093,0.095667,[ 4 21] ; [ 2 14],[ 3.65853659 21.34146341] ; [ 2.34146341 13.65853659],0
a5,1,0.812074,0.056526,[15 10] ; [9 7],[14.63414634 10.36585366] ; [9.36585366 6.63414634],0
a2,1,0.819429,0.052111,[ 4 21] ; [ 3 13],[ 4.26829268 20.73170732] ; [ 2.73170732 13.26829268],0
d5,1,0.832506,0.044727,[18  7] ; [12  4],[18.29268293  6.70731707] ; [11.70731707  4.29268293],0
a8,1,0.833497,0.044192,[ 1 19] ; [ 1 14],[ 1.14285714 18.85714286] ; [ 0.85714286 14.14285714],0
d4,1,0.871799,0.026042,[19  5] ; [13  3],[19.2  4.8] ; [12.8  3.2],0
n4,1,0.87282,0.025625,[15 10] ; [10  6],[15.24390244  9.75609756] ; [9.75609756 6.24390244],0
n5,1,0.89611,0.01705,[14 10] ; [9 7],[13.8 10.2] ; [9.2 6.8],0
a6,1,0.900542,0.015619,[12 13] ; [8 8],[12.19512195 12.80487805] ; [7.80487805 8.19512195],0
b2,1,0.946434,0.004514,[ 5 11] ; [3 7],[ 4.92307692 11.07692308] ; [3.07692308 6.92307692],0
b3,1,0.946434,0.004514,[ 5 11] ; [3 7],[ 4.92307692 11.07692308] ; [3.07692308 6.92307692],0
s4,1,0.961935,0.002278,[ 3 22] ; [ 2 14],[ 3.04878049 21.95121951] ; [ 1.95121951 14.04878049],0
