Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6.6e-05,15.926157,[74 11] ; [10 11],[67.35849057 17.64150943] ; [16.64150943  4.35849057],1
n5,1,0.395799,0.721051,[48 37] ; [14  7],[49.71698113 35.28301887] ; [12.28301887  8.71698113],0
d4,1,0.407474,0.686158,[49 36] ; [10 11],[47.31132075 37.68867925] ; [11.68867925  9.31132075],0
a3,1,0.474608,0.511228,[31 53] ; [ 6 15],[29.6 54.4] ; [ 7.4 13.6],0
b4,1,0.510517,0.433007,[50 35] ; [14  7],[51.32075472 33.67924528] ; [12.67924528  8.32075472],0
a8,1,0.529545,0.395265,[ 7 71] ; [ 1 20],[ 6.3030303 71.6969697] ; [ 1.6969697 19.3030303],0
n4,1,0.584142,0.299587,[47 38] ; [13  8],[48.11320755 36.88679245] ; [11.88679245  9.11320755],0
s4,1,0.584417,0.299147,[21 64] ; [ 4 17],[20.04716981 64.95283019] ; [ 4.95283019 16.04716981],0
d3,1,0.592022,0.287198,[41 42] ; [ 9 12],[39.90384615 43.09615385] ; [10.09615385 10.90384615],0
n3,1,0.593231,0.285326,[19  9] ; [4 3],[18.4  9.6] ; [4.6 2.4],0
v2,1,0.604919,0.267641,[30 53] ; [ 6 14],[29.00970874 53.99029126] ; [ 6.99029126 13.00970874],0
a4,1,0.669005,0.182768,[11 74] ; [ 2 19],[10.4245283 74.5754717] ; [ 2.5754717 18.4245283],0
s3,1,0.723295,0.125357,[33 51] ; [ 7 13],[32.30769231 51.69230769] ; [ 7.69230769 12.30769231],0
a6,1,0.873032,0.025539,[34 51] ; [ 8 13],[33.67924528 51.32075472] ; [ 8.32075472 12.67924528],0
b1,1,0.873032,0.025539,[34 51] ; [ 8 13],[33.67924528 51.32075472] ; [ 8.32075472 12.67924528],0
