Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,35.446889,[72 10] ; [113 112],[49.41368078 32.58631922] ; [135.58631922  89.41368078],1
d3,1,0.61815,0.248476,[56 29] ; [142  84],[54.11575563 30.88424437] ; [143.88424437  82.11575563],0
d5,1,0.663182,0.189681,[65 20] ; [178  48],[66.414791 18.585209] ; [176.585209  49.414791],0
p11,1,0.698724,0.149803,[64 21] ; [166  61],[62.66025641 22.33974359] ; [167.33974359  59.66025641],0
n1,1,0.739057,0.110957,[ 8 11] ; [25 41],[ 7.37647059 11.62352941] ; [25.62352941 40.37647059],0
a8,1,0.764587,0.089678,[10 66] ; [ 31 182],[10.78200692 65.21799308] ; [ 30.21799308 182.78200692],0
b4,1,0.770543,0.085068,[49 36] ; [135  92],[50.12820513 34.87179487] ; [133.87179487  93.12820513],0
b1,1,0.789249,0.071442,[37 48] ; [ 95 132],[35.96153846 49.03846154] ; [ 96.03846154 130.96153846],0
a3,1,0.789877,0.071007,[60 25] ; [156  70],[59.03536977 25.96463023] ; [156.96463023  69.03536977],0
d4,1,0.793021,0.068849,[65 19] ; [178  48],[65.84516129 18.15483871] ; [177.15483871  48.84516129],0
a6,1,0.869535,0.026978,[58 27] ; [152  74],[57.39549839 27.60450161] ; [152.60450161  73.39549839],0
a1,1,0.958178,0.00275,[ 5 80] ; [ 13 214],[ 4.90384615 80.09615385] ; [ 13.09615385 213.90384615],0
d1,1,0.971238,0.0013,[47 38] ; [125 102],[46.85897436 38.14102564] ; [125.14102564 101.85897436],0
a7,1,0.997896,7e-06,[57 27] ; [154  73],[56.9903537 27.0096463] ; [154.0096463  72.9903537],0
