Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001728,9.818182,[16 28] ; [17  5],[22. 22.] ; [11. 11.],0
d2,1,0.306556,1.045455,[20 26] ; [13 10],[22. 24.] ; [11. 12.],0
a1,1,0.364763,0.821429,[ 5 41] ; [ 1 22],[ 4. 42.] ; [ 2. 21.],0
d4,1,0.364763,0.821429,[41  5] ; [22  1],[42.  4.] ; [21.  2.],0
b2,1,0.405033,0.693333,[ 8 16] ; [7 8],[ 9.23076923 14.76923077] ; [5.76923077 9.23076923],0
b3,1,0.405033,0.693333,[ 8 16] ; [7 8],[ 9.23076923 14.76923077] ; [5.76923077 9.23076923],0
p4,1,0.441915,0.591304,[21 24] ; [13 10],[22.5 22.5] ; [11.5 11.5],0
n1,1,0.451967,0.565714,[6 9] ; [4 3],[6.81818182 8.18181818] ; [3.18181818 3.81818182],0
a6,1,0.495823,0.463866,[22 24] ; [13 10],[23.33333333 22.66666667] ; [11.66666667 11.33333333],0
r2,1,0.497279,0.460738,[41  4] ; [22  1],[41.69117647  3.30882353] ; [21.30882353  1.69117647],0
p12,1,0.497279,0.460738,[ 4 41] ; [ 1 22],[ 3.30882353 41.69117647] ; [ 1.69117647 21.30882353],0
u1,1,0.500466,0.453947,[ 7 39] ; [ 5 18],[ 8. 38.] ; [ 4. 19.],0
s1,1,0.511376,0.43125,[ 4 42] ; [ 1 22],[ 3.33333333 42.66666667] ; [ 1.66666667 21.33333333],0
n3,1,0.512691,0.428571,[10  4] ; [4 3],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
p8,1,0.528829,0.39664,[20 25] ; [ 8 14],[18.80597015 26.19402985] ; [ 9.19402985 12.80597015],0
p7,1,0.564817,0.331431,[23 20] ; [14  9],[24.10606061 18.89393939] ; [12.89393939 10.10606061],0
d3,1,0.578888,0.308036,[31 15] ; [17  6],[32. 14.] ; [16.  7.],0
n2,1,0.603743,0.269388,[9 6] ; [5 2],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
r1,1,0.618705,0.247691,[32 13] ; [15  8],[31.10294118 13.89705882] ; [15.89705882  7.10294118],0
s3,1,0.67532,0.175442,[27 18] ; [15  8],[27.79411765 17.20588235] ; [14.20588235  8.79411765],0
n4,1,0.692765,0.156109,[12 34] ; [ 5 18],[11.33333333 34.66666667] ; [ 5.66666667 17.33333333],0
p9,1,0.702452,0.145934,[35 10] ; [18  4],[35.59701493  9.40298507] ; [17.40298507  4.59701493],0
s8,1,0.728808,0.120209,[18 28] ; [10 13],[18.66666667 27.33333333] ; [ 9.33333333 13.66666667],0
v2,1,0.733451,0.115966,[24 22] ; [11 12],[23.33333333 22.66666667] ; [11.66666667 11.33333333],0
p10,1,0.766279,0.088355,[33 11] ; [18  5],[33.49253731 10.50746269] ; [17.50746269  5.49253731],0
v4,1,0.78127,0.077097,[41  3] ; [21  2],[40.71641791  3.28358209] ; [21.28358209  1.71641791],0
v3,1,0.80563,0.060549,[13 32] ; [ 7 15],[13.43283582 31.56716418] ; [ 6.56716418 15.43283582],0
a3,1,0.80851,0.058733,[28 17] ; [15  8],[28.45588235 16.54411765] ; [14.54411765  8.45588235],0
a5,1,0.855063,0.033366,[31 15] ; [16  7],[31.33333333 14.66666667] ; [15.66666667  7.33333333],0
n6,1,0.954456,0.003262,[31 14] ; [16  7],[31.10294118 13.89705882] ; [15.89705882  7.10294118],0
b5,1,1.0,0.0,[24 22] ; [12 11],[24. 22.] ; [12. 11.],0
u2,1,1.0,0.0,[9 9] ; [4 4],[9. 9.] ; [4. 4.],0
a2,1,1.0,0.0,[ 8 38] ; [ 4 19],[ 8. 38.] ; [ 4. 19.],0
b1,1,1.0,0.0,[14 32] ; [ 7 16],[14. 32.] ; [ 7. 16.],0
