Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,60.872727,[78  2] ; [15 29],[60. 20.] ; [33. 11.],1
b3,1,0.080515,3.054468,[12 37] ; [13 17],[15.50632911 33.49367089] ; [ 9.49367089 20.50632911],0
a5,1,0.089809,2.877799,[49 31] ; [21 25],[44.44444444 35.55555556] ; [25.55555556 20.44444444],0
d3,1,0.098128,2.7357,[47 33] ; [20 26],[42.53968254 37.46031746] ; [24.46031746 21.53968254],0
p6,1,0.107815,2.585959,[16 63] ; [ 4 40],[12.84552846 66.15447154] ; [ 7.15447154 36.84552846],0
a8,1,0.143491,2.140112,[ 7 66] ; [ 1 41],[ 5.07826087 67.92173913] ; [ 2.92173913 39.07826087],0
b5,1,0.155559,2.016879,[47 33] ; [21 25],[43.17460317 36.82539683] ; [24.82539683 21.17460317],0
d4,1,0.163955,1.93736,[57 22] ; [27 18],[53.51612903 25.48387097] ; [30.48387097 14.51612903],0
v3,1,0.181611,1.784394,[22 55] ; [ 8 37],[18.93442623 58.06557377] ; [11.06557377 33.93442623],0
d5,1,0.231168,1.433662,[57 23] ; [28 18],[53.96825397 26.03174603] ; [31.03174603 14.96825397],0
n4,1,0.236071,1.403901,[53 27] ; [25 20],[49.92 30.08] ; [28.08 16.92],0
s1,1,0.244922,1.352037,[ 3 75] ; [ 4 41],[ 4.43902439 73.56097561] ; [ 2.56097561 42.43902439],0
b4,1,0.276979,1.181854,[53 27] ; [26 20],[50.15873016 29.84126984] ; [28.84126984 17.15873016],0
u1,1,0.288182,1.128097,[10 70] ; [ 3 43],[ 8.25396825 71.74603175] ; [ 4.74603175 41.25396825],0
s7,1,0.337887,0.918431,[16 60] ; [ 6 37],[14.05042017 61.94957983] ; [ 7.94957983 35.05042017],0
p1,1,0.366846,0.81432,[ 5 74] ; [ 5 41],[ 6.32 72.68] ; [ 3.68 42.32],0
s4,1,0.383932,0.758073,[ 8 72] ; [ 7 39],[ 9.52380952 70.47619048] ; [ 5.47619048 40.52380952],0
n5,1,0.403093,0.699081,[40 40] ; [26 19],[42.24 37.76] ; [23.76 21.24],0
a4,1,0.516728,0.42042,[27 52] ; [18 27],[28.66935484 50.33064516] ; [16.33064516 28.66935484],0
v2,1,0.569529,0.323471,[30 48] ; [15 30],[28.53658537 49.46341463] ; [16.46341463 28.53658537],0
n1,1,0.572014,0.319325,[10 13] ; [10 18],[ 9.01960784 13.98039216] ; [10.98039216 17.01960784],0
s5,1,0.588457,0.292761,[13 65] ; [ 6 40],[11.9516129 66.0483871] ; [ 7.0483871 38.9516129],0
u2,1,0.639003,0.220049,[17 19] ; [ 9 13],[16.13793103 19.86206897] ; [ 9.86206897 12.13793103],0
b1,1,0.65807,0.195876,[45 35] ; [24 22],[43.80952381 36.19047619] ; [25.19047619 20.80952381],0
p12,1,0.696374,0.152271,[ 1 78] ; [ 1 45],[ 1.264 77.736] ; [ 0.736 45.264],0
p10,1,0.768278,0.086806,[17 61] ; [ 9 37],[16.35483871 61.64516129] ; [ 9.64516129 36.35483871],0
a3,1,0.776655,0.080475,[43 37] ; [23 22],[42.24 37.76] ; [23.76 21.24],0
a2,1,0.878624,0.023321,[13 67] ; [ 7 39],[12.6984127 67.3015873] ; [ 7.3015873 38.6984127],0
d1,1,0.89586,0.017133,[34 46] ; [19 27],[33.65079365 46.34920635] ; [19.34920635 26.65079365],0
p5,1,0.922408,0.009487,[ 2 78] ; [ 1 44],[ 1.92 78.08] ; [ 1.08 43.92],0
d2,1,0.980656,0.000588,[38 42] ; [21 23],[38.06451613 41.93548387] ; [20.93548387 23.06451613],0
