Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.008739,6.875445,[12 34] ; [10  6],[16.32258065 29.67741935] ; [ 5.67741935 10.32258065],0
b2,1,0.439734,0.596977,[12 21] ; [5 5],[13.04651163 19.95348837] ; [3.95348837 6.04651163],0
b3,1,0.439734,0.596977,[12 21] ; [5 5],[13.04651163 19.95348837] ; [3.95348837 6.04651163],0
v4,1,0.476961,0.505804,[27 19] ; [11  5],[28.19354839 17.80645161] ; [9.80645161 6.19354839],0
p2,1,0.487825,0.48132,[20 26] ; [ 5 10],[18.85245902 27.14754098] ; [6.14754098 8.85245902],0
r4,1,0.506983,0.44029,[ 8 38] ; [ 4 12],[ 8.90322581 37.09677419] ; [ 3.09677419 12.90322581],0
u2,1,0.529138,0.396046,[ 6 15] ; [1 1],[ 6.39130435 14.60869565] ; [0.60869565 1.39130435],0
p5,1,0.531168,0.392157,[ 6 39] ; [ 3 12],[ 6.75 38.25] ; [ 2.25 12.75],0
r1,1,0.545673,0.365125,[19 27] ; [8 8],[20.03225806 25.96774194] ; [6.96774194 9.03225806],0
d4,1,0.545673,0.365125,[27 19] ; [8 8],[25.96774194 20.03225806] ; [9.03225806 6.96774194],0
d5,1,0.571061,0.320911,[25 21] ; [10  6],[25.96774194 20.03225806] ; [9.03225806 6.96774194],0
a1,1,0.576745,0.311526,[ 6 40] ; [ 3 13],[ 6.67741935 39.32258065] ; [ 2.32258065 13.67741935],0
p7,1,0.629716,0.232446,[16 29] ; [ 4 10],[15.25423729 29.74576271] ; [4.74576271 9.25423729],0
r2,1,0.666075,0.186228,[31 15] ; [11  4],[31.67213115 14.32786885] ; [10.32786885  4.67213115],0
p9,1,0.670301,0.18125,[21 21] ; [9 7],[21.72413793 20.27586207] ; [8.27586207 7.72413793],0
a4,1,0.679708,0.170455,[14 30] ; [ 6 10],[14.66666667 29.33333333] ; [ 5.33333333 10.66666667],0
p3,1,0.781111,0.077212,[14 32] ; [ 4 11],[13.57377049 32.42622951] ; [ 4.42622951 10.57377049],0
p11,1,0.797044,0.066139,[16 30] ; [ 5 11],[15.58064516 30.41935484] ; [ 5.41935484 10.58064516],0
d1,1,0.797044,0.066139,[16 30] ; [ 5 11],[15.58064516 30.41935484] ; [ 5.41935484 10.58064516],0
n5,1,0.801159,0.063427,[33 13] ; [12  4],[33.38709677 12.61290323] ; [11.61290323  4.38709677],0
p10,1,0.818623,0.052586,[21 24] ; [8 8],[21.39344262 23.60655738] ; [7.60655738 8.39344262],0
n4,1,0.844861,0.038291,[30 16] ; [10  6],[29.67741935 16.32258065] ; [10.32258065  5.67741935],0
b4,1,0.844861,0.038291,[30 16] ; [10  6],[29.67741935 16.32258065] ; [10.32258065  5.67741935],0
n1,1,0.848846,0.036325,[14 12] ; [4 4],[13.76470588 12.23529412] ; [4.23529412 3.76470588],0
b5,1,0.88086,0.022464,[22 24] ; [8 8],[22.25806452 23.74193548] ; [7.74193548 8.25806452],0
b1,1,0.908184,0.013301,[28 18] ; [10  6],[28.19354839 17.80645161] ; [9.80645161 6.19354839],0
s5,1,0.943323,0.005054,[ 9 37] ; [ 3 13],[ 8.90322581 37.09677419] ; [ 3.09677419 12.90322581],0
