Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.3e-05,17.909611,[27 19] ; [ 41 120],[15.11111111 30.88888889] ; [ 52.88888889 108.11111111],1
v4,1,0.343944,0.895676,[41  3] ; [142  19],[39.27804878  4.72195122] ; [143.72195122  17.27804878],0
b5,1,0.366422,0.815764,[24 22] ; [96 65],[26.66666667 19.33333333] ; [93.33333333 67.66666667],0
a5,1,0.379136,0.773501,[31 15] ; [97 64],[28.44444444 17.55555556] ; [99.55555556 61.44444444],0
u2,1,0.451345,0.567273,[9 9] ; [36 24],[10.38461538  7.61538462] ; [34.61538462 25.38461538],0
u3,1,0.50814,0.437895,[ 8 10] ; [32 28],[9.23076923 8.76923077] ; [30.76923077 29.23076923],0
a2,1,0.526589,0.400969,[ 8 38] ; [ 22 139],[ 6.66666667 39.33333333] ; [ 23.33333333 137.66666667],0
b4,1,0.541616,0.372553,[30 16] ; [97 64],[28.22222222 17.77777778] ; [98.77777778 62.22222222],0
p4,1,0.566161,0.329148,[21 24] ; [67 93],[19.31707317 25.68292683] ; [68.68292683 91.31707317],0
b2,1,0.582123,0.302815,[ 8 16] ; [24 63],[ 6.91891892 17.08108108] ; [25.08108108 61.91891892],0
b3,1,0.582123,0.302815,[ 8 16] ; [24 63],[ 6.91891892 17.08108108] ; [25.08108108 61.91891892],0
v2,1,0.621983,0.24309,[24 22] ; [73 79],[22.53535354 23.46464646] ; [74.46464646 77.53535354],0
v3,1,0.651167,0.204432,[13 32] ; [ 38 111],[11.82989691 33.17010309] ; [ 39.17010309 109.82989691],0
a7,1,0.703401,0.144958,[35 11] ; [118  43],[34. 12.] ; [119.  42.],0
r4,1,0.750612,0.101018,[37  9] ; [126  35],[36.22222222  9.77777778] ; [126.77777778  34.22222222],0
p8,1,0.815908,0.054201,[20 25] ; [68 92],[19.31707317 25.68292683] ; [68.68292683 91.31707317],0
n2,1,0.819202,0.052245,[9 6] ; [31 18],[9.375 5.625] ; [30.625 18.375],0
p6,1,0.822469,0.050342,[10 34] ; [ 33 123],[ 9.46 34.54] ; [ 33.54 122.46],0
a8,1,0.833544,0.044167,[ 3 40] ; [ 12 139],[ 3.32474227 39.67525773] ; [ 11.67525773 139.32474227],0
d3,1,0.844354,0.038545,[31 15] ; [106  55],[30.44444444 15.55555556] ; [106.55555556  54.44444444],0
p11,1,0.872806,0.025631,[32 14] ; [110  51],[31.55555556 14.44444444] ; [110.44444444  50.55555556],0
p1,1,0.899085,0.016082,[ 3 41] ; [ 10 149],[ 2.81773399 41.18226601] ; [ 10.18226601 148.81773399],0
p7,1,0.908248,0.013282,[23 20] ; [84 76],[22.66502463 20.33497537] ; [84.33497537 75.66502463],0
a3,1,0.928905,0.007961,[28 17] ; [99 62],[27.74271845 17.25728155] ; [99.25728155 61.74271845],0
d1,1,0.940735,0.005527,[22 24] ; [78 83],[22.22222222 23.77777778] ; [77.77777778 83.22222222],0
r1,1,0.966782,0.001734,[32 13] ; [115  46],[32.11165049 12.88834951] ; [114.88834951  46.11165049],0
a4,1,1.0,0.0,[16 30] ; [ 56 105],[16. 30.] ; [ 56. 105.],0
n3,1,1.0,0.0,[10  4] ; [35 14],[10.  4.] ; [35. 14.],0
