Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,55.10843,[85  8] ; [ 8 24],[69.192 23.808] ; [23.808  8.192],1
s4,1,0.457753,0.551383,[20 72] ; [ 5 27],[18.5483871 73.4516129] ; [ 6.4516129 25.5483871],0
d1,1,0.492853,0.470291,[53 40] ; [16 16],[51.336 41.664] ; [17.664 14.336],0
b4,1,0.5011,0.452606,[43 50] ; [17 15],[44.64 48.36] ; [15.36 16.64],0
a6,1,0.516342,0.421194,[35 58] ; [10 22],[33.48 59.52] ; [11.52 20.48],0
p1,1,0.530666,0.393116,[ 8 84] ; [ 4 28],[ 8.90322581 83.09677419] ; [ 3.09677419 28.90322581],0
p12,1,0.597397,0.27894,[ 9 82] ; [ 4 26],[ 9.7768595 81.2231405] ; [ 3.2231405 26.7768595],0
p9,1,0.62037,0.245348,[80 12] ; [28  3],[80.7804878 11.2195122] ; [27.2195122  3.7804878],0
r1,1,0.649684,0.206299,[72 21] ; [26  6],[72.912 20.088] ; [25.088  6.912],0
s1,1,0.656425,0.197895,[ 4 89] ; [ 2 30],[ 4.464 88.536] ; [ 1.536 30.464],0
b2,1,0.69231,0.156596,[36 36] ; [11  9],[36.7826087 35.2173913] ; [10.2173913  9.7826087],0
b3,1,0.69231,0.156596,[36 36] ; [11  9],[36.7826087 35.2173913] ; [10.2173913  9.7826087],0
p11,1,0.733764,0.115683,[76 17] ; [27  5],[76.632 16.368] ; [26.368  5.632],0
n5,1,0.750696,0.100947,[77 15] ; [26  6],[76.41935484 15.58064516] ; [26.58064516  5.41935484],0
p10,1,0.752552,0.099399,[78 14] ; [27  4],[78.53658537 13.46341463] ; [26.46341463  4.53658537],0
a8,1,0.768662,0.08651,[13 76] ; [ 4 28],[12.50413223 76.49586777] ; [ 4.49586777 27.50413223],0
n3,1,0.773938,0.0825,[17  8] ; [5 3],[16.66666667  8.33333333] ; [5.33333333 2.66666667],0
p7,1,0.779062,0.078704,[63 28] ; [23  9],[63.62601626 27.37398374] ; [22.37398374  9.62601626],0
b1,1,0.784352,0.074885,[52 41] ; [17 15],[51.336 41.664] ; [17.664 14.336],0
n6,1,0.817333,0.05335,[79 13] ; [28  4],[79.38709677 12.61290323] ; [27.61290323  4.38709677],0
p4,1,0.824295,0.049295,[59 34] ; [21 11],[59.52 33.48] ; [20.48 11.52],0
n4,1,0.83622,0.042738,[79 13] ; [27  5],[78.64516129 13.35483871] ; [27.35483871  4.64516129],0
d2,1,0.889866,0.019175,[51 42] ; [18 14],[51.336 41.664] ; [17.664 14.336],0
d3,1,0.889866,0.019175,[42 51] ; [14 18],[41.664 51.336] ; [14.336 17.664],0
p3,1,0.903406,0.014728,[57 36] ; [20 12],[57.288 35.712] ; [19.712 12.288],0
r4,1,0.919623,0.010182,[82 11] ; [28  4],[81.84 11.16] ; [28.16  3.84],0
b5,1,0.941951,0.005302,[40 53] ; [14 18],[40.176 52.824] ; [13.824 18.176],0
p6,1,0.943902,0.004951,[42 49] ; [15 17],[42.17073171 48.82926829] ; [14.82926829 17.17073171],0
