Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.012074,6.3,[26 34] ; [ 9 36],[20. 40.] ; [15. 30.],0
r2,1,0.600056,0.274911,[54  7] ; [40  7],[53.09259259  7.90740741] ; [40.90740741  6.09259259],0
d4,1,0.606166,0.265796,[48 13] ; [35 12],[46.87962963 14.12037037] ; [36.12037037 10.87962963],0
u1,1,0.613523,0.255076,[ 7 54] ; [ 4 43],[ 6.21296296 54.78703704] ; [ 4.78703704 42.21296296],0
n2,1,0.613642,0.254905,[11  5] ; [16  5],[11.67567568  4.32432432] ; [15.32432432  5.67567568],0
u2,1,0.636871,0.222857,[16  9] ; [10  4],[16.66666667  8.33333333] ; [9.33333333 4.66666667],0
a4,1,0.643443,0.214268,[22 39] ; [19 28],[23.15740741 37.84259259] ; [17.84259259 29.15740741],0
s2,1,0.679309,0.170904,[31 30] ; [22 25],[29.93518519 31.06481481] ; [23.06481481 23.93518519],0
n5,1,0.691422,0.15755,[22 38] ; [19 28],[22.99065421 37.00934579] ; [18.00934579 28.99065421],0
v2,1,0.719419,0.12905,[30 26] ; [23 23],[29.09803922 26.90196078] ; [23.90196078 22.09803922],0
d2,1,0.811746,0.056727,[22 39] ; [18 29],[22.59259259 38.40740741] ; [17.40740741 29.59259259],0
a2,1,0.83196,0.045024,[10 51] ; [ 7 40],[ 9.60185185 51.39814815] ; [ 7.39814815 39.60185185],0
r1,1,0.834514,0.043646,[41 19] ; [33 14],[41.4953271 18.5046729] ; [32.5046729 14.4953271],0
n1,1,0.893314,0.017986,[ 5 11] ; [ 7 14],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
a6,1,0.91194,0.012231,[37 24] ; [29 18],[37.27777778 23.72222222] ; [28.72222222 18.27777778],0
b5,1,0.953335,0.003425,[36 25] ; [28 19],[36.14814815 24.85185185] ; [27.85185185 19.14814815],0
s3,1,0.988355,0.000213,[32 28] ; [25 22],[31.96261682 28.03738318] ; [25.03738318 21.96261682],0
v3,1,0.98928,0.000181,[15 41] ; [12 33],[14.97029703 41.02970297] ; [12.02970297 32.97029703],0
