Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.005891,7.583333,[15 11] ; [55 10],[20.  6.] ; [50. 15.],0
s6,1,0.383851,0.758333,[13 13] ; [39 26],[14.85714286 11.14285714] ; [37.14285714 27.85714286],0
d4,1,0.428268,0.627516,[19  7] ; [54 13],[20.40860215  5.59139785] ; [52.59139785 14.40860215],0
n1,1,0.485845,0.485714,[4 3] ; [4 6],[3.29411765 3.70588235] ; [4.70588235 5.29411765],0
n6,1,0.520913,0.412085,[18  8] ; [50 16],[19.2173913  6.7826087] ; [48.7826087 17.2173913],0
n5,1,0.522046,0.409849,[18  8] ; [41 25],[16.67391304  9.32608696] ; [42.32608696 23.67391304],0
s5,1,0.578546,0.308591,[ 9 15] ; [20 44],[ 7.90909091 16.09090909] ; [21.09090909 42.90909091],0
a5,1,0.598354,0.277486,[18  8] ; [50 17],[19.01075269  6.98924731] ; [48.98924731 18.01075269],0
s2,1,0.607562,0.26374,[12 14] ; [27 40],[10.90322581 15.09677419] ; [28.09677419 38.90322581],0
s7,1,0.612777,0.256151,[10 14] ; [31 34],[11.05617978 12.94382022] ; [29.94382022 35.05617978],0
b4,1,0.635933,0.224101,[15 11] ; [35 32],[13.97849462 12.02150538] ; [36.02150538 30.97849462],0
s3,1,0.635933,0.224101,[15 11] ; [35 32],[13.97849462 12.02150538] ; [36.02150538 30.97849462],0
p1,1,0.65656,0.197729,[ 4 22] ; [ 8 59],[ 3.35483871 22.64516129] ; [ 8.64516129 58.35483871],0
a1,1,0.683596,0.166106,[ 1 25] ; [ 4 63],[ 1.39784946 24.60215054] ; [ 3.60215054 63.39784946],0
p5,1,0.683596,0.166106,[ 1 25] ; [ 4 63],[ 1.39784946 24.60215054] ; [ 3.60215054 63.39784946],0
a6,1,0.74492,0.105849,[16 10] ; [43 23],[16.67391304  9.32608696] ; [42.32608696 23.67391304],0
n3,1,0.787221,0.072857,[6 1] ; [9 1],[6.17647059 0.82352941] ; [8.82352941 1.17647059],0
n2,1,0.787221,0.072857,[6 1] ; [9 1],[6.17647059 0.82352941] ; [8.82352941 1.17647059],0
p6,1,0.787321,0.072787,[ 7 19] ; [15 47],[ 6.5 19.5] ; [15.5 46.5],0
d1,1,0.788343,0.072072,[12 14] ; [33 34],[12.58064516 13.41935484] ; [32.41935484 34.58064516],0
v2,1,0.839555,0.040991,[15 11] ; [39 26],[15.42857143 10.57142857] ; [38.57142857 26.42857143],0
b5,1,0.918308,0.01052,[16 10] ; [42 25],[16.21505376  9.78494624] ; [41.78494624 25.21505376],0
a8,1,0.925176,0.00882,[ 3 22] ; [ 7 55],[ 2.87356322 22.12643678] ; [ 7.12643678 54.87356322],0
d2,1,0.946878,0.004439,[11 14] ; [30 37],[11.14130435 13.85869565] ; [29.85869565 37.14130435],0
b1,1,0.948492,0.004173,[13 13] ; [33 34],[12.86021505 13.13978495] ; [33.13978495 33.86021505],0
a4,1,0.963857,0.002053,[11 15] ; [28 39],[10.90322581 15.09677419] ; [28.09677419 38.90322581],0
a7,1,0.975585,0.000937,[16 10] ; [41 26],[15.93548387 10.06451613] ; [41.06451613 25.93548387],0
