Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,32.581692,[88  8] ; [11 15],[77.90163934 18.09836066] ; [21.09836066  4.90163934],1
p5,1,0.780683,0.077523,[17 79] ; [ 4 22],[16.52459016 79.47540984] ; [ 4.47540984 21.52459016],0
b2,1,0.785403,0.074139,[33 44] ; [7 8],[33.47826087 43.52173913] ; [6.52173913 8.47826087],0
b3,1,0.785403,0.074139,[33 44] ; [7 8],[33.47826087 43.52173913] ; [6.52173913 8.47826087],0
n5,1,0.822475,0.050339,[68 28] ; [19  7],[68.45901639 27.54098361] ; [18.54098361  7.45901639],0
b1,1,0.85104,0.035266,[35 61] ; [10 16],[35.40983607 60.59016393] ; [ 9.59016393 16.40983607],0
p6,1,0.87656,0.024128,[36 58] ; [10 15],[36.33613445 57.66386555] ; [ 9.66386555 15.33613445],0
u2,1,0.926036,0.008618,[13  6] ; [6 3],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
s6,1,0.928494,0.008053,[60 36] ; [16 10],[59.80327869 36.19672131] ; [16.19672131  9.80327869],0
a6,1,0.955986,0.003046,[67 29] ; [18  8],[66.8852459 29.1147541] ; [18.1147541  7.8852459],0
p7,1,0.95653,0.002971,[62 32] ; [17  9],[61.88333333 32.11666667] ; [17.11666667  8.88333333],0
n6,1,0.976078,0.000899,[81 15] ; [22  4],[81.04918033 14.95081967] ; [21.95081967  4.04918033],0
s4,1,0.990927,0.000129,[11 85] ; [ 3 23],[11.01639344 84.98360656] ; [ 2.98360656 23.01639344],0
