Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3e-06,21.869775,[ 9 43] ; [19  8],[18.43037975 33.56962025] ; [ 9.56962025 17.43037975],1
v1,1,0.422544,0.64323,[15 36] ; [10 16],[16.55844156 34.44155844] ; [ 8.44155844 17.55844156],0
u1,1,0.453255,0.5625,[ 7 47] ; [ 2 25],[ 6. 48.] ; [ 3. 24.],0
n5,1,0.463386,0.537704,[35 18] ; [20  7],[36.4375 16.5625] ; [18.5625  8.4375],0
a1,1,0.468304,0.525974,[ 2 52] ; [ 2 25],[ 2.66666667 51.33333333] ; [ 1.33333333 25.66666667],0
b2,1,0.508883,0.436364,[11 21] ; [ 4 12],[10. 22.] ; [ 5. 11.],0
b3,1,0.508883,0.436364,[11 21] ; [ 4 12],[10. 22.] ; [ 5. 11.],0
n2,1,0.63591,0.224132,[16 10] ; [7 3],[16.61111111  9.38888889] ; [6.38888889 3.61111111],0
d2,1,0.715092,0.133244,[19 33] ; [11 16],[19.74683544 32.25316456] ; [10.25316456 16.74683544],0
s1,1,0.716889,0.131494,[ 3 51] ; [ 1 26],[ 2.66666667 51.33333333] ; [ 1.33333333 25.66666667],0
u3,1,0.721948,0.126634,[ 8 18] ; [3 5],[ 8.41176471 17.58823529] ; [2.58823529 5.41176471],0
n4,1,0.743093,0.107427,[34 20] ; [18  9],[34.66666667 19.33333333] ; [17.33333333  9.66666667],0
p10,1,0.743506,0.107069,[32 20] ; [15 11],[31.33333333 20.66666667] ; [15.66666667 10.33333333],0
a2,1,0.792287,0.069349,[ 5 49] ; [ 3 24],[ 5.33333333 48.66666667] ; [ 2.66666667 24.33333333],0
p5,1,0.797976,0.065519,[ 5 48] ; [ 2 24],[ 4.69620253 48.30379747] ; [ 2.30379747 23.69620253],0
a7,1,0.807976,0.059067,[24 29] ; [13 14],[24.5125 28.4875] ; [12.4875 14.5125],0
p1,1,0.816295,0.053969,[ 5 49] ; [ 2 24],[ 4.725 49.275] ; [ 2.275 23.725],0
r2,1,0.900664,0.015581,[29 20] ; [15 11],[28.74666667 20.25333333] ; [15.25333333 10.74666667],0
a4,1,0.909568,0.012901,[17 36] ; [ 9 18],[17.225 35.775] ; [ 8.775 18.225],0
p12,1,0.987588,0.000242,[ 2 51] ; [ 1 26],[ 1.9875 51.0125] ; [ 1.0125 25.9875],0
p8,1,1.0,0.0,[18 36] ; [ 9 18],[18. 36.] ; [ 9. 18.],0
n3,1,1.0,0.0,[15 10] ; [6 4],[15. 10.] ; [6. 4.],0
