Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,69.473913,[ 31 121] ; [59 17],[60. 92.] ; [30. 46.],1
v3,1,0.281108,1.161726,[ 46 102] ; [28 45],[49.55656109 98.44343891] ; [24.44343891 48.55656109],0
p9,1,0.365489,0.818943,[122  32] ; [64 12],[124.53913043  29.46086957] ; [61.46086957 14.53913043],0
d2,1,0.392262,0.73192,[72 82] ; [31 45],[68.96521739 85.03478261] ; [34.03478261 41.96521739],0
p11,1,0.394017,0.726508,[129  25] ; [61 16],[126.66666667  27.33333333] ; [63.33333333 13.66666667],0
d3,1,0.419861,0.650704,[104  50] ; [56 21],[106.66666667  47.33333333] ; [53.33333333 23.66666667],0
p6,1,0.431666,0.618336,[59 94] ; [33 42],[61.73684211 91.26315789] ; [30.26315789 44.73684211],0
n1,1,0.462941,0.538776,[10 18] ; [ 4 12],[ 8.90909091 19.09090909] ; [ 5.09090909 10.90909091],0
v1,1,0.467888,0.52696,[80 71] ; [43 31],[82.54666667 68.45333333] ; [40.45333333 33.54666667],0
n5,1,0.487159,0.482795,[112  41] ; [53 24],[109.76086957  43.23913043] ; [55.23913043 21.76086957],0
u2,1,0.510433,0.43318,[30 33] ; [17 14],[31.5 31.5] ; [15.5 15.5],0
u1,1,0.51145,0.431099,[ 21 133] ; [13 64],[ 22.66666667 131.33333333] ; [11.33333333 65.66666667],0
p7,1,0.524644,0.404755,[107  46] ; [50 26],[104.89519651  48.10480349] ; [52.10480349 23.89519651],0
r4,1,0.555978,0.346717,[138  16] ; [67 10],[136.66666667  17.33333333] ; [68.33333333  8.66666667],0
n2,1,0.565206,0.330769,[18  9] ; [12  4],[18.8372093  8.1627907] ; [11.1627907  4.8372093],0
v2,1,0.585281,0.297774,[85 65] ; [38 34],[83.10810811 66.89189189] ; [39.89189189 32.10810811],0
p10,1,0.608473,0.262404,[120  32] ; [63 14],[121.46724891  30.53275109] ; [61.53275109 15.46724891],0
p3,1,0.63402,0.226648,[95 59] ; [45 32],[93.33333333 60.66666667] ; [46.66666667 30.33333333],0
b1,1,0.635843,0.22422,[61 93] ; [33 44],[62.66666667 91.33333333] ; [31.33333333 45.66666667],0
a6,1,0.688952,0.160222,[104  50] ; [54 23],[105.33333333  48.66666667] ; [52.66666667 24.33333333],0
v4,1,0.721571,0.126993,[142  12] ; [72  5],[142.66666667  11.33333333] ; [71.33333333  5.66666667],0
b4,1,0.777015,0.080208,[91 63] ; [44 33],[90. 64.] ; [45. 32.],0
n3,1,0.786749,0.073189,[21  6] ; [13  3],[21.34883721  5.65116279] ; [12.65116279  3.34883721],0
u3,1,0.794076,0.068132,[36 27] ; [18 12],[36.58064516 26.41935484] ; [17.41935484 12.58064516],0
a1,1,0.799152,0.064742,[  5 149] ; [ 3 74],[  5.33333333 148.66666667] ; [ 2.66666667 74.33333333],0
a5,1,0.833682,0.044092,[112  42] ; [57 20],[112.66666667  41.33333333] ; [56.33333333 20.66666667],0
r3,1,0.845406,0.038018,[145   9] ; [72  5],[144.66666667   9.33333333] ; [72.33333333  4.66666667],0
b2,1,0.852214,0.034705,[31 62] ; [14 26],[31.46616541 61.53383459] ; [13.53383459 26.46616541],0
b3,1,0.852214,0.034705,[31 62] ; [14 26],[31.46616541 61.53383459] ; [13.53383459 26.46616541],0
p5,1,0.868236,0.027523,[ 17 136] ; [ 8 69],[ 16.63043478 136.36956522] ; [ 8.36956522 68.63043478],0
a4,1,0.892769,0.018171,[67 86] ; [33 44],[66.52173913 86.47826087] ; [33.47826087 43.52173913],0
d5,1,0.903085,0.014827,[127  27] ; [63 14],[126.66666667  27.33333333] ; [63.33333333 13.66666667],0
p2,1,0.922809,0.009389,[131  21] ; [66 11],[130.75982533  21.24017467] ; [66.24017467 10.75982533],0
a8,1,0.968098,0.0016,[ 13 122] ; [ 7 67],[ 12.91866029 122.08133971] ; [ 7.08133971 66.91866029],0
a3,1,1.0,0.0,[90 64] ; [45 32],[90. 64.] ; [45. 32.],0
