Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000428,12.406154,[42 58] ; [21  5],[50. 50.] ; [13. 13.],1
r1,1,0.529428,0.395489,[71 28] ; [21  6],[72.28571429 26.71428571] ; [19.71428571  7.28571429],0
v1,1,0.53252,0.389581,[39 60] ; [12 14],[40.392 58.608] ; [10.608 15.392],0
u1,1,0.559149,0.341179,[14 86] ; [ 5 22],[14.96062992 85.03937008] ; [ 4.03937008 22.96062992],0
p12,1,0.611025,0.258684,[ 2 97] ; [ 1 26],[ 2.35714286 96.64285714] ; [ 0.64285714 26.35714286],0
b2,1,0.659186,0.194514,[16 42] ; [ 5 17],[15.225 42.775] ; [ 5.775 16.225],0
b3,1,0.659186,0.194514,[16 42] ; [ 5 17],[15.225 42.775] ; [ 5.775 16.225],0
p8,1,0.687347,0.161973,[40 59] ; [ 9 16],[39.12096774 59.87903226] ; [ 9.87903226 15.12096774],0
r4,1,0.708662,0.139617,[81 19] ; [21  6],[80.31496063 19.68503937] ; [21.68503937  5.31496063],0
u2,1,0.792669,0.069088,[16 23] ; [5 6],[16.38 22.62] ; [4.62 6.38],0
b5,1,0.813981,0.055363,[68 32] ; [19  8],[68.50393701 31.49606299] ; [18.49606299  8.50393701],0
a3,1,0.814268,0.055189,[59 41] ; [16 10],[59.52380952 40.47619048] ; [15.47619048 10.52380952],0
a5,1,0.819658,0.051977,[58 42] ; [15 12],[57.48031496 42.51968504] ; [15.51968504 11.48031496],0
d5,1,0.830522,0.04581,[72 28] ; [20  7],[72.44094488 27.55905512] ; [19.55905512  7.44094488],0
d1,1,0.885509,0.020733,[46 54] ; [12 15],[45.66929134 54.33070866] ; [12.33070866 14.66929134],0
p1,1,0.948187,0.004223,[ 8 91] ; [ 2 24],[ 7.92 91.08] ; [ 2.08 23.92],0
p4,1,0.950481,0.003857,[47 52] ; [13 14],[47.14285714 51.85714286] ; [12.85714286 14.14285714],0
u3,1,0.958214,0.002745,[19 22] ; [5 6],[18.92307692 22.07692308] ; [5.07692308 5.92307692],0
p3,1,0.997178,1.3e-05,[37 63] ; [10 17],[37.00787402 62.99212598] ; [ 9.99212598 17.00787402],0
