Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,72.593503,[113   6] ; [ 9 23],[96.14569536 22.85430464] ; [25.85430464  6.14569536],1
s7,1,0.430587,0.621241,[69 47] ; [16 15],[67.07482993 48.92517007] ; [17.92517007 13.07482993],0
v3,1,0.458531,0.549477,[33 83] ; [ 7 25],[31.35135135 84.64864865] ; [ 8.64864865 23.35135135],0
b5,1,0.46515,0.533474,[71 48] ; [22 11],[72.80921053 46.19078947] ; [20.19078947 12.80921053],0
n3,1,0.518357,0.417161,[24  7] ; [11  5],[23.08510638  7.91489362] ; [11.91489362  4.08510638],0
n2,1,0.518357,0.417161,[24  7] ; [11  5],[23.08510638  7.91489362] ; [11.91489362  4.08510638],0
p1,1,0.642226,0.215842,[  8 111] ; [ 3 30],[  8.61184211 110.38815789] ; [ 2.38815789 30.61184211],0
b4,1,0.786682,0.073236,[69 50] ; [20 13],[69.67763158 49.32236842] ; [19.32236842 13.67763158],0
p3,1,0.803471,0.06193,[57 62] ; [15 18],[56.36842105 62.63157895] ; [15.63157895 17.36842105],0
a8,1,0.841271,0.040107,[  5 108] ; [ 1 27],[  4.80851064 108.19148936] ; [ 1.19148936 26.80851064],0
u3,1,0.855652,0.033092,[24 15] ; [9 5],[24.28301887 14.71698113] ; [8.71698113 5.28301887],0
d2,1,0.896116,0.017048,[52 67] ; [14 19],[51.67105263 67.32894737] ; [14.32894737 18.67105263],0
s3,1,0.935693,0.00651,[82 36] ; [22 10],[81.81333333 36.18666667] ; [22.18666667  9.81333333],0
a4,1,0.966543,0.001759,[50 69] ; [14 19],[50.10526316 68.89473684] ; [13.89473684 19.10526316],0
