Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000153,14.339988,[23 16] ; [77 10],[30.95238095  8.04761905] ; [69.04761905 17.95238095],1
n2,1,0.450335,0.569808,[12  8] ; [17  7],[13.18181818  6.81818182] ; [15.81818182  8.18181818],0
d3,1,0.461629,0.541942,[ 8 30] ; [24 64],[ 9.65079365 28.34920635] ; [22.34920635 65.65079365],0
u2,1,0.463562,0.537281,[11 10] ; [21 28],[ 9.6 11.4] ; [22.4 26.6],0
n3,1,0.470358,0.521135,[13  6] ; [18  5],[14.02380952  4.97619048] ; [16.97619048  6.02380952],0
p8,1,0.505969,0.442394,[15 22] ; [40 45],[16.68032787 20.31967213] ; [38.31967213 46.68032787],0
s4,1,0.528947,0.396414,[ 3 36] ; [10 78],[ 3.99212598 35.00787402] ; [ 9.00787402 78.99212598],0
a7,1,0.562844,0.334804,[20 19] ; [50 38],[21.49606299 17.50393701] ; [48.50393701 39.49606299],0
s8,1,0.576673,0.311645,[ 6 33] ; [17 70],[ 7.11904762 31.88095238] ; [15.88095238 71.11904762],0
b5,1,0.581294,0.304148,[21 18] ; [52 36],[22.41732283 16.58267717] ; [50.58267717 37.41732283],0
s7,1,0.607769,0.263437,[ 6 30] ; [17 65],[ 7.01694915 28.98305085] ; [15.98305085 66.01694915],0
a2,1,0.670522,0.180992,[ 4 35] ; [ 7 81],[ 3.37795276 35.62204724] ; [ 7.62204724 80.37795276],0
a3,1,0.793047,0.068831,[18 20] ; [39 48],[17.328 20.672] ; [39.672 47.328],0
d5,1,0.799325,0.064628,[16 23] ; [34 54],[15.35433071 23.64566929] ; [34.64566929 53.35433071],0
u3,1,0.873792,0.025231,[ 9 12] ; [20 29],[ 8.7 12.3] ; [20.3 28.7],0
a5,1,0.9179,0.010625,[19 20] ; [42 46],[18.73228346 20.26771654] ; [42.26771654 45.73228346],0
d1,1,0.920553,0.009947,[ 1 38] ; [ 2 86],[ 0.92125984 38.07874016] ; [ 2.07874016 85.92125984],0
a6,1,0.939206,0.005817,[22 17] ; [49 39],[21.80314961 17.19685039] ; [49.19685039 38.80314961],0
v3,1,0.949078,0.004079,[10 27] ; [24 63],[10.14516129 26.85483871] ; [23.85483871 63.14516129],0
