Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9e-06,19.781733,[22 74] ; [19  9],[31.74193548 64.25806452] ; [ 9.25806452 18.74193548],1
n6,1,0.211807,1.559035,[61 37] ; [21  7],[63.77777778 34.22222222] ; [18.22222222  9.77777778],0
s3,1,0.212488,1.554393,[44 53] ; [ 9 19],[41.128 55.872] ; [11.872 16.128],0
v1,1,0.216626,1.52658,[28 68] ; [12 17],[30.72 65.28] ; [ 9.28 19.72],0
r2,1,0.233537,1.41919,[76 19] ; [26  3],[78.14516129 16.85483871] ; [23.85483871  5.14516129],0
u3,1,0.246972,1.340351,[17 23] ; [9 6],[18.90909091 21.09090909] ; [7.09090909 7.90909091],0
s8,1,0.247042,1.339952,[23 74] ; [10 19],[25.4047619 71.5952381] ; [ 7.5952381 21.4047619],0
p1,1,0.313762,1.014773,[ 9 89] ; [ 1 28],[ 7.71653543 90.28346457] ; [ 2.28346457 26.71653543],0
s5,1,0.324894,0.969142,[18 73] ; [ 8 20],[19.88235294 71.11764706] ; [ 6.11764706 21.88235294],0
n1,1,0.342381,0.901494,[20 26] ; [6 4],[21.35714286 24.64285714] ; [4.64285714 5.35714286],0
a3,1,0.355602,0.853366,[58 39] ; [14 14],[55.872 41.128] ; [16.128 11.872],0
a4,1,0.364011,0.824007,[44 53] ; [10 18],[41.904 55.096] ; [12.096 15.904],0
d1,1,0.380915,0.767746,[45 53] ; [16 13],[47.07086614 50.92913386] ; [13.92913386 15.07086614],0
b1,1,0.380915,0.767746,[53 45] ; [13 16],[50.92913386 47.07086614] ; [15.07086614 13.92913386],0
n3,1,0.395085,0.723234,[29 16] ; [5 5],[27.81818182 17.18181818] ; [6.18181818 3.81818182],0
r3,1,0.414011,0.667252,[74 24] ; [24  5],[75.62204724 22.37795276] ; [22.37795276  6.62204724],0
s7,1,0.50924,0.435628,[24 69] ; [ 9 19],[25.36363636 67.63636364] ; [ 7.63636364 20.36363636],0
s4,1,0.531109,0.39227,[22 75] ; [ 5 24],[20.78571429 76.21428571] ; [ 6.21428571 22.78571429],0
b5,1,0.539716,0.376066,[58 40] ; [19 10],[59.41732283 38.58267717] ; [17.58267717 11.41732283],0
s2,1,0.582738,0.301829,[33 65] ; [11 17],[34.22222222 63.77777778] ; [ 9.77777778 18.22222222],0
d2,1,0.602549,0.271169,[45 51] ; [12 17],[43.776 52.224] ; [13.224 15.776],0
b4,1,0.605657,0.266548,[56 42] ; [15 14],[54.78740157 43.21259843] ; [16.21259843 12.78740157],0
a5,1,0.636522,0.22332,[56 42] ; [18 11],[57.1023622 40.8976378] ; [16.8976378 12.1023622],0
u4,1,0.661091,0.192201,[ 2 96] ; [ 1 28],[ 2.31496063 95.68503937] ; [ 0.68503937 28.31496063],0
a7,1,0.737438,0.112391,[54 44] ; [17 12],[54.78740157 43.21259843] ; [16.21259843 12.78740157],0
a2,1,0.742145,0.108251,[16 82] ; [ 4 25],[15.43307087 82.56692913] ; [ 4.56692913 24.43307087],0
d5,1,0.790741,0.07041,[65 33] ; [20  9],[65.59055118 32.40944882] ; [19.40944882  9.59055118],0
n4,1,0.87856,0.023346,[59 39] ; [17 12],[58.64566929 39.35433071] ; [17.35433071 11.64566929],0
u1,1,0.894296,0.017654,[11 87] ; [ 3 26],[10.80314961 87.19685039] ; [ 3.19685039 25.80314961],0
n5,1,0.904013,0.014543,[59 38] ; [18 11],[59.27777778 37.72222222] ; [17.72222222 11.27777778],0
a8,1,0.904253,0.01447,[10 87] ; [ 3 24],[10.16935484 86.83064516] ; [ 2.83064516 24.16935484],0
d4,1,0.910205,0.012719,[72 26] ; [21  8],[71.76377953 26.23622047] ; [21.23622047  7.76377953],0
p12,1,0.923675,0.009179,[ 3 94] ; [ 1 28],[ 3.07936508 93.92063492] ; [ 0.92063492 28.07936508],0
u2,1,0.945225,0.00472,[16 23] ; [6 9],[15.88888889 23.11111111] ; [6.11111111 8.88888889],0
r1,1,0.956808,0.002933,[58 40] ; [17 12],[57.87401575 40.12598425] ; [17.12598425 11.87401575],0
