Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,46.690778,[ 94 141] ; [160  63],[130.32751092 104.67248908] ; [123.67248908  99.32751092],1
d3,1,0.549942,0.357422,[177  68] ; [171  58],[179.87341772  65.12658228] ; [168.12658228  60.87341772],0
s4,1,0.559102,0.341261,[ 31 213] ; [ 25 203],[ 28.94915254 215.05084746] ; [ 27.05084746 200.94915254],0
d1,1,0.671981,0.179294,[162  84] ; [155  74],[164.17263158  81.82736842] ; [152.82736842  76.17263158],0
a7,1,0.68517,0.164364,[186  60] ; [176  52],[187.87341772  58.12658228] ; [174.12658228  53.87341772],0
a1,1,0.695637,0.15305,[ 10 236] ; [ 11 218],[ 10.87578947 235.12421053] ; [ 10.12421053 218.87578947],0
p1,1,0.696236,0.152418,[ 12 233] ; [ 13 215],[ 12.94926004 232.05073996] ; [ 12.05073996 215.94926004],0
a3,1,0.700198,0.148266,[173  73] ; [164  64],[174.89873418  71.10126582] ; [162.10126582  65.89873418],0
s3,1,0.707728,0.140557,[110 134] ; [ 98 128],[107.98297872 136.01702128] ; [100.01702128 125.98297872],0
b4,1,0.712835,0.135462,[142 104] ; [136  93],[143.97473684 102.02526316] ; [134.02526316  94.97473684],0
u2,1,0.722419,0.126187,[40 33] ; [37 27],[41.02919708 31.97080292] ; [35.97080292 28.02919708],0
s2,1,0.796162,0.066728,[ 90 155] ; [ 86 141],[ 91.3559322 153.6440678] ; [ 84.6440678 142.3559322],0
u3,1,0.81508,0.054699,[39 32] ; [37 28],[39.67647059 31.32352941] ; [36.32352941 28.67647059],0
d2,1,0.916899,0.010887,[124 121] ; [117 112],[124.56751055 120.43248945] ; [116.43248945 112.56751055],0
d4,1,0.928289,0.0081,[212  34] ; [198  31],[212.33684211  33.66315789] ; [197.66315789  31.33684211],0
