Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.2e-05,19.168357,[28  6] ; [ 8 21],[19.42857143 14.57142857] ; [16.57142857 12.42857143],1
b5,1,0.643433,0.21428,[23 11] ; [18 11],[22.12698413 11.87301587] ; [18.87301587 10.12698413],0
p8,1,0.644106,0.213412,[15 19] ; [14 14],[15.90322581 18.09677419] ; [13.09677419 14.90322581],0
n6,1,0.645276,0.211909,[23 10] ; [21  7],[23.80327869  9.19672131] ; [20.19672131  7.80327869],0
u3,1,0.670896,0.180556,[7 5] ; [7 7],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
b1,1,0.682013,0.167868,[17 17] ; [16 13],[17.80952381 16.19047619] ; [15.19047619 13.80952381],0
d2,1,0.756764,0.095934,[12 20] ; [12 17],[12.59016393 19.40983607] ; [11.40983607 17.59016393],0
a4,1,0.757818,0.095078,[13 21] ; [10 19],[12.41269841 21.58730159] ; [10.58730159 18.41269841],0
p11,1,0.799316,0.064634,[21 13] ; [17 12],[20.50793651 13.49206349] ; [17.49206349 11.50793651],0
a5,1,0.799316,0.064634,[21 13] ; [17 12],[20.50793651 13.49206349] ; [17.49206349 11.50793651],0
d4,1,0.8035,0.061911,[23  9] ; [20  9],[22.55737705  9.44262295] ; [20.44262295  8.55737705],0
u2,1,0.821348,0.050991,[5 7] ; [6 7],[5.28 6.72] ; [5.72 7.28],0
s1,1,0.858143,0.031947,[ 4 30] ; [ 3 26],[ 3.77777778 30.22222222] ; [ 3.22222222 25.77777778],0
v3,1,0.877118,0.023909,[10 23] ; [ 9 19],[10.27868852 22.72131148] ; [ 8.72131148 19.27868852],0
d1,1,0.9232,0.009294,[16 18] ; [14 15],[16.19047619 17.80952381] ; [13.80952381 15.19047619],0
a6,1,0.932564,0.00716,[18 14] ; [16 13],[17.83606557 14.16393443] ; [16.16393443 12.83606557],0
p4,1,0.960524,0.00245,[15 18] ; [13 16],[14.90322581 18.09677419] ; [13.09677419 15.90322581],0
a7,1,0.980225,0.000614,[21 13] ; [18 11],[21.04761905 12.95238095] ; [17.95238095 11.04761905],0
