Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,134.272801,[ 11 107] ; [213  82],[64. 54.] ; [160. 135.],1
s4,1,0.556891,0.345116,[ 16 102] ; [ 46 244],[ 17.93137255 100.06862745] ; [ 44.06862745 245.93137255],0
n3,1,0.587801,0.293792,[14  9] ; [37 18],[15.03846154  7.96153846] ; [35.96153846 19.03846154],0
p2,1,0.680175,0.169928,[100  16] ; [257  36],[101.25183374  14.74816626] ; [255.74816626  37.25183374],0
s7,1,0.694356,0.154411,[58 53] ; [153 128],[59.74744898 51.25255102] ; [151.25255102 129.74744898],0
b5,1,0.704972,0.143351,[73 45] ; [189 107],[74.6763285 43.3236715] ; [187.3236715 108.6763285],0
b4,1,0.779791,0.078172,[70 48] ; [180 116],[71.25603865 46.74396135] ; [178.74396135 117.25603865],0
b3,1,0.787303,0.0728,[33 39] ; [ 84 107],[32.03041825 39.96958175] ; [ 84.96958175 106.03041825],0
b2,1,0.787303,0.0728,[33 39] ; [ 84 107],[32.03041825 39.96958175] ; [ 84.96958175 106.03041825],0
u3,1,0.852839,0.034409,[26 13] ; [35 19],[25.58064516 13.41935484] ; [35.41935484 18.58064516],0
u2,1,0.874242,0.02505,[22 15] ; [33 21],[22.36263736 14.63736264] ; [32.63736264 21.36263736],0
b1,1,0.943103,0.005094,[45 73] ; [114 182],[45.31884058 72.68115942] ; [113.68115942 182.31884058],0
n2,1,0.953489,0.003402,[17  6] ; [41 14],[17.1025641  5.8974359] ; [40.8974359 14.1025641],0
s6,1,0.953798,0.003357,[82 31] ; [212  79],[82.23267327 30.76732673] ; [211.76732673  79.23267327],0
n1,1,0.989755,0.000165,[10 13] ; [24 31],[10.02564103 12.97435897] ; [23.97435897 31.02564103],0
