Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.002691,9.005812,[ 4 58] ; [15 41],[ 9.98305085 52.01694915] ; [ 9.01694915 46.98305085],0
s4,1,0.584809,0.298524,[11 49] ; [ 8 47],[ 9.91304348 50.08695652] ; [ 9.08695652 45.91304348],0
s2,1,0.590268,0.289927,[33 29] ; [32 23],[34.44444444 27.55555556] ; [30.55555556 24.44444444],0
r1,1,0.596252,0.280686,[48 14] ; [41 15],[46.76271186 15.23728814] ; [42.23728814 13.76271186],0
b3,1,0.598409,0.277402,[13 20] ; [16 19],[14.07352941 18.92647059] ; [14.92647059 20.07352941],0
b2,1,0.598409,0.277402,[13 20] ; [16 19],[14.07352941 18.92647059] ; [14.92647059 20.07352941],0
d4,1,0.613686,0.254842,[51 11] ; [44 12],[49.91525424 12.08474576] ; [45.08474576 10.91525424],0
d3,1,0.64584,0.211185,[46 16] ; [38 16],[44.89655172 17.10344828] ; [39.10344828 14.89655172],0
s8,1,0.655162,0.199454,[33 29] ; [27 28],[31.79487179 30.20512821] ; [28.20512821 26.79487179],0
s5,1,0.67588,0.174801,[20 41] ; [19 33],[21.05309735 39.94690265] ; [17.94690265 34.05309735],0
v4,1,0.732911,0.116455,[59  3] ; [54  2],[59.37288136  2.62711864] ; [53.62711864  2.37288136],0
a3,1,0.736869,0.112898,[38 24] ; [36 20],[38.88135593 23.11864407] ; [35.11864407 20.88135593],0
d2,1,0.739908,0.110207,[28 34] ; [27 29],[28.89830508 33.10169492] ; [26.10169492 29.89830508],0
n6,1,0.752264,0.099638,[51 10] ; [48  8],[51.61538462  9.38461538] ; [47.38461538  8.61538462],0
b4,1,0.76983,0.085613,[36 26] ; [34 22],[36.77966102 25.22033898] ; [33.22033898 22.77966102],0
s3,1,0.772714,0.083421,[36 25] ; [31 24],[35.23275862 25.76724138] ; [31.76724138 23.23275862],0
v1,1,0.772714,0.083421,[36 25] ; [31 24],[35.23275862 25.76724138] ; [31.76724138 23.23275862],0
s1,1,0.82256,0.05029,[ 4 57] ; [ 3 51],[ 3.71304348 57.28695652] ; [ 3.28695652 50.71304348],0
r2,1,0.880189,0.022719,[59  3] ; [52  3],[58.82051282  3.17948718] ; [52.17948718  2.82051282],0
d5,1,0.92113,0.009803,[48 14] ; [43 12],[48.22222222 13.77777778] ; [42.77777778 12.22222222],0
p10,1,0.943795,0.00497,[47 15] ; [42 13],[47.16239316 14.83760684] ; [41.83760684 13.16239316],0
b5,1,0.972932,0.001151,[43 19] ; [39 17],[43.08474576 18.91525424] ; [38.91525424 17.08474576],0
p9,1,0.986964,0.000267,[51 11] ; [46 10],[50.96610169 11.03389831] ; [46.03389831  9.96610169],0
