Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,45.796154,[83  8] ; [22 34],[65. 26.] ; [40. 16.],1
b1,1,0.649381,0.206682,[46 45] ; [31 26],[47.34459459 43.65540541] ; [29.65540541 27.34459459],0
a6,1,0.740871,0.109362,[55 36] ; [36 21],[55.9527027 35.0472973] ; [35.0472973 21.9527027],0
s1,1,0.779973,0.078039,[ 4 86] ; [ 2 55],[ 3.67346939 86.32653061] ; [ 2.32653061 54.67346939],0
r3,1,0.804797,0.06108,[81  9] ; [52  5],[81.42857143  8.57142857] ; [51.57142857  5.42857143],0
a8,1,0.810686,0.05738,[ 7 73] ; [ 5 45],[ 7.38461538 72.61538462] ; [ 4.61538462 45.38461538],0
n3,1,0.841542,0.039969,[19 10] ; [15  7],[19.33333333  9.66666667] ; [14.66666667  7.33333333],0
b4,1,0.865587,0.028651,[53 38] ; [34 23],[53.49324324 37.50675676] ; [33.50675676 23.49324324],0
d3,1,0.947505,0.004335,[62 27] ; [40 17],[62.17808219 26.82191781] ; [39.82191781 17.17808219],0
u1,1,0.995214,3.6e-05,[16 75] ; [10 47],[15.98648649 75.01351351] ; [10.01351351 46.98648649],0
p5,1,0.996783,1.6e-05,[ 8 83] ; [ 5 52],[ 7.99324324 83.00675676] ; [ 5.00675676 51.99324324],0
