Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.733202,[20 20] ; [86 12],[30.72463768  9.27536232] ; [75.27536232 22.72463768],1
s7,1,0.256957,1.285078,[ 9 30] ; [31 63],[11.72932331 27.27067669] ; [28.27067669 65.72932331],0
s2,1,0.267691,1.228543,[11 29] ; [37 62],[13.81294964 26.18705036] ; [34.18705036 64.81294964],0
v3,1,0.267881,1.227566,[ 6 34] ; [23 75],[ 8.4057971 31.5942029] ; [20.5942029 77.4057971],0
s8,1,0.279524,1.169403,[ 6 34] ; [23 76],[ 8.34532374 31.65467626] ; [20.65467626 78.34532374],0
d4,1,0.33575,0.926593,[17 23] ; [51 48],[19.56834532 20.43165468] ; [48.43165468 50.56834532],0
u3,1,0.338642,0.915564,[10 13] ; [18 38],[ 8.15189873 14.84810127] ; [19.84810127 36.15189873],0
p4,1,0.360036,0.837768,[14 26] ; [43 56],[16.4028777 23.5971223] ; [40.5971223 58.4028777],0
p12,1,0.37895,0.774106,[ 1 39] ; [ 6 92],[ 2.02898551 37.97101449] ; [ 4.97101449 93.02898551],0
p5,1,0.430549,0.621341,[ 2 37] ; [ 9 89],[ 3.13138686 35.86861314] ; [ 7.86861314 90.13138686],0
u2,1,0.450036,0.570562,[12 11] ; [24 32],[10.48101266 12.51898734] ; [25.51898734 30.48101266],0
d3,1,0.465551,0.532516,[11 28] ; [34 64],[12.81021898 26.18978102] ; [32.18978102 65.81021898],0
p7,1,0.514049,0.425817,[18 20] ; [52 45],[19.7037037 18.2962963] ; [50.2962963 46.7037037],0
n2,1,0.540134,0.375291,[12  6] ; [21  7],[12.91304348  5.08695652] ; [20.08695652  7.91304348],0
n5,1,0.585681,0.29714,[25 15] ; [66 32],[26.37681159 13.62318841] ; [64.62318841 33.37681159],0
a6,1,0.631121,0.230543,[22 18] ; [50 49],[20.71942446 19.28057554] ; [51.28057554 47.71942446],0
s3,1,0.637625,0.221862,[15 24] ; [42 56],[16.22627737 22.77372263] ; [40.77372263 57.22627737],0
p6,1,0.686754,0.162622,[ 9 31] ; [25 72],[ 9.9270073 30.0729927] ; [24.0729927 72.9270073],0
v2,1,0.729554,0.119522,[10 29] ; [28 70],[10.81751825 28.18248175] ; [27.18248175 70.81751825],0
b2,1,0.754328,0.09793,[ 7 17] ; [18 37],[ 7.59493671 16.40506329] ; [17.40506329 37.59493671],0
b3,1,0.754328,0.09793,[ 7 17] ; [18 37],[ 7.59493671 16.40506329] ; [17.40506329 37.59493671],0
a8,1,0.795198,0.067375,[ 4 35] ; [11 82],[ 4.43181818 34.56818182] ; [10.56818182 82.43181818],0
a2,1,0.801022,0.063516,[ 2 38] ; [ 4 95],[ 1.72661871 38.27338129] ; [ 4.27338129 94.72661871],0
s1,1,0.801022,0.063516,[ 2 38] ; [ 4 95],[ 1.72661871 38.27338129] ; [ 4.27338129 94.72661871],0
a4,1,0.816861,0.053631,[ 7 33] ; [19 80],[ 7.48201439 32.51798561] ; [18.51798561 80.48201439],0
v1,1,0.835116,0.043324,[14 25] ; [33 64],[13.47794118 25.52205882] ; [33.52205882 63.47794118],0
u1,1,0.860112,0.031058,[ 1 39] ; [ 2 97],[ 0.86330935 39.13669065] ; [ 2.13669065 96.86330935],0
p1,1,0.941471,0.005391,[ 3 37] ; [ 7 91],[ 2.89855072 37.10144928] ; [ 7.10144928 90.89855072],0
n3,1,0.953475,0.003404,[13  5] ; [20  8],[12.91304348  5.08695652] ; [20.08695652  7.91304348],0
a3,1,0.969309,0.00148,[17 23] ; [42 56],[17.10144928 22.89855072] ; [41.89855072 56.10144928],0
s4,1,0.978551,0.000723,[ 8 32] ; [20 79],[ 8.05755396 31.94244604] ; [19.94244604 79.05755396],0
