Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.001954,9.592105,[10 44] ; [14 13],[16. 38.] ; [ 8. 19.],0
a1,1,0.19561,1.674848,[ 7 48] ; [ 1 26],[ 5.36585366 49.63414634] ; [ 2.63414634 24.36585366],0
s4,1,0.210315,1.569259,[ 8 47] ; [ 7 20],[10.06097561 44.93902439] ; [ 4.93902439 22.06097561],0
n1,1,0.233751,1.417892,[11 18] ; [2 9],[ 9.425 19.575] ; [3.575 7.425],0
u3,1,0.238185,1.391304,[10 13] ; [6 3],[11.5 11.5] ; [4.5 4.5],0
p9,1,0.379269,0.77307,[22 31] ; [14 13],[23.85 29.15] ; [12.15 14.85],0
r4,1,0.386232,0.750772,[27 28] ; [16 11],[28.84146341 26.15853659] ; [14.15853659 12.84146341],0
s7,1,0.410648,0.676924,[11 40] ; [ 7 16],[12.40540541 38.59459459] ; [ 5.59459459 17.40540541],0
p10,1,0.442272,0.590381,[17 36] ; [11 16],[18.55 34.45] ; [ 9.45 17.55],0
s5,1,0.450232,0.570067,[ 8 42] ; [ 6 20],[ 9.21052632 40.78947368] ; [ 4.78947368 21.21052632],0
n4,1,0.476092,0.507802,[27 28] ; [11 16],[25.48780488 29.51219512] ; [12.51219512 14.48780488],0
n5,1,0.49542,0.464733,[21 34] ; [12 14],[22.40740741 32.59259259] ; [10.59259259 15.40740741],0
a8,1,0.504088,0.44632,[ 4 50] ; [ 3 22],[ 4.78481013 49.21518987] ; [ 2.21518987 22.78481013],0
d3,1,0.622461,0.242424,[34 21] ; [14 11],[33. 22.] ; [15. 10.],0
d4,1,0.636442,0.223425,[39 16] ; [19  6],[39.875 15.125] ; [18.125  6.875],0
a2,1,0.66438,0.188246,[10 45] ; [ 6 21],[10.73170732 44.26829268] ; [ 5.26829268 21.73170732],0
r2,1,0.693082,0.155769,[44 10] ; [21  6],[43.33333333 10.66666667] ; [21.66666667  5.33333333],0
v1,1,0.69893,0.149588,[18 37] ; [10 17],[18.7804878 36.2195122] ; [ 9.2195122 17.7804878],0
a7,1,0.700874,0.147565,[35 20] ; [16 11],[34.20731707 20.79268293] ; [16.79268293 10.20731707],0
d2,1,0.70194,0.146462,[25 30] ; [13 13],[25.80246914 29.19753086] ; [12.19753086 13.80246914],0
d5,1,0.738707,0.111267,[38 17] ; [17  9],[37.34567901 17.65432099] ; [17.65432099  8.34567901],0
a3,1,0.747886,0.103316,[32 22] ; [17 10],[32.66666667 21.33333333] ; [16.33333333 10.66666667],0
s1,1,0.772017,0.083948,[ 5 50] ; [ 3 24],[ 5.36585366 49.63414634] ; [ 2.63414634 24.36585366],0
a4,1,0.821235,0.051056,[23 32] ; [12 15],[23.47560976 31.52439024] ; [11.52439024 15.47560976],0
r1,1,0.823351,0.049835,[34 21] ; [16 11],[33.53658537 21.46341463] ; [16.46341463 10.53658537],0
v3,1,0.851085,0.035244,[13 37] ; [ 6 19],[12.66666667 37.33333333] ; [ 6.33333333 18.66666667],0
a5,1,0.931162,0.007462,[30 25] ; [15 12],[30.18292683 24.81707317] ; [14.81707317 12.18292683],0
b4,1,0.931162,0.007462,[30 25] ; [15 12],[30.18292683 24.81707317] ; [14.81707317 12.18292683],0
d1,1,0.944756,0.004802,[24 31] ; [12 15],[24.14634146 30.85365854] ; [11.85365854 15.14634146],0
s8,1,0.974128,0.001052,[ 8 47] ; [ 4 23],[ 8.04878049 46.95121951] ; [ 3.95121951 23.04878049],0
a6,1,0.980708,0.000585,[34 21] ; [16 10],[33.95061728 21.04938272] ; [16.04938272  9.95061728],0
