Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.5e-05,17.143545,[28  3] ; [ 9 15],[20.85454545 10.14545455] ; [16.14545455  7.85454545],1
p5,1,0.283494,1.150265,[ 4 27] ; [ 1 22],[ 2.87037037 28.12962963] ; [ 2.12962963 20.87037037],0
s8,1,0.284395,1.145969,[ 9 22] ; [ 4 20],[ 7.32727273 23.67272727] ; [ 5.67272727 18.32727273],0
n4,1,0.328458,0.954969,[22  9] ; [14 10],[20.29090909 10.70909091] ; [15.70909091  8.29090909],0
b5,1,0.332505,0.939118,[17 14] ; [10 14],[15.21818182 15.78181818] ; [11.78181818 12.21818182],0
d2,1,0.374545,0.78853,[ 7 24] ; [ 8 16],[ 8.45454545 22.54545455] ; [ 6.54545455 17.45454545],0
b2,1,0.397063,0.717204,[ 5 14] ; [6 9],[ 6.14705882 12.85294118] ; [ 4.85294118 10.14705882],0
b3,1,0.397063,0.717204,[ 5 14] ; [6 9],[ 6.14705882 12.85294118] ; [ 4.85294118 10.14705882],0
a7,1,0.419431,0.651909,[15 16] ; [ 9 15],[13.52727273 17.47272727] ; [10.47272727 13.52727273],0
v1,1,0.453842,0.561039,[13 17] ; [ 8 16],[11.66666667 18.33333333] ; [ 9.33333333 14.66666667],0
b4,1,0.463726,0.536886,[16 15] ; [10 14],[14.65454545 16.34545455] ; [11.34545455 12.65454545],0
a5,1,0.463726,0.536886,[16 15] ; [10 14],[14.65454545 16.34545455] ; [11.34545455 12.65454545],0
n2,1,0.536632,0.381818,[8 3] ; [6 4],[7.33333333 3.66666667] ; [6.66666667 3.33333333],0
p7,1,0.561276,0.3375,[11 19] ; [ 7 17],[10. 20.] ; [ 8. 16.],0
a4,1,0.618333,0.248218,[ 8 22] ; [ 5 19],[ 7.22222222 22.77777778] ; [ 5.77777778 18.22222222],0
p8,1,0.623369,0.24116,[10 21] ; [ 6 17],[ 9.18518519 21.81481481] ; [ 6.81481481 16.18518519],0
a3,1,0.630405,0.231512,[14 15] ; [10 14],[13.13207547 15.86792453] ; [10.86792453 13.13207547],0
p9,1,0.68555,0.163946,[18 13] ; [11 10],[17.28846154 13.71153846] ; [11.71153846  9.28846154],0
p1,1,0.694609,0.154141,[ 4 27] ; [ 4 20],[ 4.50909091 26.49090909] ; [ 3.49090909 20.50909091],0
v2,1,0.709131,0.139147,[ 9 19] ; [ 6 16],[ 8.4 19.6] ; [ 6.6 15.4],0
a2,1,0.711332,0.13695,[ 2 29] ; [ 1 23],[ 1.69090909 29.30909091] ; [ 1.30909091 22.69090909],0
s1,1,0.754023,0.098182,[ 6 24] ; [ 4 20],[ 5.55555556 24.44444444] ; [ 4.44444444 19.55555556],0
s4,1,0.797687,0.065711,[ 6 25] ; [ 4 20],[ 5.63636364 25.36363636] ; [ 4.36363636 19.63636364],0
a6,1,0.850773,0.035394,[16 15] ; [13 11],[16.34545455 14.65454545] ; [12.65454545 11.34545455],0
p12,1,0.86347,0.02957,[ 3 28] ; [ 2 22],[ 2.81818182 28.18181818] ; [ 2.18181818 21.81818182],0
n3,1,0.875975,0.024359,[6 3] ; [7 3],[6.15789474 2.84210526] ; [6.84210526 3.15789474],0
p10,1,0.907861,0.013395,[16 15] ; [11 11],[15.79245283 15.20754717] ; [11.20754717 10.79245283],0
d3,1,0.957373,0.002857,[ 5 26] ; [ 4 20],[ 5.07272727 25.92727273] ; [ 3.92727273 20.07272727],0
b1,1,0.960409,0.002464,[17 14] ; [13 11],[16.90909091 14.09090909] ; [13.09090909 10.90909091],0
n1,1,0.963969,0.002041,[6 5] ; [5 4],[6.05 4.95] ; [4.95 4.05],0
d5,1,0.991316,0.000118,[ 9 22] ; [ 7 17],[ 9.01818182 21.98181818] ; [ 6.98181818 17.01818182],0
