Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3e-06,21.652542,[21 13] ; [129 386],[ 9.28961749 24.71038251] ; [140.71038251 374.28961749],1
n2,1,0.129801,2.294878,[3 3] ; [104  31],[4.55319149 1.44680851] ; [102.44680851  32.55319149],0
b1,1,0.135527,2.22803,[17 19] ; [185 345],[12.84805654 23.15194346] ; [189.15194346 340.84805654],0
s8,1,0.153766,2.034491,[17 19] ; [187 341],[13.0212766 22.9787234] ; [190.9787234 337.0212766],0
n4,1,0.179021,1.805734,[29  7] ; [369 158],[25.44937833 10.55062167] ; [372.55062167 154.44937833],0
a4,1,0.200059,1.641942,[11 25] ; [219 310],[14.65486726 21.34513274] ; [215.34513274 313.65486726],0
n6,1,0.203606,1.616318,[32  4] ; [423 104],[29.09413854  6.90586146] ; [425.90586146 101.09413854],0
d2,1,0.205459,1.60314,[20 16] ; [236 292],[16.34042553 19.65957447] ; [239.65957447 288.34042553],0
s6,1,0.22402,1.478432,[25 10] ; [319 203],[21.61579892 13.38420108] ; [322.38420108 199.61579892],0
d1,1,0.229815,1.442006,[23 13] ; [284 246],[19.52650177 16.47349823] ; [287.47349823 242.52650177],0
s4,1,0.233493,1.419457,[ 3 32] ; [ 85 442],[ 5.48042705 29.51957295] ; [ 82.51957295 444.48042705],0
n5,1,0.238345,1.390358,[28  8] ; [359 166],[24.8342246 11.1657754] ; [362.1657754 162.8342246],0
p2,1,0.255237,1.294411,[31  5] ; [413 116],[28.29026549  7.70973451] ; [415.70973451 113.29026549],0
s3,1,0.274234,1.195444,[16 20] ; [280 240],[19.16546763 16.83453237] ; [276.83453237 243.16546763],0
r1,1,0.276859,1.182446,[26 10] ; [419 106],[28.55614973  7.44385027] ; [416.44385027 108.55614973],0
u2,1,0.285404,1.141175,[7 3] ; [89 80],[5.36312849 4.63687151] ; [90.63687151 78.36312849],0
b5,1,0.298724,1.079883,[19 17] ; [326 204],[21.9434629 14.0565371] ; [323.0565371 206.9434629],0
u3,1,0.334453,0.93158,[7 3] ; [93 78],[5.52486188 4.47513812] ; [94.47513812 76.52486188],0
d4,1,0.366327,0.816086,[31  5] ; [422 106],[28.91489362  7.08510638] ; [424.08510638 103.91489362],0
r4,1,0.367624,0.811679,[34  2] ; [476  54],[32.43816254  3.56183746] ; [477.56183746  52.43816254],0
s1,1,0.414906,0.6647,[ 2 34] ; [ 16 505],[ 1.16337522 34.83662478] ; [ 16.83662478 504.16337522],0
v4,1,0.455682,0.55648,[35  1] ; [495  30],[34.01069519  1.98930481] ; [495.98930481  29.01069519],0
n1,1,0.506073,0.442178,[1 4] ; [46 88],[1.69064748 3.30935252] ; [45.30935252 88.69064748],0
a3,1,0.556224,0.346285,[26 10] ; [357 172],[24.40353982 11.59646018] ; [358.59646018 170.40353982],0
p7,1,0.563356,0.333927,[20 16] ; [263 257],[18.32374101 17.67625899] ; [264.67625899 255.32374101],0
p11,1,0.586432,0.295951,[29  7] ; [406 124],[27.66784452  8.33215548] ; [407.33215548 122.66784452],0
n3,1,0.629918,0.232172,[4 2] ; [101  33],[4.5 1.5] ; [100.5  33.5],0
s2,1,0.670407,0.181127,[15 21] ; [237 286],[16.22898032 19.77101968] ; [235.77101968 287.22898032],0
b4,1,0.780649,0.077548,[20 16] ; [307 223],[20.79858657 15.20141343] ; [306.20141343 223.79858657],0
a8,1,0.803027,0.062216,[ 5 28] ; [ 66 419],[ 4.52316602 28.47683398] ; [ 66.47683398 418.52316602],0
u1,1,0.821597,0.050847,[ 5 31] ; [ 81 449],[ 5.46996466 30.53003534] ; [ 80.53003534 449.46996466],0
a5,1,0.832721,0.044611,[26 10] ; [374 156],[25.44169611 10.55830389] ; [374.55830389 155.44169611],0
d5,1,0.846684,0.037385,[29  7] ; [419 110],[28.54513274  7.45486726] ; [419.45486726 109.54513274],0
v2,1,0.916692,0.010942,[19 15] ; [277 227],[18.7063197 15.2936803] ; [277.2936803 226.7063197],0
a1,1,0.934639,0.006726,[ 1 35] ; [ 16 514],[ 1.08127208 34.91872792] ; [ 15.91872792 514.08127208],0
d3,1,0.950668,0.003828,[24 12] ; [350 179],[23.8300885 12.1699115] ; [350.1699115 178.8300885],0
