Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,9.2e-05,15.291221,[ 13 148] ; [17 43],[ 21.85520362 139.14479638] ; [ 8.14479638 51.85520362],1
p9,1,0.53732,0.38053,[137  24] ; [53  7],[138.41628959  22.58371041] ; [51.58371041  8.41628959],0
v1,1,0.587258,0.294647,[96 64] ; [33 26],[94.24657534 65.75342466] ; [34.75342466 24.24657534],0
u3,1,0.617661,0.249169,[30 24] ; [13  8],[30.96 23.04] ; [12.04  8.96],0
n4,1,0.635142,0.225152,[124  37] ; [48 12],[125.30316742  35.69683258] ; [46.69683258 13.30316742],0
p11,1,0.654182,0.200668,[133  28] ; [48 12],[131.85972851  29.14027149] ; [49.14027149 10.85972851],0
n1,1,0.778253,0.079296,[11 22] ; [ 5 12],[10.56 22.44] ; [ 5.44 11.56],0
u1,1,0.784174,0.075013,[ 27 134] ; [11 49],[ 27.68325792 133.31674208] ; [10.31674208 49.68325792],0
d4,1,0.796714,0.066359,[129  32] ; [49 11],[129.67420814  31.32579186] ; [48.32579186 11.67420814],0
p8,1,0.814649,0.054959,[100  58] ; [39 21],[100.74311927  57.25688073] ; [38.25688073 21.74311927],0
b1,1,0.82086,0.051274,[ 59 102] ; [21 39],[ 58.28054299 102.71945701] ; [21.71945701 38.28054299],0
d3,1,0.829927,0.046137,[113  48] ; [43 17],[113.64705882  47.35294118] ; [42.35294118 17.64705882],0
a8,1,0.835461,0.04314,[ 16 120] ; [ 6 50],[ 15.58333333 120.41666667] ; [ 6.41666667 49.58333333],0
a2,1,0.855529,0.033149,[ 34 127] ; [12 48],[ 33.51131222 127.48868778] ; [12.48868778 47.51131222],0
a3,1,0.86171,0.030345,[106  54] ; [39 21],[105.45454545  54.54545455] ; [39.54545455 20.45454545],0
a4,1,0.955984,0.003046,[74 86] ; [28 32],[74.18181818 85.81818182] ; [27.81818182 32.18181818],0
r3,1,0.965274,0.001895,[150  11] ; [56  4],[150.07239819  10.92760181] ; [55.92760181  4.07239819],0
u2,1,0.972105,0.001223,[30 25] ; [11  9],[30.06666667 24.93333333] ; [10.93333333  9.06666667],0
d5,1,0.986211,0.000299,[137  24] ; [51  9],[136.95927602  24.04072398] ; [51.04072398  8.95927602],0
n5,1,0.992164,9.6e-05,[122  37] ; [46 14],[121.97260274  37.02739726] ; [46.02739726 13.97260274],0
