Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.937515,[26 35] ; [115  36],[40.57075472 20.42924528] ; [100.42924528  50.57075472],1
v2,1,0.700407,0.148049,[27 33] ; [70 76],[28.25242718 31.74757282] ; [68.74757282 77.25242718],0
p1,1,0.705334,0.142982,[ 5 56] ; [ 15 137],[ 5.72769953 55.27230047] ; [ 14.27230047 137.72769953],0
a4,1,0.720112,0.128385,[26 34] ; [70 82],[27.16981132 32.83018868] ; [68.83018868 83.16981132],0
n4,1,0.733841,0.115614,[39 21] ; [95 57],[37.9245283 22.0754717] ; [96.0754717 55.9245283],0
n3,1,0.774161,0.082333,[18  9] ; [37 16],[18.5625  8.4375] ; [36.4375 16.5625],0
p8,1,0.816307,0.053962,[19 41] ; [ 50 100],[19.71428571 40.28571429] ; [ 49.28571429 100.71428571],0
v3,1,0.819763,0.051916,[20 36] ; [50 97],[19.31034483 36.68965517] ; [50.68965517 96.31034483],0
p4,1,0.82268,0.050221,[26 34] ; [68 83],[26.72985782 33.27014218] ; [67.27014218 83.72985782],0
p5,1,0.874762,0.024842,[ 4 56] ; [ 11 140],[ 4.26540284 55.73459716] ; [ 10.73459716 140.26540284],0
u4,1,0.87545,0.024567,[ 1 60] ; [  3 150],[ 1.14018692 59.85981308] ; [  2.85981308 150.14018692],0
n2,1,0.894186,0.017691,[20  9] ; [38 16],[20.26506024  8.73493976] ; [37.73493976 16.26506024],0
s3,1,0.899165,0.016057,[31 29] ; [80 72],[31.41509434 28.58490566] ; [79.58490566 72.41509434],0
p3,1,0.948194,0.004222,[23 37] ; [59 93],[23.20754717 36.79245283] ; [58.79245283 93.20754717],0
p7,1,0.967258,0.001685,[28 32] ; [70 79],[28.13397129 31.86602871] ; [69.86602871 79.13397129],0
