Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4e-06,21.11193,[20  9] ; [ 7 37],[10.7260274 18.2739726] ; [16.2739726 27.7260274],1
r3,1,0.75736,0.095449,[25  4] ; [39  5],[25.42465753  3.57534247] ; [38.57534247  5.42465753],0
s1,1,0.763353,0.09065,[ 1 28] ; [ 1 43],[ 0.79452055 28.20547945] ; [ 1.20547945 42.79452055],0
p10,1,0.789996,0.070924,[23  6] ; [36  8],[23.43835616  5.56164384] ; [35.56164384  8.43835616],0
v2,1,0.800836,0.063638,[15 14] ; [23 19],[15.52112676 13.47887324] ; [22.47887324 19.52112676],0
p12,1,0.802187,0.062759,[ 1 28] ; [ 2 41],[ 1.20833333 27.79166667] ; [ 1.79166667 41.20833333],0
d5,1,0.805357,0.060723,[21  8] ; [33 11],[21.45205479  7.54794521] ; [32.54794521 11.45205479],0
a7,1,0.812545,0.056237,[19 10] ; [30 14],[19.46575342  9.53424658] ; [29.53424658 14.46575342],0
d1,1,0.813072,0.055916,[15 14] ; [24 20],[15.49315068 13.50684932] ; [23.50684932 20.49315068],0
a5,1,0.89208,0.018407,[20  9] ; [31 13],[20.26027397  8.73972603] ; [30.73972603 13.26027397],0
p3,1,0.93555,0.006539,[15 13] ; [24 20],[15.16666667 12.83333333] ; [23.83333333 20.16666667],0
b4,1,0.963382,0.002108,[15 14] ; [23 21],[15.09589041 13.90410959] ; [22.90410959 21.09589041],0
u1,1,0.980591,0.000592,[ 6 23] ; [ 9 35],[ 5.95890411 23.04109589] ; [ 9.04109589 34.95890411],0
p1,1,0.98965,0.000168,[ 2 27] ; [ 3 41],[ 1.98630137 27.01369863] ; [ 3.01369863 40.98630137],0
