Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,24.352957,[25  2] ; [ 6 18],[16.41176471 10.58823529] ; [14.58823529  9.41176471],1
v3,1,0.370896,0.800659,[ 5 22] ; [ 7 17],[ 6.35294118 20.64705882] ; [ 5.64705882 18.35294118],0
p9,1,0.389117,0.7417,[12 14] ; [14 10],[13.52 12.48] ; [12.48 11.52],0
b1,1,0.415801,0.662152,[16 12] ; [11 13],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
a5,1,0.477091,0.505506,[19  9] ; [14 10],[17.76923077 10.23076923] ; [15.23076923  8.76923077],0
s2,1,0.570036,0.322621,[ 6 21] ; [ 7 17],[ 6.88235294 20.11764706] ; [ 6.11764706 17.88235294],0
a6,1,0.577973,0.309524,[15 13] ; [11 13],[14. 14.] ; [12. 12.],0
u1,1,0.646329,0.21056,[ 2 26] ; [ 1 23],[ 1.61538462 26.38461538] ; [ 1.38461538 22.61538462],0
s7,1,0.723634,0.125037,[ 8 17] ; [ 6 16],[ 7.44680851 17.55319149] ; [ 6.55319149 15.44680851],0
a8,1,0.751111,0.100599,[ 4 23] ; [ 4 18],[ 4.40816327 22.59183673] ; [ 3.59183673 18.40816327],0
a7,1,0.764334,0.089877,[14 14] ; [11 13],[13.46153846 14.53846154] ; [11.53846154 12.46153846],0
p1,1,0.771558,0.084296,[ 3 25] ; [ 2 22],[ 2.69230769 25.30769231] ; [ 2.30769231 21.69230769],0
b5,1,0.797205,0.066032,[15 13] ; [12 12],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
s6,1,0.812964,0.055981,[11 16] ; [ 9 15],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
n2,1,0.813945,0.055385,[7 6] ; [3 2],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
p3,1,0.816684,0.053737,[ 9 19] ; [ 7 17],[ 8.61538462 19.38461538] ; [ 7.38461538 16.61538462],0
b3,1,0.835388,0.043179,[ 9 14] ; [5 9],[ 8.7027027 14.2972973] ; [5.2972973 8.7027027],0
b2,1,0.835388,0.043179,[ 9 14] ; [5 9],[ 8.7027027 14.2972973] ; [5.2972973 8.7027027],0
p5,1,0.840754,0.040373,[ 3 25] ; [ 3 21],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
p4,1,0.857221,0.032369,[10 18] ; [ 8 16],[ 9.69230769 18.30769231] ; [ 8.30769231 15.69230769],0
p6,1,0.86253,0.029982,[ 5 22] ; [ 4 20],[ 4.76470588 22.23529412] ; [ 4.23529412 19.76470588],0
p10,1,0.868699,0.027328,[13 14] ; [11 13],[12.70588235 14.29411765] ; [11.29411765 12.70588235],0
s1,1,0.872405,0.025794,[ 2 26] ; [ 2 22],[ 2.15384615 25.84615385] ; [ 1.84615385 22.15384615],0
r4,1,0.893948,0.017772,[10 18] ; [ 9 15],[10.23076923 17.76923077] ; [ 8.76923077 15.23076923],0
a1,1,0.911402,0.012381,[ 1 27] ; [ 1 23],[ 1.07692308 26.92307692] ; [ 0.92307692 23.07692308],0
u3,1,0.931175,0.007459,[1 4] ; [2 9],[0.9375 4.0625] ; [2.0625 8.9375],0
p12,1,0.932248,0.007228,[ 1 26] ; [ 1 23],[ 1.05882353 25.94117647] ; [ 0.94117647 23.05882353],0
n6,1,0.945311,0.004705,[15 12] ; [13 10],[15.12 11.88] ; [12.88 10.12],0
n3,1,0.949272,0.004048,[7 5] ; [3 2],[7.05882353 4.94117647] ; [2.94117647 2.05882353],0
b4,1,0.962329,0.002231,[20  8] ; [17  7],[19.92307692  8.07692308] ; [17.07692308  6.92307692],0
r3,1,0.962329,0.002231,[20  8] ; [17  7],[19.92307692  8.07692308] ; [17.07692308  6.92307692],0
n5,1,0.965763,0.001842,[15 13] ; [13 11],[15.07692308 12.92307692] ; [12.92307692 11.07692308],0
