Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.4e-05,18.917393,[ 5 20] ; [23  6],[12.96296296 12.03703704] ; [15.03703704 13.96296296],1
d4,1,0.723203,0.125445,[17  8] ; [21  8],[17.59259259  7.40740741] ; [20.40740741  8.59259259],0
n3,1,0.769698,0.085714,[9 5] ; [7 3],[9.33333333 4.66666667] ; [6.66666667 3.33333333],0
s1,1,0.805303,0.060758,[ 3 21] ; [ 3 26],[ 2.71698113 21.28301887] ; [ 3.28301887 25.71698113],0
v3,1,0.821833,0.05071,[ 7 16] ; [ 8 21],[ 6.63461538 16.36538462] ; [ 8.36538462 20.63461538],0
p12,1,0.843743,0.038852,[ 2 22] ; [ 2 27],[ 1.81132075 22.18867925] ; [ 2.18867925 26.81132075],0
u3,1,0.852179,0.034722,[5 3] ; [7 5],[4.8 3.2] ; [7.2 4.8],0
u2,1,0.852179,0.034722,[5 3] ; [7 5],[4.8 3.2] ; [7.2 4.8],0
a6,1,0.876421,0.024183,[10 15] ; [11 18],[ 9.72222222 15.27777778] ; [11.27777778 17.72222222],0
u1,1,0.877307,0.023834,[ 2 23] ; [ 2 27],[ 1.85185185 23.14814815] ; [ 2.14814815 26.85185185],0
d2,1,0.98386,0.000409,[13 12] ; [15 14],[12.96296296 12.03703704] ; [15.03703704 13.96296296],0
