Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.005132,7.83239,[ 5 16] ; [29 19],[10.34782609 10.65217391] ; [23.65217391 24.34782609],0
p1,1,0.467912,0.526904,[ 5 45] ; [ 7 98],[ 3.87096774 46.12903226] ; [ 8.12903226 96.87096774],0
n3,1,0.469179,0.523909,[11 10] ; [26 16],[12.33333333  8.66666667] ; [24.66666667 17.33333333],0
a8,1,0.476526,0.506804,[ 4 41] ; [13 87],[ 5.27586207 39.72413793] ; [11.72413793 88.27586207],0
v2,1,0.497736,0.459761,[20 28] ; [37 66],[18.1192053 29.8807947] ; [38.8807947 64.1192053],0
d1,1,0.52146,0.411005,[23 27] ; [43 63],[21.15384615 28.84615385] ; [44.84615385 61.15384615],0
p3,1,0.540206,0.375158,[16 33] ; [40 66],[17.70322581 31.29677419] ; [38.29677419 67.70322581],0
s1,1,0.578995,0.307862,[ 5 44] ; [ 8 98],[ 4.10967742 44.89032258] ; [ 8.89032258 97.10967742],0
r1,1,0.618982,0.247301,[31 17] ; [64 42],[29.61038961 18.38961039] ; [65.38961039 40.61038961],0
v1,1,0.640975,0.21747,[19 30] ; [37 69],[17.70322581 31.29677419] ; [38.29677419 67.70322581],0
d5,1,0.655534,0.198994,[32 18] ; [71 34],[33.22580645 16.77419355] ; [69.77419355 35.22580645],0
n5,1,0.664002,0.188698,[24 24] ; [57 49],[25.24675325 22.75324675] ; [55.75324675 50.24675325],0
d2,1,0.665178,0.187295,[23 27] ; [44 60],[21.75324675 28.24675325] ; [45.24675325 58.75324675],0
p9,1,0.686951,0.162406,[15 34] ; [28 74],[13.95364238 35.04635762] ; [29.04635762 72.95364238],0
n6,1,0.695103,0.153616,[26 22] ; [61 45],[27.11688312 20.88311688] ; [59.88311688 46.11688312],0
s4,1,0.707011,0.141281,[ 7 43] ; [17 87],[ 7.79220779 42.20779221] ; [16.20779221 87.79220779],0
v4,1,0.727175,0.121721,[38 11] ; [84 21],[38.81818182 10.18181818] ; [83.18181818 21.81818182],0
s2,1,0.748862,0.10249,[17 33] ; [33 72],[16.12903226 33.87096774] ; [33.87096774 71.12903226],0
a1,1,0.769954,0.085518,[ 4 46] ; [10 96],[ 4.48717949 45.51282051] ; [ 9.51282051 96.48717949],0
r3,1,0.777671,0.079725,[38 11] ; [80 26],[37.30322581 11.69677419] ; [80.69677419 25.30322581],0
d4,1,0.782053,0.076532,[34 16] ; [73 31],[34.74025974 15.25974026] ; [72.25974026 31.74025974],0
a4,1,0.797515,0.065825,[19 30] ; [43 62],[19.72727273 29.27272727] ; [42.27272727 62.72727273],0
p2,1,0.835868,0.042924,[26 24] ; [57 49],[26.6025641 23.3974359] ; [56.3974359 49.6025641],0
s7,1,0.878628,0.02332,[14 35] ; [26 69],[13.61111111 35.38888889] ; [26.38888889 68.61111111],0
n2,1,0.899167,0.016056,[13 10] ; [25 18],[13.24242424  9.75757576] ; [24.75757576 18.24242424],0
v3,1,0.91884,0.010383,[13 33] ; [28 74],[12.74324324 33.25675676] ; [28.25675676 73.74324324],0
r4,1,0.923582,0.009201,[32 18] ; [67 39],[31.73076923 18.26923077] ; [67.26923077 38.73076923],0
n1,1,0.935526,0.006544,[10 12] ; [20 23],[10.15384615 11.84615385] ; [19.84615385 23.15384615],0
p5,1,0.943317,0.005055,[ 3 47] ; [ 6 99],[ 2.90322581 47.09677419] ; [ 6.09677419 98.90322581],0
p4,1,0.990872,0.000131,[19 30] ; [41 65],[18.96774194 30.03225806] ; [41.03225806 64.96774194],0
