Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,30.911035,[  8 116] ; [42 77],[25.51440329 98.48559671] ; [24.48559671 94.51440329],1
r1,1,0.442457,0.589901,[76 49] ; [78 41],[78.89344262 46.10655738] ; [75.10655738 43.89344262],0
p10,1,0.511677,0.430637,[75 47] ; [78 41],[77.45228216 44.54771784] ; [75.54771784 43.45228216],0
u2,1,0.531492,0.391539,[31 35] ; [27 38],[29.22137405 36.77862595] ; [28.77862595 36.22137405],0
s1,1,0.553422,0.351222,[  6 117] ; [  4 115],[  5.08264463 117.91735537] ; [  4.91735537 114.08264463],0
a4,1,0.571017,0.320984,[32 92] ; [27 92],[30.10699588 93.89300412] ; [28.89300412 90.10699588],0
s4,1,0.592463,0.286514,[ 20 105] ; [ 16 102],[ 18.51851852 106.48148148] ; [ 17.48148148 100.51851852],0
a3,1,0.592692,0.28616,[59 64] ; [53 66],[56.92561983 66.07438017] ; [55.07438017 63.92561983],0
n1,1,0.599997,0.275,[13 23] ; [ 9 21],[12. 24.] ; [10. 20.],0
a8,1,0.604154,0.268776,[ 15 102] ; [ 12 101],[ 13.73478261 103.26521739] ; [13.26521739 99.73478261],0
u1,1,0.618443,0.248062,[  2 123] ; [  3 117],[  2.55102041 122.44897959] ; [  2.44897959 117.55102041],0
p11,1,0.63697,0.222727,[84 41] ; [84 36],[85.71428571 39.28571429] ; [82.28571429 37.71428571],0
a1,1,0.665141,0.187339,[  9 116] ; [  7 113],[  8.16326531 116.83673469] ; [  7.83673469 112.16326531],0
n4,1,0.699927,0.148547,[78 47] ; [72 48],[76.53061224 48.46938776] ; [73.46938776 46.53061224],0
a2,1,0.705539,0.142774,[  5 120] ; [  6 114],[  5.6122449 119.3877551] ; [  5.3877551 114.6122449],0
a5,1,0.729852,0.119248,[59 66] ; [54 66],[57.65306122 67.34693878] ; [55.34693878 64.65306122],0
d4,1,0.729852,0.119248,[66 59] ; [66 54],[67.34693878 57.65306122] ; [64.65306122 55.34693878],0
r2,1,0.850732,0.035413,[105  20] ; [101  18],[105.53278689  19.46721311] ; [100.46721311  18.53278689],0
n5,1,0.879864,0.022844,[78 47] ; [76 44],[78.57142857 46.42857143] ; [75.42857143 44.57142857],0
s8,1,0.885611,0.020696,[ 15 110] ; [ 15 104],[ 15.36885246 109.63114754] ; [ 14.63114754 104.36885246],0
p1,1,0.898684,0.016212,[ 10 115] ; [  9 110],[  9.73360656 115.26639344] ; [  9.26639344 109.73360656],0
u3,1,0.920699,0.009911,[29 37] ; [28 37],[28.71755725 37.28244275] ; [28.28244275 36.71755725],0
n2,1,0.924627,0.00895,[28  9] ; [23  7],[28.1641791  8.8358209] ; [22.8358209  7.1641791],0
v3,1,0.940582,0.005556,[30 91] ; [30 89],[30.25 90.75] ; [29.75 89.25],0
p12,1,0.942197,0.005258,[  6 119] ; [  6 114],[  6.12244898 118.87755102] ; [  5.87755102 114.12244898],0
d2,1,0.944007,0.004933,[ 19 105] ; [ 18 102],[ 18.80327869 105.19672131] ; [ 18.19672131 101.80327869],0
p9,1,0.989789,0.000164,[85 37] ; [83 36],[85.04564315 36.95435685] ; [82.95435685 36.04564315],0
