Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,6.8e-05,15.856624,[ 3 85] ; [11 30],[ 9.5503876 78.4496124] ; [ 4.4496124 36.5503876],1
n1,1,0.399727,0.709148,[ 9 14] ; [5 4],[10.0625 12.9375] ; [3.9375 5.0625],0
p11,1,0.40381,0.696951,[74 14] ; [32  9],[72.31007752 15.68992248] ; [33.68992248  7.31007752],0
v4,1,0.418231,0.655279,[81  5] ; [37  4],[79.90551181  6.09448819] ; [38.09448819  2.90551181],0
p2,1,0.462316,0.540281,[68 20] ; [34  7],[69.58139535 18.41860465] ; [32.41860465  8.58139535],0
d2,1,0.511978,0.430022,[19 69] ; [11 30],[20.46511628 67.53488372] ; [ 9.53488372 31.46511628],0
s8,1,0.570195,0.322356,[34 54] ; [18 23],[35.47286822 52.52713178] ; [16.52713178 24.47286822],0
s4,1,0.593879,0.284327,[19 69] ; [ 7 33],[17.875 70.125] ; [ 8.125 31.875],0
n6,1,0.617886,0.248849,[72 16] ; [35  6],[72.99224806 15.00775194] ; [34.00775194  6.99224806],0
r1,1,0.645583,0.211514,[58 29] ; [29 12],[59.1328125 27.8671875] ; [27.8671875 13.1328125],0
u3,1,0.666539,0.185677,[23 23] ; [9 7],[23.74193548 22.25806452] ; [8.25806452 7.74193548],0
a7,1,0.671308,0.180075,[56 32] ; [27 13],[57.0625 30.9375] ; [25.9375 14.0625],0
v1,1,0.700842,0.147597,[42 42] ; [19 22],[40.992 43.008] ; [20.008 20.992],0
a2,1,0.732995,0.116379,[ 7 81] ; [ 4 37],[ 7.50387597 80.49612403] ; [ 3.49612403 37.50387597],0
r3,1,0.747375,0.10375,[80  7] ; [37  4],[79.5234375  7.4765625] ; [37.4765625  3.5234375],0
b5,1,0.775336,0.081455,[47 41] ; [23 18],[47.75193798 40.24806202] ; [22.24806202 18.75193798],0
d3,1,0.848076,0.0367,[24 64] ; [10 29],[23.55905512 64.44094488] ; [10.44094488 28.55905512],0
s6,1,0.887943,0.019855,[54 32] ; [25 14],[54.352 31.648] ; [24.648 14.352],0
s3,1,0.903272,0.014769,[44 42] ; [20 20],[43.68253968 42.31746032] ; [20.31746032 19.68253968],0
s1,1,0.944181,0.004902,[ 4 83] ; [ 2 39],[ 4.078125 82.921875] ; [ 1.921875 39.078125],0
