Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.916726,[103   1] ; [46 14],[94.48780488  9.51219512] ; [54.51219512  5.48780488],1
n2,1,0.269491,1.219334,[17  7] ; [21  4],[18.6122449  5.3877551] ; [19.3877551  5.6122449],0
p9,1,0.296676,1.089076,[82 20] ; [44 16],[79.33333333 22.66666667] ; [46.66666667 13.33333333],0
a2,1,0.360425,0.836412,[18 87] ; [14 47],[20.24096386 84.75903614] ; [11.75903614 49.24096386],0
p2,1,0.383531,0.759354,[80 25] ; [42 18],[77.63636364 27.36363636] ; [44.36363636 15.63636364],0
p5,1,0.411101,0.675614,[  4 101] ; [ 4 56],[ 5.09090909 99.90909091] ; [ 2.90909091 57.09090909],0
r2,1,0.442299,0.590311,[99  4] ; [57  4],[97.97560976  5.02439024] ; [58.02439024  2.97560976],0
a7,1,0.460645,0.544327,[68 37] ; [36 25],[65.78313253 39.21686747] ; [38.21686747 22.78313253],0
s3,1,0.487054,0.483028,[57 47] ; [29 30],[54.87116564 49.12883436] ; [31.12883436 27.87116564],0
u1,1,0.504551,0.445351,[14 91] ; [ 6 55],[12.65060241 92.34939759] ; [ 7.34939759 53.65060241],0
p10,1,0.545977,0.364574,[74 27] ; [42 19],[72.32098765 28.67901235] ; [43.67901235 17.32098765],0
a8,1,0.552414,0.35301,[17 79] ; [ 8 49],[15.68627451 80.31372549] ; [ 9.31372549 47.68627451],0
s5,1,0.564816,0.331433,[29 71] ; [20 40],[30.625 69.375] ; [18.375 41.625],0
a3,1,0.611938,0.257363,[76 28] ; [46 14],[77.36585366 26.63414634] ; [44.63414634 15.36585366],0
a1,1,0.622354,0.242573,[  5 100] ; [ 4 57],[ 5.69277108 99.30722892] ; [ 3.30722892 57.69277108],0
b1,1,0.624019,0.240259,[39 66] ; [25 36],[40.48192771 64.51807229] ; [23.51807229 37.48192771],0
s4,1,0.681567,0.168367,[15 90] ; [10 50],[15.90909091 89.09090909] ; [ 9.09090909 50.90909091],0
n3,1,0.757621,0.095238,[18  7] ; [17  8],[17.5  7.5] ; [17.5  7.5],0
a4,1,0.789137,0.07152,[46 59] ; [25 35],[45.18181818 59.81818182] ; [25.81818182 34.18181818],0
d2,1,0.805897,0.060379,[41 64] ; [25 36],[41.74698795 63.25301205] ; [24.25301205 36.74698795],0
p8,1,0.841866,0.039803,[35 67] ; [20 41],[34.41717791 67.58282209] ; [20.58282209 40.41717791],0
u2,1,0.856366,0.032762,[16 12] ; [9 6],[16.27906977 11.72093023] ; [8.72093023 6.27906977],0
n4,1,0.856542,0.032681,[73 31] ; [42 19],[72.48484848 31.51515152] ; [42.51515152 18.48484848],0
b3,1,0.869924,0.026816,[28 31] ; [16 19],[27.61702128 31.38297872] ; [16.38297872 18.61702128],0
b2,1,0.869924,0.026816,[28 31] ; [16 19],[27.61702128 31.38297872] ; [16.38297872 18.61702128],0
p1,1,0.89375,0.017838,[ 8 97] ; [ 5 56],[ 8.22289157 96.77710843] ; [ 4.77710843 56.22289157],0
b4,1,0.900894,0.015508,[63 42] ; [36 25],[62.62048193 42.37951807] ; [36.37951807 24.62048193],0
u4,1,0.901503,0.015317,[  2 103] ; [ 1 60],[  1.89759036 103.10240964] ; [ 1.10240964 59.89759036],0
u3,1,0.919313,0.010262,[15 14] ; [8 7],[15.15909091 13.84090909] ; [7.84090909 7.15909091],0
n5,1,0.937953,0.00606,[71 33] ; [42 19],[71.22424242 32.77575758] ; [41.77575758 19.22424242],0
s6,1,0.960051,0.002509,[65 37] ; [38 22],[64.85185185 37.14814815] ; [38.14814815 21.85185185],0
b5,1,0.985334,0.000338,[69 36] ; [40 21],[68.94578313 36.05421687] ; [40.05421687 20.94578313],0
