Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.48653,[192  23] ; [5 7],[186.58590308  28.41409692] ; [10.41409692  1.58590308],1
b1,1,0.656607,0.197671,[ 76 139] ; [5 7],[ 76.71806167 138.28193833] ; [4.28193833 7.71806167],0
n3,1,0.713544,0.134762,[34 13] ; [4 1],[34.34615385 12.65384615] ; [3.65384615 1.34615385],0
a8,1,0.770242,0.085298,[ 22 161] ; [ 1 10],[ 21.69587629 161.30412371] ; [1.30412371 9.69587629],0
s6,1,0.787333,0.072779,[ 98 115] ; [6 6],[ 98.45333333 114.54666667] ; [5.54666667 6.45333333],0
a4,1,0.849867,0.03583,[101 113] ; [6 6],[101.31858407 112.68141593] ; [5.68141593 6.31858407],0
b4,1,0.864156,0.02927,[120  95] ; [7 5],[120.28634361  94.71365639] ; [6.71365639 5.28634361],0
u1,1,0.866384,0.028309,[ 40 175] ; [ 2 10],[ 39.77973568 175.22026432] ; [2.22026432 9.77973568],0
s4,1,0.898741,0.016193,[ 20 192] ; [ 1 11],[ 19.875 192.125] ; [ 1.125 10.875],0
p4,1,0.939799,0.005704,[126  86] ; [7 5],[125.875  86.125] ; [7.125 4.875],0
d4,1,0.977359,0.000805,[179  35] ; [10  2],[178.96460177  35.03539823] ; [10.03539823  1.96460177],0
n4,1,0.978236,0.000744,[162  53] ; [9 3],[161.96035242  53.03964758] ; [9.03964758 2.96035242],0
a5,1,0.992787,8.2e-05,[161  54] ; [9 3],[161.01321586  53.98678414] ; [8.98678414 3.01321586],0
