Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,5e-06,20.659202,[11 65] ; [16 11],[19.9223301 56.0776699] ; [ 7.0776699 19.9223301],1
a2,1,0.252604,1.308842,[16 60] ; [ 3 24],[14.01941748 61.98058252] ; [ 4.98058252 22.01941748],0
n3,1,0.292091,1.10996,[18 15] ; [6 2],[19.31707317 13.68292683] ; [4.68292683 3.31707317],0
p5,1,0.318916,0.993389,[ 5 71] ; [ 3 20],[ 6.14141414 69.85858586] ; [ 1.85858586 21.14141414],0
s1,1,0.38455,0.756106,[ 9 67] ; [ 5 22],[10.33009709 65.66990291] ; [ 3.66990291 23.33009709],0
u2,1,0.405676,0.691436,[12 18] ; [6 5],[13.17073171 16.82926829] ; [4.82926829 6.17073171],0
u4,1,0.439869,0.596624,[ 1 75] ; [ 1 26],[ 1.47572816 74.52427184] ; [ 0.52427184 26.47572816],0
n2,1,0.460107,0.545635,[22 14] ; [6 2],[22.90909091 13.09090909] ; [5.09090909 2.90909091],0
d1,1,0.506704,0.440869,[31 45] ; [13 14],[32.46601942 43.53398058] ; [11.53398058 15.46601942],0
a7,1,0.524372,0.405286,[42 34] ; [13 14],[40.58252427 35.41747573] ; [14.41747573 12.58252427],0
d3,1,0.560638,0.338601,[34 41] ; [14 13],[35.29411765 39.70588235] ; [12.70588235 14.29411765],0
a6,1,0.622798,0.241955,[43 32] ; [14 13],[41.91176471 33.08823529] ; [15.08823529 11.91176471],0
a8,1,0.625036,0.238853,[ 6 69] ; [ 3 24],[ 6.61764706 68.38235294] ; [ 2.38235294 24.61764706],0
a1,1,0.638223,0.221074,[ 8 68] ; [ 2 25],[ 7.37864078 68.62135922] ; [ 2.62135922 24.37864078],0
b1,1,0.688861,0.160321,[40 36] ; [13 14],[39.10679612 36.89320388] ; [13.89320388 13.10679612],0
u1,1,0.689491,0.159637,[ 9 67] ; [ 4 23],[ 9.59223301 66.40776699] ; [ 3.40776699 23.59223301],0
a4,1,0.724617,0.124112,[30 44] ; [12 15],[30.77227723 43.22772277] ; [11.22772277 15.77227723],0
b2,1,0.780916,0.077353,[20 32] ; [ 8 11],[20.50704225 31.49295775] ; [ 7.49295775 11.50704225],0
b3,1,0.780916,0.077353,[20 32] ; [ 8 11],[20.50704225 31.49295775] ; [ 7.49295775 11.50704225],0
a3,1,0.79086,0.070328,[46 28] ; [16 11],[45.42574257 28.57425743] ; [16.57425743 10.42574257],0
a5,1,0.808899,0.05849,[43 33] ; [16 11],[43.53398058 32.46601942] ; [15.46601942 11.53398058],0
v3,1,0.838658,0.041457,[17 57] ; [ 6 18],[17.36734694 56.63265306] ; [ 5.63265306 18.36734694],0
d2,1,0.888735,0.019573,[34 39] ; [13 14],[34.31 38.69] ; [12.69 14.31],0
d4,1,0.900416,0.015659,[49 26] ; [18  9],[49.26470588 25.73529412] ; [17.73529412  9.26470588],0
r2,1,0.911997,0.012215,[61 13] ; [22  5],[60.81188119 13.18811881] ; [22.18811881  4.81188119],0
n4,1,0.985613,0.000325,[48 28] ; [17 10],[47.96116505 28.03883495] ; [17.03883495  9.96116505],0
n1,1,1.0,0.0,[18 18] ; [4 4],[18. 18.] ; [4. 4.],0
