Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,85.350607,[ 29 101] ; [93 21],[65. 65.] ; [57. 57.],1
u2,1,0.129978,2.292769,[26 28] ; [16  8],[29.07692308 24.92307692] ; [12.92307692 11.07692308],0
u3,1,0.132395,2.26419,[22 33] ; [14 10],[25.06329114 29.93670886] ; [10.93670886 13.06329114],0
v2,1,0.156831,2.004524,[58 75] ; [59 53],[63.51428571 69.48571429] ; [53.48571429 58.51428571],0
d3,1,0.158026,1.993016,[53 84] ; [56 62],[58.56078431 78.43921569] ; [50.43921569 67.56078431],0
a4,1,0.177593,1.81765,[52 84] ; [55 63],[57.29133858 78.70866142] ; [49.70866142 68.29133858],0
p1,1,0.183914,1.765711,[  7 130] ; [ 11 106],[  9.70866142 127.29133858] ; [  8.29133858 108.70866142],0
n2,1,0.216681,1.52622,[38  9] ; [22 10],[35.69620253 11.30379747] ; [24.30379747  7.69620253],0
p5,1,0.218521,1.514055,[ 12 123] ; [ 16 100],[ 15.05976096 119.94023904] ; [ 12.94023904 103.05976096],0
a8,1,0.248869,1.329639,[ 12 117] ; [16 98],[ 14.86419753 114.13580247] ; [ 13.13580247 100.86419753],0
a2,1,0.297071,1.087298,[  9 128] ; [ 12 106],[ 11.28235294 125.71764706] ; [  9.71764706 108.28235294],0
s4,1,0.358167,0.844311,[ 22 115] ; [24 93],[ 24.81102362 112.18897638] ; [21.18897638 95.81102362],0
u1,1,0.401506,0.703811,[  6 131] ; [  8 110],[  7.52156863 129.47843137] ; [  6.47843137 111.52156863],0
n3,1,0.642626,0.215324,[32 14] ; [20 11],[31.06493506 14.93506494] ; [20.93506494 10.06493506],0
p2,1,0.65402,0.200869,[101  33] ; [91 26],[102.50199203  31.49800797] ; [89.49800797 27.50199203],0
a1,1,0.757541,0.095303,[  8 129] ; [  8 110],[  8.59607843 128.40392157] ; [  7.40392157 110.59607843],0
s1,1,0.837338,0.042148,[  5 129] ; [  5 113],[  5.31746032 128.68253968] ; [  4.68253968 113.31746032],0
