Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,54.365591,[64 94] ; [128  30],[96. 62.] ; [96. 62.],1
a7,1,0.172394,1.862001,[106  55] ; [118  44],[111.65325077  49.34674923] ; [112.34674923  49.65325077],0
n6,1,0.225692,1.467806,[131  30] ; [139  22],[135.  26.] ; [135.  26.],0
d4,1,0.238113,1.391731,[130  31] ; [122  40],[125.60990712  35.39009288] ; [126.39009288  35.60990712],0
n5,1,0.259841,1.269605,[105  54] ; [115  45],[109.65517241  49.34482759] ; [110.34482759  49.65517241],0
p12,1,0.265768,1.238462,[  9 153] ; [ 14 146],[ 11.57142857 150.42857143] ; [ 11.42857143 148.57142857],0
a2,1,0.313609,1.015414,[ 33 129] ; [ 26 136],[ 29.5 132.5] ; [ 29.5 132.5],0
b1,1,0.352019,0.866165,[ 53 109] ; [ 61 101],[ 57. 105.] ; [ 57. 105.],0
n3,1,0.353686,0.860188,[43 12] ; [20  9],[41.25 13.75] ; [21.75  7.25],0
s1,1,0.357315,0.847308,[  4 156] ; [  7 153],[  5.5 154.5] ; [  5.5 154.5],0
s5,1,0.358478,0.843218,[ 40 117] ; [ 47 109],[ 43.63897764 113.36102236] ; [ 43.36102236 112.63897764],0
b5,1,0.373151,0.793146,[90 72] ; [82 80],[86. 76.] ; [86. 76.],0
n2,1,0.383839,0.75837,[41 14] ; [19 10],[39.28571429 15.71428571] ; [20.71428571  8.28571429],0
a5,1,0.410467,0.677448,[104  58] ; [111  51],[107.5  54.5] ; [107.5  54.5],0
u1,1,0.412925,0.670363,[ 24 138] ; [ 19 143],[ 21.5 140.5] ; [ 21.5 140.5],0
d1,1,0.436481,0.605515,[87 75] ; [80 82],[83.5 78.5] ; [83.5 78.5],0
s4,1,0.44912,0.572872,[ 26 134] ; [ 31 128],[ 28.58934169 131.41065831] ; [ 28.41065831 130.58934169],0
d2,1,0.509574,0.434941,[71 89] ; [66 96],[68.07453416 91.92546584] ; [68.92546584 93.07453416],0
r4,1,0.516548,0.420779,[138  24] ; [142  20],[140.  22.] ; [140.  22.],0
u2,1,0.535687,0.383592,[26 24] ; [37 27],[27.63157895 22.36842105] ; [35.36842105 28.63157895],0
r1,1,0.588951,0.291986,[117  44] ; [122  40],[119.13003096  41.86996904] ; [119.86996904  42.13003096],0
a6,1,0.632315,0.228935,[109  53] ; [113  49],[111.  51.] ; [111.  51.],0
v3,1,0.696614,0.152018,[ 42 114] ; [ 40 120],[ 40.48101266 115.51898734] ; [ 41.51898734 118.48101266],0
v2,1,0.700709,0.147735,[62 91] ; [67 90],[63.66774194 89.33225806] ; [65.33225806 91.66774194],0
d3,1,0.724279,0.124429,[109  53] ; [106  56],[107.5  54.5] ; [107.5  54.5],0
s3,1,0.731542,0.117701,[84 77] ; [86 73],[85.53125 75.46875] ; [84.46875 74.53125],0
a1,1,0.77711,0.080139,[  6 156] ; [  7 155],[  6.5 155.5] ; [  6.5 155.5],0
r3,1,0.800967,0.063552,[153   7] ; [153   8],[152.52336449   7.47663551] ; [153.47663551   7.52336449],0
n4,1,0.829063,0.046614,[117  45] ; [118  43],[117.86377709  44.13622291] ; [117.13622291  43.86377709],0
r2,1,0.859422,0.031368,[146  15] ; [146  14],[146.45482866  14.54517134] ; [145.54517134  14.45482866],0
d5,1,0.897912,0.016461,[121  41] ; [122  40],[121.5  40.5] ; [121.5  40.5],0
u3,1,0.932482,0.007178,[26 26] ; [32 31],[26.22608696 25.77391304] ; [31.77391304 31.22608696],0
