Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,5.5e-05,16.271963,[32 39] ; [104  38],[45.33333333 25.66666667] ; [90.66666667 51.33333333],1
n5,1,0.228521,1.450044,[54 17] ; [96 45],[50.23584906 20.76415094] ; [99.76415094 41.23584906],0
p12,1,0.318028,0.997041,[ 6 65] ; [  7 134],[ 4.35377358 66.64622642] ; [  8.64622642 132.35377358],0
n2,1,0.335314,0.928266,[14  9] ; [22  8],[15.62264151  7.37735849] ; [20.37735849  9.62264151],0
u1,1,0.37968,0.771739,[ 1 70] ; [  5 137],[ 2. 69.] ; [  4. 138.],0
s1,1,0.381,0.767474,[ 5 65] ; [  6 134],[ 3.66666667 66.33333333] ; [  7.33333333 132.66666667],0
p7,1,0.388898,0.742384,[37 33] ; [81 56],[39.90338164 30.09661836] ; [78.09661836 58.90338164],0
s2,1,0.398188,0.713793,[27 43] ; [63 78],[29.85781991 40.14218009] ; [60.14218009 80.85781991],0
a4,1,0.403179,0.698825,[16 55] ; [ 25 116],[13.73113208 57.26886792] ; [ 27.26886792 113.73113208],0
p1,1,0.4135,0.668714,[ 8 63] ; [ 11 129],[ 6.39336493 64.60663507] ; [ 12.60663507 127.39336493],0
b5,1,0.428653,0.626471,[40 31] ; [88 54],[42.66666667 28.33333333] ; [85.33333333 56.66666667],0
a3,1,0.494035,0.467727,[31 39] ; [69 71],[33.33333333 36.66666667] ; [66.66666667 73.33333333],0
p9,1,0.521838,0.410259,[51 20] ; [104  33],[52.90865385 18.09134615] ; [102.09134615  34.90865385],0
a1,1,0.522165,0.409615,[ 1 70] ; [  4 138],[ 1.66666667 69.33333333] ; [  3.33333333 138.66666667],0
n1,1,0.528929,0.396448,[ 7 16] ; [12 19],[ 8.09259259 14.90740741] ; [10.90740741 20.09259259],0
s4,1,0.55125,0.355082,[13 58] ; [ 21 118],[11.4952381 59.5047619] ; [ 22.5047619 116.4952381],0
v1,1,0.631377,0.230198,[28 42] ; [60 78],[29.61538462 40.38461538] ; [58.38461538 79.61538462],0
a8,1,0.736523,0.113206,[ 8 58] ; [ 18 112],[ 8.75510204 57.24489796] ; [ 17.24489796 112.75510204],0
n4,1,0.808267,0.058885,[50 21] ; [97 44],[49.23113208 21.76886792] ; [97.76886792 43.23113208],0
s5,1,0.816713,0.05372,[17 51] ; [ 32 104],[16.33333333 51.66666667] ; [ 32.66666667 103.33333333],0
p6,1,0.864652,0.029055,[20 50] ; [41 97],[20.52884615 49.47115385] ; [40.47115385 97.52884615],0
s7,1,0.879795,0.02287,[25 44] ; [50 84],[25.49261084 43.50738916] ; [49.50738916 84.49261084],0
p4,1,0.883195,0.021585,[34 36] ; [70 71],[34.50236967 35.49763033] ; [69.49763033 71.50236967],0
s3,1,0.884968,0.020931,[36 33] ; [74 65],[36.49038462 32.50961538] ; [73.50961538 65.49038462],0
p8,1,0.88792,0.019863,[31 40] ; [63 78],[31.48113208 39.51886792] ; [62.51886792 78.48113208],0
s8,1,0.917846,0.010639,[23 48] ; [47 95],[23.33333333 47.66666667] ; [46.66666667 95.33333333],0
p5,1,1.0,0.0,[ 8 62] ; [ 16 124],[ 8. 62.] ; [ 16. 124.],0
b4,1,1.0,0.0,[43 28] ; [86 56],[43. 28.] ; [86. 56.],0
