Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.426043,[ 57 217] ; [21 16],[ 68.72025723 205.27974277] ; [ 9.27974277 27.72025723],1
n3,1,0.171285,1.871662,[46 20] ; [2 3],[44.61971831 21.38028169] ; [3.38028169 1.61971831],0
v1,1,0.183073,1.772498,[147 129] ; [24 13],[150.78594249 125.21405751] ; [20.21405751 16.78594249],0
v2,1,0.185245,1.755035,[152 119] ; [25 12],[155.73701299 115.26298701] ; [21.26298701 15.73701299],0
d5,1,0.20929,1.576332,[229  48] ; [29 10],[226.15822785  50.84177215] ; [31.84177215  7.15822785],0
s8,1,0.251499,1.31496,[ 75 202] ; [14 25],[ 78.01582278 198.98417722] ; [10.98417722 28.01582278],0
u3,1,0.255125,1.295018,[47 45] ; [7 3],[48.70588235 43.29411765] ; [5.29411765 4.70588235],0
d3,1,0.255817,1.291253,[188  88] ; [23 16],[184.87619048  91.12380952] ; [26.12380952 12.87619048],0
r1,1,0.264575,1.244661,[215  63] ; [27 12],[212.22712934  65.77287066] ; [29.77287066  9.22712934],0
p2,1,0.340181,0.909748,[232  46] ; [34  4],[234.01265823  43.98734177] ; [31.98734177  6.01265823],0
a3,1,0.365929,0.817444,[186  91] ; [29 10],[188.46518987  88.53481013] ; [26.53481013 12.46518987],0
s4,1,0.393343,0.728584,[ 36 240] ; [ 3 34],[ 34.38977636 241.61022364] ; [ 4.61022364 32.38977636],0
b5,1,0.407173,0.687041,[169 109] ; [21 18],[166.62460568 111.37539432] ; [23.37539432 15.62460568],0
v4,1,0.420409,0.649171,[265  13] ; [36  3],[263.96845426  14.03154574] ; [37.03154574  1.96845426],0
n4,1,0.441012,0.593648,[205  73] ; [31  8],[206.96529968  71.03470032] ; [29.03470032  9.96529968],0
a7,1,0.494878,0.465902,[206  71] ; [27 12],[204.24367089  72.75632911] ; [28.75632911 10.24367089],0
d1,1,0.511458,0.431083,[151 127] ; [19 20],[149.0851735 128.9148265] ; [20.9148265 18.0851735],0
n5,1,0.541627,0.372532,[207  69] ; [31  8],[208.53333333  67.46666667] ; [29.46666667  9.53333333],0
u1,1,0.601556,0.272656,[ 41 237] ; [ 7 32],[ 42.09463722 235.90536278] ; [ 5.90536278 33.09463722],0
s2,1,0.614638,0.253477,[ 44 232] ; [ 5 34],[ 42.93333333 233.06666667] ; [ 6.06666667 32.93333333],0
a8,1,0.620741,0.244827,[ 29 219] ; [ 3 31],[ 28.14184397 219.85815603] ; [ 3.85815603 30.14184397],0
n1,1,0.640156,0.218538,[20 47] ; [1 4],[19.54166667 47.45833333] ; [1.45833333 3.54166667],0
a6,1,0.695792,0.152887,[191  87] ; [28 11],[192.05678233  85.94321767] ; [26.94321767 12.05678233],0
n2,1,0.743052,0.107463,[45 22] ; [3 2],[44.66666667 22.33333333] ; [3.33333333 1.66666667],0
d4,1,0.747672,0.103497,[222  56] ; [32  7],[222.75078864  55.24921136] ; [31.24921136  7.75078864],0
r3,1,0.779239,0.078574,[259  18] ; [36  3],[258.59177215  18.40822785] ; [36.40822785  2.59177215],0
a2,1,0.786682,0.073236,[ 55 223] ; [ 7 32],[ 54.37223975 223.62776025] ; [ 7.62776025 31.37223975],0
a4,1,0.819124,0.052291,[119 158] ; [16 23],[118.33860759 158.66139241] ; [16.66139241 22.33860759],0
n6,1,0.831625,0.045206,[238  39] ; [34  5],[238.43037975  38.56962025] ; [33.56962025  5.43037975],0
d2,1,0.839283,0.041132,[116 161] ; [17 22],[116.58544304 160.41455696] ; [16.41455696 22.58544304],0
r4,1,0.967606,0.001649,[243  35] ; [34  5],[242.92113565  35.07886435] ; [34.07886435  4.92113565],0
