Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.455812,[39  4] ; [ 9 15],[30.80597015 12.19402985] ; [17.19402985  6.80597015],1
s5,1,0.2386,1.388847,[18 23] ; [ 7 17],[15.76923077 25.23076923] ; [ 9.23076923 14.76923077],0
a2,1,0.279658,1.16875,[11 33] ; [ 9 15],[12.94117647 31.05882353] ; [ 7.05882353 16.94117647],0
r1,1,0.296489,1.089918,[36  8] ; [17  7],[34.29411765  9.70588235] ; [18.70588235  5.29411765],0
p11,1,0.312673,1.019353,[31 13] ; [14 10],[29.11764706 14.88235294] ; [15.88235294  8.11764706],0
v2,1,0.326945,0.960961,[25 15] ; [12 12],[23.125 16.875] ; [13.875 10.125],0
n5,1,0.383021,0.760984,[32 12] ; [15  9],[30.41176471 13.58823529] ; [16.58823529  7.41176471],0
a3,1,0.428364,0.627254,[33 11] ; [20  4],[34.29411765  9.70588235] ; [18.70588235  5.29411765],0
d1,1,0.438093,0.601271,[29 15] ; [18  6],[30.41176471 13.58823529] ; [16.58823529  7.41176471],0
d3,1,0.463989,0.536256,[26 16] ; [17  7],[27.36363636 14.63636364] ; [15.63636364  8.36363636],0
a6,1,0.478546,0.502174,[28 14] ; [18  6],[29.27272727 12.72727273] ; [16.72727273  7.27272727],0
a4,1,0.510584,0.43287,[22 22] ; [14 10],[23.29411765 20.70588235] ; [12.70588235 11.29411765],0
n6,1,0.524731,0.404584,[33 10] ; [20  4],[34.01492537  8.98507463] ; [18.98507463  5.01492537],0
a1,1,0.52582,0.402462,[ 2 42] ; [ 2 22],[ 2.58823529 41.41176471] ; [ 1.41176471 22.58823529],0
p8,1,0.554745,0.348886,[10 34] ; [ 4 20],[ 9.05882353 34.94117647] ; [ 4.94117647 19.05882353],0
n4,1,0.557854,0.343434,[34 10] ; [17  7],[33. 11.] ; [18.  6.],0
b1,1,0.589557,0.291036,[25 19] ; [12 12],[23.94117647 20.05882353] ; [13.05882353 10.94117647],0
p5,1,0.605125,0.267335,[ 5 35] ; [ 2 22],[ 4.375 35.625] ; [ 2.625 21.375],0
a8,1,0.614884,0.253125,[ 6 37] ; [ 2 19],[ 5.375 37.625] ; [ 2.625 18.375],0
b4,1,0.664712,0.187851,[27 17] ; [16  8],[27.82352941 16.17647059] ; [15.17647059  8.82352941],0
a5,1,0.665744,0.186621,[35  9] ; [18  6],[34.29411765  9.70588235] ; [18.70588235  5.29411765],0
p1,1,0.694342,0.154425,[ 5 39] ; [ 2 22],[ 4.52941176 39.47058824] ; [ 2.47058824 21.52941176],0
p12,1,0.694342,0.154425,[ 5 39] ; [ 2 22],[ 4.52941176 39.47058824] ; [ 2.47058824 21.52941176],0
n2,1,0.768458,0.086667,[12  4] ; [8 2],[12.30769231  3.69230769] ; [7.69230769 2.30769231],0
n3,1,0.834969,0.043403,[10  6] ; [6 3],[10.24  5.76] ; [5.76 3.24],0
p3,1,0.898028,0.016423,[15 28] ; [ 8 16],[14.76119403 28.23880597] ; [ 8.23880597 15.76119403],0
v3,1,0.898562,0.016251,[18 21] ; [11 12],[18.24193548 20.75806452] ; [10.75806452 12.24193548],0
a7,1,0.926003,0.008626,[28 16] ; [15  9],[27.82352941 16.17647059] ; [15.17647059  8.82352941],0
b2,1,0.957446,0.002847,[15 20] ; [ 8 11],[14.90740741 20.09259259] ; [ 8.09259259 10.90740741],0
b3,1,0.957446,0.002847,[15 20] ; [ 8 11],[14.90740741 20.09259259] ; [ 8.09259259 10.90740741],0
u1,1,1.0,0.0,[11 33] ; [ 6 18],[11. 33.] ; [ 6. 18.],0
d5,1,1.0,0.0,[35  7] ; [20  4],[35.  7.] ; [20.  4.],0
