Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,31.85,[ 1 38] ; [44 34],[15. 24.] ; [30. 48.],1
p9,1,0.366994,0.813819,[19 18] ; [47 31],[21.23478261 15.76521739] ; [44.76521739 33.23478261],0
p8,1,0.397751,0.715116,[15 22] ; [25 52],[12.98245614 24.01754386] ; [27.01754386 49.98245614],0
n3,1,0.401943,0.702507,[13  6] ; [14 11],[11.65909091  7.34090909] ; [15.34090909  9.65909091],0
r2,1,0.445874,0.581119,[29 10] ; [62 15],[30.59482759  8.40517241] ; [60.40517241 16.59482759],0
s6,1,0.48519,0.487175,[11 28] ; [27 51],[12.66666667 26.33333333] ; [25.33333333 52.66666667],0
v3,1,0.55123,0.355119,[10 27] ; [16 57],[ 8.74545455 28.25454545] ; [17.25454545 55.74545455],0
b5,1,0.597093,0.279403,[21 18] ; [46 32],[22.33333333 16.66666667] ; [44.66666667 33.33333333],0
s4,1,0.654168,0.200686,[ 3 36] ; [ 8 70],[ 3.66666667 35.33333333] ; [ 7.33333333 70.66666667],0
v1,1,0.754834,0.097513,[13 25] ; [29 49],[13.75862069 24.24137931] ; [28.24137931 49.75862069],0
u3,1,0.756549,0.09611,[ 9 12] ; [10 11],[ 9.5 11.5] ; [ 9.5 11.5],0
p6,1,0.792436,0.069247,[ 7 31] ; [12 61],[ 6.5045045 31.4954955] ; [12.4954955 60.5045045],0
p11,1,0.793354,0.068622,[20 19] ; [42 36],[20.66666667 18.33333333] ; [41.33333333 36.66666667],0
p7,1,0.845822,0.037812,[17 21] ; [35 40],[17.48672566 20.51327434] ; [34.51327434 40.48672566],0
s7,1,0.858173,0.031934,[ 6 30] ; [13 59],[ 6.33333333 29.66666667] ; [12.66666667 59.33333333],0
s8,1,0.859311,0.031418,[ 6 33] ; [13 65],[ 6.33333333 32.66666667] ; [12.66666667 65.33333333],0
n2,1,0.874788,0.024831,[12  8] ; [15 11],[11.73913043  8.26086957] ; [15.26086957 10.73913043],0
b1,1,0.895792,0.017155,[21 18] ; [41 37],[20.66666667 18.33333333] ; [41.33333333 36.66666667],0
