Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000269,13.273106,[ 7 38] ; [ 95 117],[17.85992218 27.14007782] ; [ 84.14007782 127.85992218],1
n2,1,0.255887,1.290872,[13  6] ; [58 14],[14.82417582  4.17582418] ; [56.17582418 15.82417582],0
p5,1,0.258764,1.275356,[ 9 82] ; [ 47 278],[12.25 78.75] ; [ 43.75 281.25],0
a7,1,0.278097,1.176366,[62 29] ; [243  86],[66.08333333 24.91666667] ; [238.91666667  90.08333333],0
b5,1,0.283458,1.150436,[57 34] ; [186 144],[52.52494062 38.47505938] ; [190.47505938 139.52494062],0
p3,1,0.372638,0.794847,[51 40] ; [166 161],[47.24162679 43.75837321] ; [169.75837321 157.24162679],0
u3,1,0.396124,0.720061,[15  5] ; [54 29],[13.39805825  6.60194175] ; [55.60194175 27.39805825],0
d5,1,0.398223,0.713684,[77 14] ; [264  63],[74.23684211 16.76315789] ; [266.76315789  60.23684211],0
p4,1,0.455897,0.555949,[60 31] ; [201 125],[56.95683453 34.04316547] ; [204.04316547 121.95683453],0
a1,1,0.461469,0.542329,[ 3 88] ; [ 17 313],[ 4.32304038 86.67695962] ; [ 15.67695962 314.32304038],0
d4,1,0.469816,0.522408,[76 15] ; [282  44],[78.12470024 12.87529976] ; [279.87529976  46.12470024],0
a3,1,0.486952,0.483253,[71 20] ; [245  84],[68.46666667 22.53333333] ; [247.53333333  81.46666667],0
u1,1,0.502681,0.449272,[22 69] ; [ 69 261],[19.66983373 71.33016627] ; [ 71.33016627 258.66983373],0
p6,1,0.517964,0.417945,[38 52] ; [125 200],[35.34939759 54.65060241] ; [127.65060241 197.34939759],0
b4,1,0.565586,0.330124,[51 40] ; [196 134],[53.38954869 37.61045131] ; [193.61045131 136.38954869],0
s7,1,0.625022,0.238872,[60 26] ; [211 104],[58.11970075 27.88029925] ; [212.88029925 102.11970075],0
u2,1,0.62505,0.238833,[11  9] ; [50 32],[11.96078431  8.03921569] ; [49.03921569 32.96078431],0
r2,1,0.657438,0.196651,[89  2] ; [323   5],[89.4797136  1.5202864] ; [322.5202864   5.4797136],0
s1,1,0.70793,0.140354,[ 5 85] ; [ 15 311],[ 4.32692308 85.67307692] ; [ 15.67307692 310.32692308],0
p8,1,0.709274,0.139003,[47 43] ; [178 149],[48.56115108 41.43884892] ; [176.43884892 150.56115108],0
a5,1,0.721197,0.127349,[67 24] ; [249  81],[68.304038 22.695962] ; [247.695962  82.304038],0
s8,1,0.731262,0.117956,[52 39] ; [194 134],[53.42720764 37.57279236] ; [192.57279236 135.42720764],0
p7,1,0.747591,0.103567,[61 27] ; [214 103],[59.75308642 28.24691358] ; [215.24691358 101.75308642],0
b1,1,0.762159,0.091595,[38 53] ; [132 198],[36.74584323 54.25415677] ; [133.25415677 196.74584323],0
p1,1,0.77541,0.081399,[ 8 83] ; [ 32 295],[ 8.70813397 82.29186603] ; [ 31.29186603 295.70813397],0
p9,1,0.77589,0.081042,[77 12] ; [279  48],[76.16346154 12.83653846] ; [279.83653846  47.16346154],0
r3,1,0.798452,0.065204,[87  2] ; [320   9],[86.65789474  2.34210526] ; [320.34210526   8.65789474],0
n6,1,0.823009,0.050031,[75 15] ; [274  51],[75.68674699 14.31325301] ; [273.31325301  51.68674699],0
p2,1,0.828545,0.046902,[76 15] ; [277  51],[76.66587112 14.33412888] ; [276.33412888  51.66587112],0
d1,1,0.833044,0.044436,[59 32] ; [210 120],[58.14489311 32.85510689] ; [210.85510689 119.14489311],0
r4,1,0.844817,0.038312,[87  4] ; [317  13],[87.32541568  3.67458432] ; [316.67458432  13.32541568],0
a2,1,0.90955,0.012906,[24 67] ; [ 89 241],[24.42517815 66.57482185] ; [ 88.57482185 241.42517815],0
d2,1,0.959334,0.0026,[48 43] ; [174 154],[48.21479714 42.78520286] ; [173.78520286 154.21479714],0
v4,1,0.992425,9e-05,[87  3] ; [317  11],[86.98564593  3.01435407] ; [317.01435407  10.98564593],0
p10,1,0.99387,5.9e-05,[74 15] ; [272  55],[74.02403846 14.97596154] ; [271.97596154  55.02403846],0
