Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.8e-05,16.984385,[18  7] ; [ 6 27],[10.34482759 14.65517241] ; [13.65517241 19.34482759],1
d2,1,0.50295,0.448705,[ 8 17] ; [13 19],[ 9.21052632 15.78947368] ; [11.78947368 20.21052632],0
r1,1,0.512199,0.429573,[12 13] ; [13 20],[10.77586207 14.22413793] ; [14.22413793 18.77586207],0
a4,1,0.514529,0.424846,[ 7 17] ; [12 20],[ 8.14285714 15.85714286] ; [10.85714286 21.14285714],0
n1,1,0.532723,0.389194,[7 6] ; [ 9 12],[6.11764706 6.88235294] ; [ 9.88235294 11.11764706],0
n6,1,0.535913,0.383167,[13 12] ; [14 18],[11.84210526 13.15789474] ; [15.15789474 16.84210526],0
n3,1,0.619304,0.246847,[7 6] ; [ 9 11],[6.3030303 6.6969697] ; [ 9.6969697 10.3030303],0
s2,1,0.628322,0.234343,[ 5 20] ; [ 5 28],[ 4.31034483 20.68965517] ; [ 5.68965517 27.31034483],0
d1,1,0.663719,0.189037,[ 7 18] ; [11 22],[ 7.75862069 17.24137931] ; [10.24137931 22.75862069],0
u3,1,0.67844,0.171887,[4 7] ; [ 4 10],[3.52 7.48] ; [4.48 9.52],0
p1,1,0.71865,0.12979,[ 3 22] ; [ 3 30],[ 2.5862069 22.4137931] ; [ 3.4137931 29.5862069],0
a1,1,0.730326,0.118812,[ 3 22] ; [ 5 28],[ 3.44827586 21.55172414] ; [ 4.55172414 28.44827586],0
d4,1,0.734535,0.114988,[14 11] ; [17 16],[13.36206897 11.63793103] ; [17.63793103 15.36206897],0
a5,1,0.790896,0.070303,[13 12] ; [16 17],[12.5 12.5] ; [16.5 16.5],0
a8,1,0.803809,0.061713,[ 1 21] ; [ 1 30],[ 0.83018868 21.16981132] ; [ 1.16981132 29.83018868],0
u1,1,0.841142,0.040173,[ 1 24] ; [ 1 32],[ 0.86206897 24.13793103] ; [ 1.13793103 31.86206897],0
a6,1,0.912165,0.012168,[11 14] ; [15 18],[11.20689655 13.79310345] ; [14.79310345 18.20689655],0
d5,1,0.912165,0.012168,[14 11] ; [18 15],[13.79310345 11.20689655] ; [18.20689655 14.79310345],0
n5,1,0.914674,0.01148,[17  8] ; [22 11],[16.81034483  8.18965517] ; [22.18965517 10.81034483],0
a3,1,0.9375,0.006148,[14 10] ; [19 13],[14.14285714  9.85714286] ; [18.85714286 13.14285714],0
v3,1,0.947693,0.004304,[ 6 18] ; [ 8 25],[ 5.89473684 18.10526316] ; [ 8.10526316 24.89473684],0
b1,1,0.962732,0.002183,[15 10] ; [20 13],[15.0862069  9.9137931] ; [19.9137931 13.0862069],0
v2,1,0.972372,0.001199,[ 5 19] ; [ 7 26],[ 5.05263158 18.94736842] ; [ 6.94736842 26.05263158],0
u2,1,0.973215,0.001127,[4 7] ; [5 9],[3.96 7.04] ; [5.04 8.96],0
a2,1,0.988804,0.000197,[ 3 22] ; [ 4 29],[ 3.01724138 21.98275862] ; [ 3.98275862 29.01724138],0
