Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.8e-05,17.540162,[23  6] ; [ 2 13],[16.47727273 12.52272727] ; [8.52272727 6.47727273],1
p12,1,0.58983,0.29061,[ 1 28] ; [ 1 13],[ 1.34883721 27.65116279] ; [ 0.65116279 13.34883721],0
d1,1,0.601258,0.273103,[14 15] ; [6 9],[13.18181818 15.81818182] ; [6.81818182 8.18181818],0
a1,1,0.627099,0.236015,[ 1 28] ; [ 1 14],[ 1.31818182 27.68181818] ; [ 0.68181818 14.31818182],0
p1,1,0.627099,0.236015,[ 1 28] ; [ 1 14],[ 1.31818182 27.68181818] ; [ 0.68181818 14.31818182],0
b1,1,0.750455,0.101149,[14 15] ; [8 7],[14.5 14.5] ; [7.5 7.5],0
b4,1,0.750455,0.101149,[14 15] ; [8 7],[14.5 14.5] ; [7.5 7.5],0
a3,1,0.763406,0.090608,[20  9] ; [11  4],[20.43181818  8.56818182] ; [10.56818182  4.43181818],0
p3,1,0.763781,0.090312,[11 18] ; [ 5 10],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
v3,1,0.854311,0.033716,[ 7 22] ; [ 4 11],[ 7.25 21.75] ; [ 3.75 11.25],0
p8,1,0.856366,0.032762,[12 16] ; [6 9],[11.72093023 16.27906977] ; [6.27906977 8.72093023],0
p10,1,0.894417,0.017614,[20  8] ; [11  4],[20.18604651  7.81395349] ; [10.81395349  4.18604651],0
n2,1,0.896743,0.016842,[12  3] ; [7 2],[11.875  3.125] ; [7.125 1.875],0
n5,1,0.904973,0.014252,[21  7] ; [11  4],[20.8372093  7.1627907] ; [11.1627907  3.8372093],0
d3,1,0.907548,0.013487,[16 13] ; [8 7],[15.81818182 13.18181818] ; [8.18181818 6.81818182],0
a7,1,0.919313,0.010262,[14 15] ; [7 8],[13.84090909 15.15909091] ; [7.15909091 7.84090909],0
r1,1,0.939225,0.005813,[10 19] ; [ 5 10],[ 9.88636364 19.11363636] ; [5.11363636 9.88636364],0
n3,1,0.940259,0.005617,[6 8] ; [4 5],[6.08695652 7.91304348] ; [3.91304348 5.08695652],0
p9,1,0.946189,0.004555,[21  8] ; [10  4],[20.90697674  8.09302326] ; [10.09302326  3.90697674],0
a8,1,0.953415,0.003413,[ 2 26] ; [ 1 14],[ 1.95348837 26.04651163] ; [ 1.04651163 13.95348837],0
a2,1,0.966399,0.001775,[ 4 25] ; [ 2 13],[ 3.95454545 25.04545455] ; [ 2.04545455 12.95454545],0
p5,1,0.966399,0.001775,[ 4 25] ; [ 2 13],[ 3.95454545 25.04545455] ; [ 2.04545455 12.95454545],0
s1,1,0.977122,0.000822,[ 2 27] ; [ 1 14],[ 1.97727273 27.02272727] ; [ 1.02272727 13.97727273],0
