Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,23.558712,[ 9 16] ; [65 11],[18.31683168  6.68316832] ; [55.68316832 20.31683168],1
b3,1,0.341244,0.905752,[ 3 10] ; [20 34],[4.46268657 8.53731343] ; [18.53731343 35.46268657],0
p12,1,0.344521,0.893536,[ 4 21] ; [ 7 69],[ 2.72277228 22.27722772] ; [ 8.27722772 67.72277228],0
a8,1,0.354969,0.855615,[ 4 20] ; [ 7 65],[ 2.75 21.25] ; [ 8.25 63.75],0
p3,1,0.448055,0.575566,[11 14] ; [27 49],[ 9.40594059 15.59405941] ; [28.59405941 47.40594059],0
s5,1,0.471557,0.518325,[ 8 15] ; [32 42],[ 9.48453608 13.51546392] ; [30.51546392 43.48453608],0
n2,1,0.483008,0.492063,[4 2] ; [20  5],[4.64516129 1.35483871] ; [19.35483871  5.64516129],0
p7,1,0.511408,0.431186,[10 14] ; [25 48],[ 8.65979381 15.34020619] ; [26.34020619 46.65979381],0
b1,1,0.525662,0.40277,[14 11] ; [37 39],[12.62376238 12.37623762] ; [38.37623762 37.62376238],0
r3,1,0.531987,0.390595,[22  3] ; [70  6],[22.77227723  2.22772277] ; [69.22772277  6.77227723],0
r2,1,0.531987,0.390595,[22  3] ; [70  6],[22.77227723  2.22772277] ; [69.22772277  6.77227723],0
r1,1,0.610392,0.259605,[20  5] ; [57 19],[19.05940594  5.94059406] ; [57.94059406 18.05940594],0
p6,1,0.620548,0.245098,[ 9 16] ; [23 52],[ 8. 17.] ; [24. 51.],0
v4,1,0.713721,0.134589,[23  2] ; [68  8],[22.52475248  2.47524752] ; [68.47524752  7.52475248],0
s4,1,0.730846,0.118336,[ 8 17] ; [21 53],[ 7.32323232 17.67676768] ; [21.67676768 52.32323232],0
a6,1,0.76411,0.090053,[15 10] ; [43 33],[14.35643564 10.64356436] ; [43.64356436 32.35643564],0
b4,1,0.777383,0.079937,[15 10] ; [48 28],[15.59405941  9.40594059] ; [47.40594059 28.59405941],0
s3,1,0.792048,0.069512,[14  8] ; [46 30],[13.46938776  8.53061224] ; [46.53061224 29.46938776],0
p10,1,0.811964,0.056593,[15 10] ; [47 28],[15.5  9.5] ; [46.5 28.5],0
v3,1,0.823325,0.04985,[10 14] ; [31 39],[10.46808511 13.53191489] ; [30.53191489 39.46808511],0
r4,1,0.837435,0.042097,[22  3] ; [68  8],[22.27722772  2.72277228] ; [67.72277228  8.27722772],0
n4,1,0.839223,0.041164,[17  8] ; [50 26],[16.58415842  8.41584158] ; [50.41584158 25.58415842],0
n1,1,0.854813,0.033482,[3 3] ; [11 13],[2.8 3.2] ; [11.2 12.8],0
s2,1,0.8606,0.030839,[15  9] ; [49 27],[15.36  8.64] ; [48.64 27.36],0
b5,1,0.870439,0.026602,[16  9] ; [50 26],[16.33663366  8.66336634] ; [49.66336634 26.33663366],0
u3,1,0.876681,0.02408,[10  6] ; [13  7],[10.22222222  5.77777778] ; [12.77777778  7.22222222],0
p9,1,0.902277,0.015076,[17  8] ; [50 25],[16.75  8.25] ; [50.25 24.75],0
p4,1,0.906553,0.01378,[10 15] ; [31 44],[10.25 14.75] ; [30.75 44.25],0
v1,1,1.0,0.0,[12 12] ; [37 37],[12. 12.] ; [37. 37.],0
